"Explorações que recorreram a subsídios segundo a SAU, a dimensão económica e a OTE (Lezíria do Tejo)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,,Pág.5/5
,,,LISBOA E VALE DO TEJO,Lezíria do Tejo,Almeirim,Alpiarça,Azambuja,Benavente,Cartaxo,Chamusca,Coruche,Golegã,Rio Maior,Salvaterra de Magos,Santarém
Explorações agrícolas,,expl. (nº),  61 615 ,  15 153 ,  1 341 ,   676 ,  1 613 ,   682 ,  1 065 ,   609 ,  1 462 ,261,2152,920,4372
,,SAU (ha),  447 863 ,  220 209 ,  9 224 ,  9 669 ,  11 317 ,  36 668 ,  8 075 ,  22 131 ,  67 464 ,5584,7820,11370,30887
,Sem SAU,expl. (nº),  1 070 ,   285 ,   9 ,   4 ,   25 ,   12 ,   27 ,   9 ,   39 ,- ,91,4,65
,> 0 a < 1,expl. (nº),  14 969 ,  2 847 ,   278 ,   105 ,   385 ,   139 ,   258 ,   98 ,   247 ,11,348,284,694
,,SAU (ha),  9 023 ,  1 729 ,   168 ,   67 ,   233 ,   89 ,   149 ,   57 ,   153 ,7,203,163,440
,1 a < 2,expl. (nº),  16 763 ,  3 852 ,   270 ,   131 ,   495 ,   140 ,   295 ,   123 ,   305 ,39,697,229,1128
,,SAU (ha),  23 653 ,  5 458 ,   393 ,   190 ,   707 ,   200 ,   414 ,   174 ,   437 ,55,974,317,1597
,2 a < 5,expl. (nº),  16 416 ,  4 027 ,   361 ,   203 ,   408 ,   136 ,   262 ,   147 ,   305 ,60,648,181,1316
,,SAU (ha),  51 428 ,  12 680 ,  1 169 ,   680 ,  1 271 ,   433 ,   808 ,   483 ,   949 ,191,2000,557,4139
,5 a < 10,expl. (nº),  6 776 ,  1 982 ,   247 ,   118 ,   160 ,   78 ,   93 ,   82 ,   191 ,49,238,91,635
,,SAU (ha),  46 447 ,  13 649 ,  1 692 ,   812 ,  1 098 ,   538 ,   630 ,   577 ,  1 353 ,362,1605,640,4342
,10 a < 20,expl. (nº),  2 954 ,   962 ,   106 ,   63 ,   58 ,   36 ,   44 ,   53 ,   120 ,43,97,56,286
,,SAU (ha),  40 373 ,  13 289 ,  1 478 ,   858 ,   807 ,   492 ,   615 ,   716 ,  1 659 ,618,1299,766,3981
,20 a < 50,expl. (nº),  1 640 ,   641 ,   53 ,   28 ,   48 ,   50 ,   55 ,   50 ,   86 ,35,19,43,174
,,SAU (ha),  49 589 ,  19 700 ,  1 560 ,   885 ,  1 545 ,  1 651 ,  1 758 ,  1 540 ,  2 712 ,1084,535,1308,5122
,50 a < 100,expl. (nº),   530 ,   252 ,   10 ,   11 ,   23 ,   45 ,   16 ,   15 ,   54 ,13,10,18,37
,,SAU (ha),  36 666 ,  17 668 ,   744 ,   728 ,  1 584 ,  3 143 ,  1 074 ,  1 087 ,  3 884 ,907,708,1252,2557
,>= 100,expl. (nº),   497 ,   305 ,   7 ,   13 ,   11 ,   46 ,   15 ,   32 ,   115 ,11,4,14,37
,,SAU (ha),  190 687 ,  136 029 ,  2 021 ,  5 448 ,  4 070 ,  30 120 ,  2 622 ,  17 499 ,  56 319 ,2361,496,6367,8706
Classes de dimensão económica (UDE),,expl. (nº),  60 960 ,  14 779 ,  1 334 ,   675 ,  1 590 ,   673 ,  1 029 ,   604 ,  1 445 ,261,1974,914,4280
,,SAU (ha),  445 830 ,  219 205 ,  9 204 ,  9 667 ,  11 265 ,  36 644 ,  7 995 ,  22 122 ,  67 361 ,5584,7388,11313,30662
,> 0 a < 2,expl. (nº),  21 193 ,  5 282 ,   296 ,   134 ,   640 ,   171 ,   430 ,   145 ,   474 ,22,840,388,1742
,,SAU (ha),  24 749 ,  7 013 ,   256 ,   117 ,   703 ,   218 ,   514 ,   155 ,   903 ,23,1193,416,2515
,2 a < 4,expl. (nº),  13 201 ,  3 030 ,   266 ,   96 ,   409 ,   122 ,   237 ,   104 ,   241 ,42,386,142,985
