"Explorações que recorreram a subsídios segundo a SAU, a dimensão económica e a OTE (Lezíria do Tejo)",,,,,,,,,,,,,,,
,,SAU (ha),  27 908 ,  8 120 ,   429 ,   160 ,   978 ,   545 ,   554 ,   580 ,   745 ,74,929,234,2892
,4 a < 8,expl. (nº),  10 395 ,  2 307 ,   274 ,   116 ,   291 ,   94 ,   134 ,   104 ,   205 ,39,277,90,683
,,SAU (ha),  36 676 ,  10 359 ,   827 ,   375 ,  1 165 ,   447 ,   505 ,   499 ,  1 452 ,138,1074,291,3586
,8 a < 16,expl. (nº),  6 971 ,  1 549 ,   210 ,   135 ,   103 ,   63 ,   65 ,   85 ,   149 ,54,214,85,386
,,SAU (ha),  43 185 ,  12 907 ,  1 291 ,   686 ,   842 ,  1 209 ,   466 ,   695 ,  2 202 ,379,1170,439,3528
,16 a < 40,expl. (nº),  5 521 ,  1 326 ,   170 ,   115 ,   63 ,   84 ,   63 ,   76 ,   148 ,54,157,98,298
,,SAU (ha),  65 684 ,  25 686 ,  2 250 ,  1 023 ,   921 ,  1 646 ,   856 ,  2 146 ,  8 965 ,881,1032,955,5011
,40 a < 100,expl. (nº),  2 412 ,   764 ,   87 ,   45 ,   42 ,   73 ,   47 ,   67 ,   128 ,26,63,72,114
,,SAU (ha),  77 878 ,  41 459 ,  1 810 ,  1 695 ,  2 450 ,  5 125 ,  1 513 ,  7 416 ,  14 029 ,1242,845,1758,3576
,> = 100,expl. (nº),  1 267 ,   521 ,   31 ,   34 ,   42 ,   66 ,   53 ,   23 ,   100 ,24,37,39,72
,,SAU (ha),  169 739 ,  113 665 ,  2 343 ,  5 611 ,  4 208 ,  27 455 ,  3 589 ,  10 631 ,  39 064 ,2848,1143,7219,9554
OTE,,expl. (nº),  61 615 ,  15 153 ,  1 341 ,   676 ,  1 613 ,   682 ,  1 065 ,   609 ,  1 462 ,261,2152,920,4372
,,SAU (ha),  447 863 ,  220 209 ,  9 224 ,  9 669 ,  11 317 ,  36 668 ,  8 075 ,  22 131 ,  67 464 ,5584,7820,11370,30887
Cereais plantas olea./proteaginosas,,expl. (nº),  1 461 ,   795 ,   14 ,   15 ,   30 ,   92 ,   19 ,   86 ,   90 ,157,29,54,209
,,SAU (ha),  40 033 ,  25 951 ,   427 ,   235 ,  1 365 ,  6 182 ,   897 ,  1 884 ,  6 645 ,2492,582,2023,3219
Culturas agrícolas diversas,,expl. (nº),  5 146 ,  1 826 ,   121 ,   176 ,   74 ,   156 ,   97 ,   133 ,   262 ,68,184,265,290
,,SAU (ha),  66 071 ,  45 265 ,  2 085 ,  2 696 ,  1 481 ,  6 214 ,  2 781 ,  3 115 ,  9 902 ,2102,1207,6854,6828
Horticultura,,expl. (nº),  4 735 ,   259 ,   46 ,   8 ,   12 ,   80 ,   13 ,   5 ,   19 ,1,11,55,9
,,SAU (ha),  15 404 ,  1 071 ,   287 ,   37 ,   34 ,   385 ,   15 ,   36 ,   27 ,... ,30,183,37
Viticultura,,expl. (nº),  10 941 ,  3 702 ,   708 ,   304 ,   946 ,   53 ,   555 ,   35 ,   131 ,4,363,196,407
,,SAU (ha),  37 690 ,  12 157 ,  2 864 ,  1 140 ,  2 521 ,   101 ,  2 100 ,   429 ,   356 ,4,915,297,1430
Fruticultura,,expl. (nº),  6 804 ,   868 ,   126 ,   30 ,   89 ,   70 ,   58 ,   120 ,   187 ,2,35,52,99
,,SAU (ha),  28 261 ,  2 468 ,   280 ,   89 ,   288 ,   262 ,   226 ,   244 ,   580 ,... ,160,63,272
Olivicultura,,expl. (nº),  6 219 ,  1 825 ,   1 ,   1 ,   19 ,   4 ,   28 ,   29 ,   22 ,4,264,4,1449
,,SAU (ha),  19 816 ,  5 831 ,... ,... ,   24 ,   7 ,   46 ,   290 ,   49 ,36,800,6,4570
Culturas permanentes diversas,,expl. (nº),  7 853 ,  1 565 ,   155 ,   62 ,   151 ,   29 ,   85 ,   32 ,   204 ,1,227,57,562
,,SAU (ha),  28 463 ,  6 024 ,   649 ,   397 ,   494 ,   58 ,   221 ,   79 ,   667 ,... ,819,83,2554
Bovinos de leite,,expl. (nº),   402 ,   82 ,   1 ,- ,   9 ,   5 ,   5 ,   2 ,   21 ,- ,4,4,31
,,SAU (ha),  9 180 ,  4 294 ,... ,- ,   90 ,   382 ,   295 ,... ,  2 560 ,- ,49,69,408
Bovinos para gado/carne,,expl. (nº),   697 ,   183 ,   2 ,   4 ,   34 ,   24 ,   18 ,   8 ,   39 ,1,23,8,22
,,SAU (ha),  27 031 ,  21 206 ,... ,   837 ,  1 206 ,  1 283 ,   185 ,  1 655 ,  14 386 ,... ,61,587,472
Bovinos para leite/gado/carne,,expl. (nº),   46 ,   3 ,- ,- ,- ,- ,- ,- ,   1 ,- ,- ,1,1
,,SAU (ha),   552 ,   92 ,- ,- ,- ,- ,- ,- ,... ,- ,- ,... ,... 
Ovinos/caprinos/out. herbívoros,,expl. (nº),  2 292 ,   551 ,   11 ,   5 ,   50 ,   35 ,   25 ,   18 ,   144 ,- ,84,35,144
,,SAU (ha),  41 280 ,  21 078 ,   758 ,   783 ,   346 ,  1 127 ,   93 ,  4 688 ,  12 371 ,- ,210,164,538
Granívoros,,expl. (nº),  1 993 ,   627 ,   9 ,   3 ,   24 ,   17 ,   31 ,   9 ,   32 ,1,319,9,173
,,SAU (ha),  11 273 ,  3 336 ,   13 ,   8 ,   155 ,   554 ,   66 ,   8 ,   433 ,... ,787,17,1294
Policultura,,expl. (nº),  8 707 ,  1 563 ,   129 ,   56 ,   99 ,   58 ,   67 ,   92 ,   139 ,18,204,132,569
,,SAU (ha),  63 389 ,  33 156 ,  1 646 ,  2 890 ,  2 635 ,  13 901 ,   863 ,  2 400 ,  1 624 ,257,699,550,5691
Polipecuária-herbívoros,,expl. (nº),   488 ,   99 ,- ,   1 ,   7 ,   8 ,   4 ,   5 ,   25 ,1,12,9,27
,,SAU (ha),  8 171 ,  5 199 ,- ,... ,   232 ,   10 ,   25 ,   56 ,  4 555 ,... ,27,40,250
Polipecuária-granívoros,,expl. (nº),   579 ,   131 ,   2 ,   1 ,   2 ,   8 ,   1 ,   1 ,   19 ,- ,45,3,49
,,SAU (ha),  3 584 ,   940 ,... ,... ,... ,   53 ,... ,... ,   45 ,- ,262,275,182
Agricultura geral e herbívoros,,expl. (nº),   423 ,   136 ,   1 ,   2 ,   3 ,   17 ,   2 ,   18 ,   45 ,1,11,6,30
,,SAU (ha),  33 026 ,  26 343 ,... ,... ,   118 ,  5 178 ,... ,  6 110 ,  12 518 ,... ,41,57,1919
Culturas diversas e gado,,expl. (nº),  2 174 ,   564 ,   8 ,   7 ,   41 ,   17 ,   21 ,   11 ,   65 ,2,159,24,209
,,SAU (ha),  12 640 ,  4 806 ,   26 ,   543 ,   170 ,   949 ,   66 ,   685 ,   559 ,... ,739,40,1008
Não classificadas,,expl. (nº),   655 ,   374 ,   7 ,   1 ,   23 ,   9 ,   36 ,   5 ,   17 ,- ,178,6,92
,,SAU (ha),  2 032 ,  1 003 ,   20 ,... ,   52 ,   25 ,   81 ,   9 ,   103 ,- ,431,59,221
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,
,,
,,
,,
