"Explorações que recorreram a subsídios segundo a SAU, a dimensão económica e a OTE (Oeste)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,,,,Pág.1/5
,,,LISBOA E VALE DO TEJO,Oeste,Alcobaça,Alenquer,Arruda dos Vinhos,Bombarral,Cadaval,Caldas da Rainha,Lourinhã,Mafra,Nazaré,Óbidos,Peniche,Sobral de Monte Agraço,Torres Vedras
Explorações agrícolas,,expl. (nº),  61 615 ,  23 396 ,  3 150 ,  2 717 ,   801 ,  1 140 ,  1 702 ,  2 274 ,  2 017 ,  2 640 ,   312 ,  1 023 ,   815 ,   694 ,  4 111 
,,SAU (ha),  447 863 ,  94 432 ,  10 032 ,  14 806 ,  3 717 ,  5 635 ,  6 502 ,  7 487 ,  7 301 ,  10 020 ,  1 100 ,  4 555 ,  3 132 ,  3 384 ,  16 761 
,Sem SAU,expl. (nº),  1 070 ,   442 ,   138 ,   14 ,   8 ,   10 ,   24 ,   55 ,   38 ,   78 ,   4 ,   6 ,   15 ,   12 ,   40 
,> 0 a < 1,expl. (nº),  14 969 ,  5 934 ,   847 ,   903 ,   159 ,   263 ,   452 ,   536 ,   433 ,   609 ,   68 ,   209 ,   163 ,   124 ,  1 168 
,,SAU (ha),  9 023 ,  3 403 ,   452 ,   511 ,   95 ,   156 ,   273 ,   300 ,   274 ,   343 ,   41 ,   121 ,   92 ,   74 ,   671 
,1 a < 2,expl. (nº),  16 763 ,  5 954 ,   800 ,   659 ,   205 ,   243 ,   430 ,   587 ,   514 ,   714 ,   85 ,   227 ,   223 ,   186 ,  1 081 
,,SAU (ha),  23 653 ,  8 367 ,  1 128 ,   929 ,   289 ,   355 ,   609 ,   825 ,   722 ,   996 ,   124 ,   321 ,   306 ,   256 ,  1 507 
,2 a < 5,expl. (nº),  16 416 ,  6 607 ,   842 ,   683 ,   241 ,   327 ,   487 ,   678 ,   641 ,   735 ,   101 ,   335 ,   260 ,   208 ,  1 069 
,,SAU (ha),  51 428 ,  20 761 ,  2 647 ,  2 116 ,   741 ,  1 040 ,  1 519 ,  2 132 ,  2 020 ,  2 314 ,   331 ,  1 067 ,   805 ,   664 ,  3 365 
,5 a < 10,expl. (nº),  6 776 ,  2 758 ,   342 ,   256 ,   120 ,   169 ,   184 ,   289 ,   265 ,   303 ,   38 ,   154 ,   114 ,   92 ,   432 
,,SAU (ha),  46 447 ,  18 886 ,  2 323 ,  1 784 ,   821 ,  1 161 ,  1 234 ,  1 957 ,  1 825 ,  2 049 ,   260 ,  1 070 ,   778 ,   645 ,  2 979 
,10 a < 20,expl. (nº),  2 954 ,  1 112 ,   138 ,   96 ,   41 ,   84 ,   93 ,   97 ,   90 ,   137 ,   12 ,   69 ,   27 ,   47 ,   181 
,,SAU (ha),  40 373 ,  15 086 ,  1 868 ,  1 308 ,   539 ,  1 220 ,  1 255 ,  1 303 ,  1 179 ,  1 863 ,   148 ,   915 ,   346 ,   631 ,  2 511 
,20 a < 50,expl. (nº),  1 640 ,   450 ,   38 ,   67 ,   20 ,   35 ,   21 ,   30 ,   31 ,   53 ,   2 ,   17 ,   9 ,   18 ,   109 
,,SAU (ha),  49 589 ,  13 271 ,  1 026 ,  2 112 ,   640 ,   931 ,   555 ,   839 ,   950 ,  1 542 ,... ,   526 ,   290 ,   509 ,  3 291 
,50 a < 100,expl. (nº),   530 ,   102 ,   2 ,   25 ,   5 ,   8 ,   9 ,   2 ,   5 ,   8 ,   2 ,   4 ,   2 ,   5 ,   25 
,,SAU (ha),  36 666 ,  6 982 ,... ,  1 705 ,   363 ,   541 ,   671 ,... ,   329 ,   563 ,... ,   283 ,... ,   300 ,  1 658 
,>= 100,expl. (nº),   497 ,   37 ,   3 ,   14 ,   2 ,   1 ,   2 ,- ,- ,   3 ,- ,   2 ,   2 ,   2 ,   6 
,,SAU (ha),  190 687 ,  7 677 ,   436 ,  4 345 ,... ,... ,... ,- ,- ,   354 ,- ,... ,... ,... ,   777 
Classes de dimensão económica (UDE),,expl. (nº),  60 960 ,  23 323 ,  3 142 ,  2 708 ,   798 ,  1 139 ,  1 697 ,  2 266 ,  2 015 ,  2 631 ,   311 ,  1 022 ,   811 ,   689 ,  4 094 
,,SAU (ha),  445 830 ,  94 276 ,  10 014 ,  14 785 ,  3 711 ,  5 633 ,  6 492 ,  7 452 ,  7 301 ,  10 010 ,  1 100 ,  4 554 ,  3 125 ,  3 382 ,  16 717 
