Principais culturas temporárias (Página 4),,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,pág. 4/8
Região Agrária,,,,Total,,Cultura Principal,,Cultura Secundária,,,,,
,Nut III,,,,,,,Total,,Sucessiva,,Associada sob-coberto de permanentes,
,,Concelho,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
,Ave,,,,,,,,,,,,
,,,Culturas temporárias,"8,583","38,102","8,462","19,602","8,212","18,488","7,299","15,371","7,053","3,126"
,,,Cereais para grão,"6,729","8,045","6,395","6,896","4,536","1,148",796,365,"4,402",787
,,,Leguminosas secas para grão,"3,044",766,"2,617",550,"2,366",204,459,86,"2,244",117
,,,Prados temporários,"1,813","2,079","1,769","1,869","1,368",215,- ,- ,"1,368",215
,,,Culturas forrageiras,"7,280","24,403","3,059","8,811","7,178","15,594","6,885","13,938","5,836","1,651"
,,,Batata,"6,564","1,188","5,828",963,"3,715",220,279,39,"3,577",180
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,82,22,51,14,59,9,31,6,52,3
,,,Culturas hortícolas,"1,649",460,"1,011",268,"1,075",193,676,137,685,47
,,,Flores e plantas ornamentais,136,44,131,42,26,1,3,o ,24,1
,,,Sementes de culturas forrageiras,"2,435","1,084",634,186,"2,268",894,"1,891",793,"1,467",97
,,,Sementes e propágulos de outras culturas não lenhosas,12,1,3,o ,10,1,9,o ,6,o 
,,,Outras culturas temporárias,2,... ,- ,- ,2,... ,1,... ,2,... 
,,Fafe,,,,,,,,,,,
,,,Culturas temporárias,"1,969","6,838","1,950","3,651","1,941","3,185","1,846","2,307","1,822",879
,,,Cereais para grão,"1,770","1,715","1,469","1,191","1,657",524,574,284,"1,605",246
,,,Leguminosas secas para grão,"1,407",424,"1,108",277,"1,268",144,439,82,"1,154",60
,,,Prados temporários,"1,057","1,473","1,054","1,334",869,147,- ,- ,869,147
,,,Culturas forrageiras,"1,606","2,485",425,465,"1,604","2,019","1,568","1,688","1,465",329
,,,Batata,"1,592",270,"1,288",192,"1,356",78,270,36,"1,224",41
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,80,22,49,14,59,9,31,6,52,3
,,,Culturas hortícolas,357,32,157,20,247,11,200,10,102,1
,,,Flores e plantas ornamentais,13,3,13,3,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,922,410,435,156,835,252,501,199,733,52
,,,Sementes e propágulos de outras culturas não lenhosas,4,1,2,... ,3,1,2,... ,2,... 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Guimarães,,,,,,,,,,,
,,,Culturas temporárias,"1,641","7,884","1,601","3,792","1,568","4,088","1,385","3,144","1,471",942
,,,Cereais para grão,"1,307","2,205","1,297","1,909",976,296,101,31,963,264
,,,Leguminosas secas para grão,283,97,266,76,234,18,10,3,231,16
,,,Prados temporários,110,84,102,67,86,15,- ,- ,86,15
,,,Culturas forrageiras,"1,405","4,862",427,"1,366","1,390","3,495","1,331","2,955","1,266",541
,,,Batata,"1,316",273,"1,213",224,877,49,2,... ,876,49
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,770,257,480,126,587,132,334,91,460,33
,,,Flores e plantas ornamentais,64,23,61,22,23,1,1,... ,23,1
,,,Sementes de culturas forrageiras,176,73,10,2,175,71,170,62,161,8
,,,Sementes e propágulos de outras culturas não lenhosas,4,o ,- ,- ,4,o ,4,o ,3,o 
,,,Outras culturas temporárias,1,... ,- ,- ,1,... ,1,... ,1,... 
,,Póvoa de Lanhoso,,,,,,,,,,,
,,,Culturas temporárias,987,"3,609",981,"1,854",959,"1,752",765,"1,330",947,424
,,,Cereais para grão,868,"1,103",865,949,810,155,33,5,806,149
,,,Leguminosas secas para grão,401,77,330,54,324,21,2,... ,324,21
,,,Prados temporários,194,176,182,153,157,23,- ,- ,157,23
,,,Culturas forrageiras,769,"2,019",287,635,759,"1,387",735,"1,198",732,191
,,,Batata,722,68,654,52,408,10,1,... ,408,10
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
