"Explorações que recorreram a subsídios segundo a SAU, a dimensão económica e a OTE (Página 2)",,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 2/6
,,,Viana do Castelo,Vila Nova de Cerveira,Cávado,Amares,Barcelos,Braga,Esposende,Terras do Bouro,Vila Verde,Ave
Explorações agrícolas,,expl. (nº),"2,384",377,"11,431",906,"4,012","1,746","1,321",756,"2,690","9,151"
,,SAU (ha),"7,111",964,"36,362","2,127","12,230","5,051","2,622","8,465","5,867","29,020"
,Sem SAU,expl. (nº),2,- ,19,3,1,7,1,6,1,39
,> 0 a < 1,expl. (nº),635,101,"2,804",317,743,317,467,191,769,"1,812"
,,SAU (ha),381,63,"1,672",199,458,184,256,106,469,"1,051"
,1 a < 2,expl. (nº),"1,039",188,"4,187",324,"1,410",620,476,228,"1,129","3,112"
,,SAU (ha),"1,464",255,"5,837",449,"1,973",868,654,313,"1,580","4,247"
,2 a < 5,expl. (nº),590,67,"3,081",192,"1,174",568,271,220,656,"2,843"
,,SAU (ha),"1,707",187,"9,395",585,"3,635","1,788",827,685,"1,875","8,621"
,5 a < 10,expl. (nº),78,7,935,44,501,155,85,60,90,920
,,SAU (ha),531,49,"6,336",309,"3,418","1,036",589,380,604,"6,158"
,10 a < 20,expl. (nº),30,8,316,17,152,70,19,26,32,345
,,SAU (ha),379,120,"4,121",220,"1,945",913,253,368,422,"4,520"
,20 a < 50,expl. (nº),7,5,67,6,31,8,2,9,11,67
,,SAU (ha),189,168,"1,762",192,808,209,... ,222,289,"1,957"
,50 a < 100,expl. (nº),- ,- ,7,3,- ,1,- ,3,- ,5
,,SAU (ha),- ,- ,446,172,- ,... ,- ,224,- ,327
,>= 100,expl. (nº),3,1,15,- ,- ,- ,- ,13,2,8
,,SAU (ha),"2,466",... ,"6,798",- ,- ,- ,- ,"6,166",... ,"2,133"
Classes de dimensão económica (UDE),,expl. (nº),"2,384",377,"11,431",906,"4,012","1,746","1,321",756,"2,690","9,147"
,,SAU (ha),"7,111",964,"36,362","2,127","12,230","5,051","2,622","8,465","5,867","29,004"
,> 0 a < 2,expl. (nº),764,208,"2,867",250,823,334,299,260,901,"2,398"
,,SAU (ha),692,241,"2,604",163,859,282,189,321,790,"2,321"
,2 a < 4,expl. (nº),909,120,"3,923",336,"1,206",566,395,276,"1,144","3,189"
,,SAU (ha),"1,379",264,"6,133",427,"1,849",837,441,732,"1,847","5,516"
,4 a < 8,expl. (nº),463,25,"2,372",178,781,467,331,148,467,"2,001"
,,SAU (ha),"1,258",178,"6,187",418,"1,808","1,279",576,835,"1,271","6,455"
,8 a < 16,expl. (nº),148,9,"1,062",74,429,235,163,57,104,800
,,SAU (ha),804,50,"4,972",291,"1,546","1,111",488,885,651,"4,640"
,16 a < 40,expl. (nº),81,10,905,45,564,113,115,13,55,525
,,SAU (ha),631,102,"10,007",310,"3,462","1,043",706,"3,532",954,"6,106"
,40 a < 100,expl. (nº),18,5,271,15,196,27,18,- ,15,211
,,SAU (ha),188,125,"3,510",216,"2,352",427,222,- ,293,"3,276"
,> = 100,expl. (nº),1,- ,31,8,13,4,- ,2,4,23
,,SAU (ha),... ,- ,"2,967",302,360,74,- ,... ,66,707
OTE,,expl. (nº),"2,384",377,"11,431",906,"4,012","1,746","1,321",756,"2,690","9,151"
,,SAU (ha),"7,111",964,"36,362","2,127","12,230","5,051","2,622","8,465","5,867","29,020"
Cereais plantas olea./proteaginosas,,expl. (nº),17,8,62,- ,18,17,2,3,22,41
,,SAU (ha),31,17,237,- ,45,63,... ,7,118,118
Culturas agrícolas diversas,,expl. (nº),135,29,763,38,317,205,45,23,135,838
,,SAU (ha),254,40,"1,723",69,636,579,69,71,299,"2,138"
Horticultura,,expl. (nº),51,4,462,13,81,24,325,1,18,140
,,SAU (ha),89,1,493,22,89,24,343,... ,15,197
Viticultura,,expl. (nº),137,11,587,86,187,114,15,46,139,820
,,SAU (ha),236,13,"1,794",334,700,373,62,41,284,"2,426"
Fruticultura,,expl. (nº),8,2,101,38,13,20,- ,3,27,48
,,SAU (ha),37,... ,297,101,46,43,- ,3,104,239
Olivicultura,,expl. (nº),- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
