Culturas regadas (Página 2),,,,,,,,,,,,,,
,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,pág. 2/2
Região Agrária,,,,Beterraba sacarina,Girasol,Tomate para indústria,Hortícolas              ao ar livre,"Prados, Pastagens Permanentes",Pomares excepto citrinos,Citrinos,Vinha para uva de mesa,Vinha para Vinho,Olival,Outras excepto a da horta familiar
,Nut III,,,,,,,,,,,,,
,,Concelho,,,,,,,,,,,,
Entre Douro e Minho,,,expl (nº),- ,- ,- ,"7,061","6,116","2,332","1,248",12,"9,854",476,"27,741"
,,,área regada (ha),- ,- ,- ,"2,672","6,278","2,046",249,o ,"7,435",90,"7,022"
,Minho Lima ,,expl (nº),- ,- ,- ,196,"3,257",299,161,6,"3,538",75,"8,642"
,,,área regada (ha),- ,- ,- ,24,"2,245",152,7,o ,"1,591",2,"1,380"
,,Arcos de Valdevez,expl (nº),- ,- ,- ,43,838,86,63,2,712,13,"2,126"
,,,área regada (ha),- ,- ,- ,1,680,11,2,... ,205,o ,391
,,Caminha,expl (nº),- ,- ,- ,1,249,25,12,- ,37,27,243
,,,área regada (ha),- ,- ,- ,... ,111,1,1,- ,7,1,22
,,Melgaço,expl (nº),- ,- ,- ,- ,648,3,2,- ,388,- ,730
,,,área regada (ha),- ,- ,- ,- ,580,o ,... ,- ,272,- ,59
,,Monção,expl (nº),- ,- ,- ,5,693,18,6,3,"1,544",3,"1,404"
,,,área regada (ha),- ,- ,- ,o ,300,4,o ,o ,624,o ,178
,,Paredes de Coura,expl (nº),- ,- ,- ,3,287,5,2,- ,33,- ,830
,,,área regada (ha),- ,- ,- ,o ,247,o ,... ,- ,1,- ,169
,,Ponte da Barca,expl (nº),- ,- ,- ,3,240,11,10,- ,215,2,806
,,,área regada (ha),- ,- ,- ,1,161,5,o ,- ,134,... ,174
,,Ponte de Lima,expl (nº),- ,- ,- ,77,65,45,16,- ,331,3,"1,615"
,,,área regada (ha),- ,- ,- ,11,54,60,4,- ,221,o ,257
,,Valença,expl (nº),- ,- ,- ,10,11,20,6,1,84,- ,257
,,,área regada (ha),- ,- ,- ,1,8,28,o ,... ,24,- ,42
,,Viana do Castelo,expl (nº),- ,- ,- ,50,216,80,44,- ,158,27,521
,,,área regada (ha),- ,- ,- ,9,101,41,o ,- ,90,1,76
,,Vila Nova de Cerveira,expl (nº),- ,- ,- ,4,10,6,- ,- ,36,- ,110
,,,área regada (ha),- ,- ,- ,1,3,2,- ,- ,13,- ,12
,Cávado,,expl (nº),- ,- ,- ,"1,010",285,471,403,1,"1,252",67,"2,686"
,,,área regada (ha),- ,- ,- ,484,331,436,107,... ,"1,105",7,589
,,Amares,expl (nº),- ,- ,- ,83,9,116,212,- ,349,44,322
,,,área regada (ha),- ,- ,- ,36,7,167,77,- ,411,4,104
,,Barcelos,expl (nº),- ,- ,- ,184,9,127,82,- ,385,6,424
,,,área regada (ha),- ,- ,- ,66,9,46,9,- ,276,o ,92
,,Braga,expl (nº),- ,- ,- ,108,85,133,69,1,316,5,230
,,,área regada (ha),- ,- ,- ,50,69,104,13,... ,303,2,56
,,Esposende,expl (nº),- ,- ,- ,596,1,18,16,- ,80,1,100
,,,área regada (ha),- ,- ,- ,328,... ,o ,o ,- ,20,... ,21
,,Terras de Bouro,expl (nº),- ,- ,- ,5,120,4,6,- ,24,6,581
