Principais culturas temporárias (Página 6),,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,pág. 6/8
Região Agrária,,,,Total,,Cultura Principal,,Cultura Secundária,,,,,
,Nut III,,,,,,,Total,,Sucessiva,,Associada sob-coberto de permanentes,
,,Concelho,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
,Tâmega,,,,,,,,,,,,
,,,Culturas temporárias,"18,757","50,817","18,042","24,791","17,164","26,034","14,333","17,566","14,724","8,458"
,,,Cereais para grão,"15,778","15,639","15,417","13,430","8,931","2,217",672,324,"8,602","1,878"
,,,Leguminosas secas para grão,"10,447","2,474","9,823","2,016","5,724",447,250,39,"5,644",404
,,,Prados temporários,"1,972","1,618","1,716","1,382","1,232",229,- ,- ,"1,232",229
,,,Culturas forrageiras,"15,307","26,484","5,189","5,698","15,016","20,772","13,752","15,700","11,728","5,061"
,,,Batata,"15,502","2,654","13,320","1,908","8,704",732,141,21,"8,606",707
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,13,2,13,2,2,... ,- ,- ,2,... 
,,,Culturas hortícolas,"3,340",423,"2,136",234,"2,060",175,"1,052",105,"1,183",62
,,,Flores e plantas ornamentais,119,15,106,14,18,o ,9,o ,9,o 
,,,Sementes de culturas forrageiras,"4,579","1,448",325,51,"4,331","1,392","4,185","1,312","1,036",72
,,,Sementes e propágulos de outras culturas não lenhosas,95,43,29,8,80,34,60,25,39,8
,,,Outras culturas temporárias,5,2,2,... ,3,2,1,... ,2,... 
,,Amarante,,,,,,,,,,,
,,,Culturas temporárias,"2,009","6,320","1,929","2,680","1,893","3,638","1,600","2,168","1,681","1,468"
,,,Cereais para grão,"1,662","1,935","1,624","1,609",962,332,39,9,941,318
,,,Leguminosas secas para grão,"1,155",373,"1,076",289,657,79,17,3,650,77
,,,Prados temporários,62,40,42,28,53,12,- ,- ,53,12
,,,Culturas forrageiras,"1,753","3,499",567,554,"1,724","2,945","1,561","1,966","1,371",977
,,,Batata,"1,523",235,"1,262",166,747,69,1,... ,746,69
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,208,45,121,26,126,17,59,7,76,10
,,,Flores e plantas ornamentais,14,2,11,2,3,o ,2,... ,1,... 
,,,Sementes de culturas forrageiras,461,181,14,1,449,180,431,174,34,5
,,,Sementes e propágulos de outras culturas não lenhosas,18,6,3,2,17,4,13,3,6,1
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Baião,,,,,,,,,,,
,,,Culturas temporárias,"1,712","3,333","1,706","1,951","1,423","1,384","1,248","1,084","1,144",303
,,,Cereais para grão,"1,488","1,035","1,483",940,818,97,4,1,817,94
,,,Leguminosas secas para grão,"1,368",290,"1,356",272,538,20,8,1,535,20
,,,Prados temporários,445,353,444,323,283,30,- ,- ,283,30
,,,Culturas forrageiras,"1,197","1,282",261,161,"1,177","1,119","1,155",984,914,133
,,,Batata,"1,520",258,"1,516",238,704,20,- ,- ,704,20
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,362,31,156,12,275,16,257,16,22,o 
,,,Flores e plantas ornamentais,4,o ,3,o ,1,... ,1,... ,- ,- 
,,,Sementes de culturas forrageiras,450,82,10,1,441,80,440,78,113,2
,,,Sementes e propágulos de outras culturas não lenhosas,10,1,- ,- ,10,1,10,1,2,... 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Cabeceiras de Basto,,,,,,,,,,,
,,,Culturas temporárias,"1,164","3,105","1,120","1,510","1,101","1,598",860,889,"1,034",708
,,,Cereais para grão,"1,021",983,989,740,899,244,52,28,879,217
,,,Leguminosas secas para grão,445,100,417,74,329,26,3,o ,329,25
,,,Prados temporários,84,175,81,158,48,15,- ,- ,48,15
,,,Culturas forrageiras,959,"1,617",506,412,929,"1,204",829,802,848,401
,,,Batata,"1,003",174,883,118,679,51,22,2,676,49
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,7,3,7,2,2,... ,- ,- ,2,... 
,,,Flores e plantas ornamentais,1,... ,- ,- ,1,... ,1,... ,- ,- 
,,,Sementes de culturas forrageiras,485,54,69,3,418,52,391,52,29,o 
,,,Sementes e propágulos de outras culturas não lenhosas,2,... ,1,... ,1,... ,1,... ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Castelo de Paiva,,,,,,,,,,,
,,,Culturas temporárias,711,"1,524",694,785,655,736,628,672,259,62
,,,Cereais para grão,587,482,585,467,66,15,6,3,61,11
,,,Leguminosas secas para grão,432,82,427,79,47,2,2,... ,45,2
,,,Prados temporários,11,3,10,1,2,... ,- ,- ,2,... 
,,,Culturas forrageiras,643,817,168,151,635,665,625,620,235,45
,,,Batata,696,87,676,83,25,2,- ,- ,25,2
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,2,... ,2,... ,- ,- ,- ,- ,- ,- 
,,,Flores e plantas ornamentais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,170,49,- ,- ,170,49,169,48,1,... 
,,,Sementes e propágulos de outras culturas não lenhosas,5,2,- ,- ,5,2,5,2,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Celorico de Basto,,,,,,,,,,,
,,,Culturas temporárias,"1,696","5,121","1,482","2,120","1,664","3,002","1,364","1,550","1,511","1,451"
,,,Cereais para grão,"1,427","1,286","1,259",912,"1,228",378,92,57,"1,217",321
,,,Leguminosas secas para grão,"1,052",257,887,162,900,94,75,19,891,75
,,,Prados temporários,328,422,299,359,175,64,- ,- ,175,64
,,,Culturas forrageiras,"1,545","2,754",605,558,"1,536","2,194","1,288","1,317","1,363",877
,,,Batata,"1,393",223,953,109,"1,092",112,64,11,"1,029",101
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,110,9,21,7,100,2,51,o ,58,2
,,,Flores e plantas ornamentais,8,o ,5,o ,4,o ,2,... ,2,... 
,,,Sementes de culturas forrageiras,620,163,37,8,594,156,567,141,165,9
,,,Sementes e propágulos de outras culturas não lenhosas,6,2,1,... ,6,2,4,o ,6,1
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Cinfães,,,,,,,,,,,
,,,Culturas temporárias,"1,713","3,073","1,691","1,567","1,633","1,508","1,343","1,058","1,474",449
,,,Cereais para grão,"1,576","1,043","1,555",897,"1,113",148,48,6,"1,097",141
,,,Leguminosas secas para grão,"1,448",324,"1,421",279,889,43,13,o ,884,42
,,,Prados temporários,92,34,87,29,61,4,- ,- ,61,4
,,,Culturas forrageiras,"1,459","1,417",543,187,"1,437","1,234","1,324","1,029","1,190",204
,,,Batata,"1,467",201,"1,408",157,992,42,1,... ,991,41
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,262,13,239,8,40,4,14,2,29,2
,,,Flores e plantas ornamentais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,161,37,56,8,118,29,102,20,95,10
,,,Sementes e propágulos de outras culturas não lenhosas,3,o ,2,... ,1,... ,1,... ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Felgueiras,,,,,,,,,,,
,,,Culturas temporárias,"1,327","4,474","1,287","2,074","1,172","2,397",962,"1,622","1,086",779
,,,Cereais para grão,"1,112","1,542","1,105","1,403",376,136,35,26,356,108
,,,Leguminosas secas para grão,220,37,173,26,74,9,2,... ,73,8
,,,Prados temporários,7,5,7,4,3,1,- ,- ,3,1
,,,Culturas forrageiras,"1,043","2,555",231,502,"1,025","2,053",938,"1,475",886,579
,,,Batata,992,180,712,113,474,69,13,3,468,65
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,210,43,108,17,132,22,56,12,87,9
,,,Flores e plantas ornamentais,14,3,14,3,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,191,97,6,1,185,96,181,96,6,1
,,,Sementes e propágulos de outras culturas não lenhosas,8,10,1,... ,8,9,6,5,8,4
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,,,
