Explorações com rega e drenagem (Grande Porto),,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 4/6
,,,,Grande Porto,Espinho,Gondomar,Maia,Matosinhos,Póvoa de Varzim,Valongo,Vila do Conde,Vila Nova de Gaia
Superfície irrigável,,,expl (nº),"4,468",33,738,401,290,"1,273",301,858,574
,,,área (ha),"15,179",51,"1,387","1,717","1,172","3,094",736,5739,1283
Sistema de rega ,,,,,,,,,,,,
,Colectivo estatal,,expl (nº),78,- ,14,9,2,17,19,11,6
,Colectivo privado,,expl (nº),612,3,234,48,2,171,69,17,68
,Individual,,expl (nº),"4,270",32,657,392,289,"1,226",285,848,541
Origem das águas de rega,,,,,,,,,,,,
,"Furo, poço, nascente",,expl (nº),"4,173",31,674,389,269,"1,253",226,796,535
,Albufeira (barragem),,expl (nº),19,- ,3,3,2,3,- ,3,5
,Açude,,expl (nº),12,- ,1,4,- ,1,2,4,- 
,Charca,,expl (nº),46,- ,- ,8,1,15,1,20,1
,Curso de água natural,,expl (nº),785,5,113,52,62,66,140,248,99
,Outra,,expl (nº),101,- ,40,18,12,7,19,1,4
Método de colocação de água no terreno,,,,,,,,,,,,
,Sem elevação,,expl (nº),511,1,319,15,6,4,85,10,71
,Com elevação,,expl (nº),"4,315",33,669,396,285,"1,272",271,856,533
,,Motor electrico,expl (nº),"3,783",31,624,377,271,937,234,794,515
,,Motor a carburante,expl (nº),"1,533",4,77,139,50,879,75,275,34
,,Outros meios,expl (nº),77,- ,7,1,28,2,23,13,3
Superfície drenada,,,expl (nº),680,- ,2,8,- ,610,3,57,- 
,,,área (ha),975,- ,... ,10,- ,753,1,207,- 
Superfície com encharcamento,,,expl (nº),639,- ,29,78,12,287,18,211,4
,,,área (ha),845,- ,22,52,4,393,17,356,1
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,,
