Utilização das terras (Grande Porto),,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 4/6
,,,Grande Porto,Espinho,Gondomar,Maia,Matosinhos,Póvoa de Varzim,Valongo,Vila do Conde,Vila Nova de Gaia
Superfície Total,,expl (nº),"4,606",35,779,407,294,"1,316",309,876,590
 ,,área (ha),"23,657",75,"3,297","2,758","1,566","4,030","1,838","8,085","2,008"
Superfície Agrícola Utilizada (SAU),,expl (nº),"4,585",35,778,405,293,"1,309",304,871,590
 ,,área (ha),"16,159",53,"1,564","1,778","1,227","3,388",777,"6,039","1,333"
Terra arável,,expl (nº),"4,506",34,743,397,293,"1,307",288,865,579
,,área (ha),"14,869",43,"1,166","1,619","1,186","3,278",608,"5,828","1,141"
,Terra arável limpa,expl (nº),"4,506",34,743,397,293,"1,307",288,865,579
,,área (ha),"14,866",43,"1,166","1,619","1,186","3,278",608,"5,825","1,141"
,Culturas temporárias,expl (nº),"4,416",34,722,383,288,"1,306",275,847,561
,,área (ha),"14,662",43,"1,129","1,584","1,173","3,242",600,"5,768","1,123"
,Pousio (com e sem ajuda),expl (nº),48,- ,13,13,6,6,3,4,3
,,área (ha),32,- ,8,10,1,5,o ,7,1
,Horta familiar,expl (nº),"2,371",6,337,254,210,530,99,700,235
,,área (ha),165,o ,26,24,11,32,7,48,17
,Culturas sob-coberto matas e florestas,expl (nº),4,- ,2,- ,- ,- ,- ,2,- 
,,área (ha),4,- ,... ,- ,- ,- ,- ,... ,- 
,Culturas temporárias,expl (nº),2,- ,2,- ,- ,- ,- ,- ,- 
,,área (ha),... ,- ,... ,- ,- ,- ,- ,- ,- 
,Pousio (com e sem ajuda),expl (nº),2,- ,- ,- ,- ,- ,- ,2,- 
,,área (ha),... ,- ,- ,- ,- ,- ,- ,... ,- 
Culturas permanentes,,expl (nº),"2,665",10,684,323,126,404,272,478,368
,,área (ha),"1,084",3,344,147,32,89,158,174,137
,Sem culturas sob-coberto,expl (nº),"2,234",9,571,261,103,329,196,431,334
,,área (ha),935,3,299,129,29,72,125,162,116
,Com culturas temporárias,expl (nº),597,1,167,93,26,96,99,67,48
,,área (ha),137,... ,42,16,5,17,28,10,19
,Com pousio (com e sem ajuda),expl (nº),- ,- ,- ,- ,- ,- ,- ,- ,- 
,,área (ha),- ,- ,- ,- ,- ,- ,- ,- ,- 
,Com horta familiar,expl (nº),95,1,26,15,3,17,15,15,3
,,área (ha),2,... ,2,o ,o ,o ,o ,o ,o 
,Com pastagens permanentes,expl (nº),13,- ,5,1,1,- ,1,2,3
,,área (ha),5,- ,1,... ,... ,- ,... ,... ,o 
Pastagens permanentes,,expl (nº),203,4,57,12,16,16,22,33,43
,,área (ha),196,6,52,9,7,20,11,38,53
,Em terra limpa,expl (nº),200,4,57,11,16,16,22,32,42
,,área (ha),191,6,52,7,7,20,11,35,53
,Sob-coberto de matas e florestas,expl (nº),5,- ,- ,1,- ,- ,- ,2,2
,,área (ha),5,- ,- ,... ,- ,- ,- ,... ,... 
Matas e florestas sem culturas sob-coberto,,expl (nº),"2,134",12,397,219,130,406,177,538,255
,,área (ha),"6,656",18,"1,635",891,288,503,"1,014","1,731",576
Superfície Agrícola não utilizada,,expl (nº),237,1,33,29,9,52,32,28,53
,,área (ha),225,... ,47,27,9,14,24,46,57
Outras superfícies,,expl (nº),"4,540",32,765,407,290,"1,302",307,871,566
,,área (ha),624,2,54,62,41,124,21,273,47
"Fonte: INE, Recenseamento da Agricultura, 1999 - Região Norte."
