Principais culturas permanentes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1999
Região Agrária,,,,Culturas Permanentes,Frutos frescos,Citrinos,Frutos sub-tropicais,Frutos secos,Olival,Vinha,Viveiros,Chá,Vime,Outras culturas permanentes
,Nut III,,,,,,,,,,,,,
,,Concelho,,,,,,,,,,,,
Entre Douro e Minho,,,expl (nº),"61,067","5,106","4,929",984,"1,378","6,695","60,273",81,- ,- ,18
,,,área (ha),"35,545","1,816",637,780,650,"1,115","30,211",150,- ,- ,4
,Minho Lima ,,expl (nº),"15,127",682,679,121,244,"1,577","15,055",11,- ,- ,3
,,,área (ha),"5,953",174,39,77,88,118,"5,368",48,- ,- ,o 
,,Arcos de Valdevez,expl (nº),"2,830",116,118,9,71,131,"2,823",3,- ,- ,- 
,,,área (ha),860,6,5,4,20,10,802,11,- ,- ,- 
,,Caminha,expl (nº),488,67,51,6,10,101,483,- ,- ,- ,- 
,,,área (ha),103,6,1,o ,3,5,79,- ,- ,- ,- 
,,Melgaço,expl (nº),"1,008",14,14,2,3,1,"1,008",- ,- ,- ,- 
,,,área (ha),497,o ,o ,... ,2,... ,494,- ,- ,- ,- 
,,Monção,expl (nº),"2,167",31,17,15,11,12,"2,167",- ,- ,- ,- 
,,,área (ha),"1,092",o ,o ,3,o ,o ,"1,086",- ,- ,- ,- 
,,Paredes de Coura,expl (nº),773,12,4,2,4,- ,766,3,- ,- ,- 
,,,área (ha),114,2,o ,... ,9,- ,62,35,- ,- ,- 
,,Ponte da Barca,expl (nº),"1,086",27,43,4,29,237,"1,083",- ,- ,- ,- 
,,,área (ha),392,4,o ,2,15,10,360,- ,- ,- ,- 
,,Ponte de Lima,expl (nº),"3,541",144,181,25,78,588,"3,531",1,- ,- ,- 
,,,área (ha),"1,856",114,22,20,32,50,"1,609",... ,- ,- ,- 
,,Valença,expl (nº),727,27,15,13,5,8,721,- ,- ,- ,3
,,,área (ha),235,1,o ,26,1,o ,204,- ,- ,- ,o 
,,Viana do Castelo,expl (nº),"2,164",232,233,42,31,495,"2,130",4,- ,- ,- 
,,,área (ha),752,40,11,20,5,43,622,2,- ,- ,- 
,,Vila Nova de Cerveira,expl (nº),343,12,3,3,2,4,343,- ,- ,- ,- 
,,,área (ha),52,1,o ,1,... ,o ,50,- ,- ,- ,- 
,Cávado,,expl (nº),"10,613","1,339","1,837",207,239,704,"10,340",22,- ,- ,7
,,,área (ha),"5,361",335,258,191,88,64,"4,357",28,- ,- ,1
,,Amares,expl (nº),900,143,460,36,42,153,879,1,- ,- ,1
,,,área (ha),"1,071",118,143,59,12,20,714,... ,- ,- ,... 
,,Barcelos,expl (nº),"3,809",490,532,55,50,188,"3,781",11,- ,- ,1
,,,área (ha),"1,715",56,32,30,18,16,"1,532",12,- ,- ,... 
,,Braga,expl (nº),"1,681",228,230,61,56,61,"1,659",7,- ,- ,4
,,,área (ha),"1,082",72,23,37,27,11,899,8,- ,- ,o 
,,Esposende,expl (nº),936,314,312,8,5,19,753,- ,- ,- ,- 
,,,área (ha),200,14,11,o ,1,2,172,- ,- ,- ,- 
,,Terras de Bouro,expl (nº),697,18,86,5,21,109,695,- ,- ,- ,- 
,,,área (ha),214,6,7,o ,4,7,189,- ,- ,- ,- 
,,Vila Verde,expl (nº),"2,590",146,217,42,65,174,"2,573",3,- ,- ,1
,,,área (ha),"1,079",69,42,65,26,8,851,5,- ,- ,... 
,Ave,,expl (nº),"8,708",789,908,154,175,541,"8,653",15,- ,- ,- 
,,,área (ha),"5,442",204,85,149,145,73,"4,740",10,- ,- ,- 
,,Fafe,expl (nº),"1,912",44,61,8,14,46,"1,908",3,- ,- ,- 
,,,área (ha),715,4,3,4,6,7,682,4,- ,- ,- 
,,Guimarães,expl (nº),"1,736",215,227,35,43,27,"1,725",3,- ,- ,- 
,,,área (ha),"1,565",58,14,60,39,4,"1,380",1,- ,- ,- 
,,Póvoa de Lanhoso,expl (nº),"1,029",48,164,9,27,180,"1,024",6,- ,- ,- 
,,,área (ha),693,28,11,28,27,34,555,3,- ,- ,- 
,,Santo Tirso,expl (nº),793,195,145,31,34,2,787,- ,- ,- ,- 
,,,área (ha),634,49,20,7,26,... ,534,- ,- ,- ,- 
,,Trofa,expl (nº),299,40,25,12,6,2,296,- ,- ,- ,- 
,,,área (ha),112,8,3,5,3,... ,93,- ,- ,- ,- 
,,Vieira do Minho,expl (nº),"1,126",19,97,3,7,279,"1,125",- ,- ,- ,- 
,,,área (ha),401,3,9,o ,4,28,352,- ,- ,- ,- 
,,Vila Nova de Famalicão,expl (nº),"1,612",214,179,51,36,4,"1,589",2,- ,- ,- 
,,,área (ha),"1,140",38,23,37,28,o ,999,... ,- ,- ,- 
,,Vizela,expl (nº),201,14,10,5,8,1,199,1,- ,- ,- 
,,,área (ha),182,16,2,8,12,... ,145,... ,- ,- ,- 
,Grande Porto,,expl (nº),"2,665",429,283,193,57,7,"2,474",5,- ,- ,- 
,,,área (ha),"1,084",84,40,179,11,2,745,4,- ,- ,- 
,,Espinho,expl (nº),10,6,5,2,- ,- ,4,- ,- ,- ,- 
,,,área (ha),3,3,o ,... ,- ,- ,o ,- ,- ,- ,- 
,,Gondomar,expl (nº),684,74,53,36,27,3,666,- ,- ,- ,- 
,,,área (ha),344,23,10,17,7,1,285,- ,- ,- ,- 
,,Maia,expl (nº),323,68,37,29,4,1,302,2,- ,- ,- 
,,,área (ha),147,12,3,37,1,... ,92,... ,- ,- ,- 
,,Matosinhos,expl (nº),126,24,13,8,1,- ,113,1,- ,- ,- 
,,,área (ha),32,7,1,7,... ,- ,17,... ,- ,- ,- 
,,Póvoa de Varzim,expl (nº),404,110,63,26,7,1,377,- ,- ,- ,- 
,,,área (ha),89,3,1,8,o ,... ,74,- ,- ,- ,- 
,,Valongo,expl (nº),272,17,5,14,1,1,270,- ,- ,- ,- 
,,,área (ha),158,8,o ,19,... ,... ,128,- ,- ,- ,- 
