Explorações segundo a OTE e a dimensão económica (Página 1),,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 1/6
,,Entre Douro e Minho,Minho Lima,Arcos de Valdevez,Caminha,Melgaço,Monção,Paredes de Coura,Ponte da Barca,Ponte de Lima,Valença
,,expl (nº),,,,,,,,,
Classes de dimensão económica (UDE),,"67,541","16,735","3,081",546,"1,356","2,207","1,153","1,123","3,729",779
,> 0 a < 2,"22,036","6,898","1,384",190,803,933,672,444,"1,142",358
,2 a < 4,"23,512","6,433","1,169",242,377,921,359,493,"1,556",287
,4 a < 8,"12,485","2,363",391,82,123,259,82,139,703,96
,8 a < 16,"4,969",607,96,14,36,56,23,29,179,17
,16 a < 40,"3,268",351,29,16,16,32,13,13,127,14
,40 a < 100,"1,121",68,8,2,1,4,2,3,20,5
,> = 100,150,15,4,- ,- ,2,2,2,2,2
OTE,,"67,546","16,735","3,081",546,"1,356","2,207","1,153","1,123","3,729",779
,Cereais e plantas olea./proteaginosas,320,72,1,3,- ,- ,10,6,15,12
,Culturas agrícolas diversas,"4,040",592,101,8,3,1,50,29,220,16
,Horticultura,"2,074",132,3,9,- ,4,7,1,40,13
,Viticultura,"7,460","1,773",245,22,372,496,7,90,330,63
,Fruticultura,513,34,3,3,- ,1,2,1,9,5
,Olivicultura,7,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas permanentes diversas,"1,231",111,20,6,1,7,4,7,38,7
,Bovinos de leite,"4,691",749,63,64,2,7,141,6,195,10
,Bovinos para gado/carne,"2,233",661,311,3,113,36,38,72,43,9
,Bovinos para leite/gado/carne,451,109,3,6,- ,1,24,- ,15,1
,Ovinos/caprinos/outros herbívoros,"2,292","1,254",369,54,208,117,179,103,113,34
,Granívoros,275,54,2,4,2,2,2,2,22,6
,Policultura,"24,151","4,756",875,83,252,646,116,399,"1,308",358
,Polipecuária-herbívoros,"9,056","3,564",613,187,256,571,305,242,660,112
,Polipecuária-granívoros,412,88,4,4,8,3,14,2,34,6
,Agricultura geral e herbívoros,"4,461","1,648",216,61,38,66,217,87,480,86
,Culturas diversas e gado,"3,874","1,138",252,29,101,249,37,76,207,41
,Não classificadas,5,- ,- ,- ,- ,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",

,
,













,
