Explorações segundo a OTE e a dimensão económica (Página 4),,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 4/6
,,Gondomar,Maia,Matosinhos,Póvoa de Varzim,Valongo,Vila do Conde,Vila Nova de Gaia,Tâmega,Amarante,Baião
,,expl (nº),,,,,,,,,
Classes de dimensão económica (UDE),,779,407,294,"1,315",309,876,590,"20,528","2,212","1,911"
,> 0 a < 2,255,58,39,239,96,94,182,"6,674",596,850
,2 a < 4,208,102,62,276,101,119,156,"7,128",729,663
,4 a < 8,156,79,62,297,54,112,125,"4,233",564,254
,8 a < 16,107,69,44,258,26,100,70,"1,602",211,80
,16 a < 40,48,63,64,149,25,228,46,695,86,46
,40 a < 100,5,33,23,81,5,207,8,161,20,16
,> = 100,- ,3,- ,15,2,16,3,35,6,2
OTE,,779,407,294,"1,316",309,876,590,"20,528","2,212","1,911"
,Cereais e plantas olea./proteaginosas,8,1,4,- ,4,5,13,66,8,3
,Culturas agrícolas diversas,76,50,27,44,31,59,78,"1,121",100,102
,Horticultura,156,40,21,807,14,26,158,70,10,4
,Viticultura,61,11,1,5,26,9,3,"4,047",648,515
,Fruticultura,15,9,2,- ,8,16,29,201,8,16
,Olivicultura,- ,- ,- ,- ,- ,- ,- ,7,- ,1
,Culturas permanentes diversas,18,8,1,2,2,3,4,630,50,104
,Bovinos de leite,6,73,104,264,20,495,10,169,9,2
,Bovinos para gado/carne,5,24,22,28,13,82,12,452,6,4
,Bovinos para leite/gado/carne,1,6,10,17,1,35,1,20,- ,1
,Ovinos/caprinos/outros herbívoros,6,11,3,5,4,9,14,460,22,16
,Granívoros,3,1,- ,2,3,5,4,74,2,1
,Policultura,330,98,32,78,130,31,187,"9,595","1,146",942
,Polipecuária-herbívoros,23,26,31,22,21,36,23,"1,629",58,89
,Polipecuária-granívoros,3,2,3,3,2,4,5,92,5,5
,Agricultura geral e herbívoros,30,29,24,20,12,50,27,934,71,68
,Culturas diversas e gado,38,18,9,18,18,11,22,961,69,38
,Não classificadas,- ,- ,- ,1,- ,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",
