Principais culturas temporárias (Página 1),,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,pág. 1/8
Região Agrária,,,,Total,,Cultura Principal,,Cultura Secundária,,,,,
,Nut III,,,,,,,Total,,Sucessiva,,Associada sob-coberto de permanentes,
,,Concelho,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
ENTRE DOURO E MINHO,,,,,,,,,,,,,
,,,Culturas temporárias,"63,612","201,592","62,565","106,321","57,881","95,280","52,676","79,894","37,664","15,366"
,,,Cereais para grão,"50,898","44,916","49,974","40,566","19,614","4,342","2,615",963,"18,230","3,348"
,,,Leguminosas secas para grão,"27,855","5,255","26,247","4,423","10,730",778,"1,010",159,"10,290",610
,,,Prados temporários,"11,291","7,900","10,623","7,188","4,635",695,- ,- ,"4,635",695
,,,Culturas forrageiras,"54,400","126,443","23,494","44,704","53,108","81,755","50,861","72,692","29,131","9,040"
,,,Batata,"47,512","7,103","42,926","5,783","17,717","1,257",590,105,"17,331","1,140"
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,122,26,90,18,62,9,31,6,55,3
,,,Culturas hortícolas,"10,507","3,687","7,985","2,793","4,432",865,"2,747",705,"2,198",135
,,,Flores e plantas ornamentais,781,196,742,183,90,7,29,4,63,3
,,,Sementes de culturas forrageiras,"18,009","5,874","2,563",497,"16,464","5,351","15,727","5,105","3,665",224
,,,Sementes e propágulos de outras culturas não lenhosas,165,63,49,15,132,47,109,37,50,8
,,,Outras culturas temporárias,34,5,12,o ,22,5,18,3,5,2
,Minho Lima,,,,,,,,,,,,
,,,Culturas temporárias,"15,920","30,966","15,823","18,561","14,431","12,407","13,931","11,329","6,074","1,065"
,,,Cereais para grão,"14,480","9,141","14,462","8,992","1,583",142,327,35,"1,303",98
,,,Leguminosas secas para grão,"9,180","1,072","8,926","1,020",911,34,116,8,815,24
,,,Prados temporários,"5,604","3,186","5,379","3,001","1,340",181,- ,- ,"1,340",181
,,,Culturas forrageiras,"14,381","15,134","5,783","4,369","13,997","10,775","13,800","10,123","3,582",647
,,,Batata,"12,072",958,"11,420",880,"1,896",63,21,1,"1,877",61
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,20,o ,19,o ,1,... ,- ,- ,1,... 
,,,Culturas hortícolas,869,99,729,88,167,7,101,6,67,1
,,,Flores e plantas ornamentais,147,51,146,50,2,... ,- ,- ,2,... 
,,,Sementes de culturas forrageiras,"6,004","1,282","1,084",141,"5,127","1,136","5,080","1,132",99,2
,,,Sementes e propágulos de outras culturas não lenhosas,3,o ,- ,- ,3,o ,2,... ,1,... 
,,,Outras culturas temporárias,14,o ,7,o ,7,o ,7,o ,- ,- 
,,Arcos de Valdevez,,,,,,,,,,,
,,,Culturas temporárias,"2,893","4,433","2,890","2,707","2,639","1,728","2,552","1,538","1,074",181
,,,Cereais para grão,"2,685","1,375","2,682","1,313",749,66,48,1,712,61
,,,Leguminosas secas para grão,"1,995",254,"1,970",240,275,9,17,3,261,6
,,,Prados temporários,"1,439",853,"1,408",787,494,63,- ,- ,494,63
,,,Culturas forrageiras,"2,555","1,592",606,199,"2,512","1,390","2,498","1,349",351,41
,,,Batata,"2,158",120,"2,111",114,252,6,1,... ,251,6
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,4,o ,3,o ,1,... ,- ,- ,1,... 
,,,Culturas hortícolas,67,6,67,5,1,... ,- ,- ,1,... 
,,,Flores e plantas ornamentais,11,3,11,3,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,"1,165",226,252,40,971,182,956,181,27,o 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,4,o ,1,... ,3,o ,3,o ,- ,- 
,,Caminha,,,,,,,,,,,
,,,Culturas temporárias,515,876,515,488,469,391,463,372,156,15
,,,Cereais para grão,489,299,488,299,18,o ,6,o ,12,o 
,,,Leguminosas secas para grão,283,22,276,20,14,o ,3,o ,11,o 
,,,Prados temporários,25,8,25,8,- ,- ,- ,- ,- ,- 
,,,Culturas forrageiras,469,476,203,127,461,347,459,336,116,13
,,,Batata,447,33,437,31,60,2,6,o ,54,2
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,5,o ,5,o ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,16,o ,11,o ,5,o ,4,o ,1,... 
,,,Flores e plantas ornamentais,9,4,9,4,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,189,36,7,o ,185,36,185,36,3,o 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Melgaço,,,,,,,,,,,
,,,Culturas temporárias,"1,269",918,"1,242",539,"1,113",376,"1,079",365,102,12
,,,Cereais para grão,"1,099",286,"1,099",286,2,... ,2,... ,- ,- 
,,,Leguminosas secas para grão,764,52,749,52,23,o ,- ,- ,23,o 
,,,Prados temporários,303,81,289,75,21,9,- ,- ,21,9
,,,Culturas forrageiras,"1,090",399,248,43,"1,078",358,"1,077",356,8,1
,,,Batata,"1,230",83,"1,169",81,70,2,- ,- ,70,2
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Flores e plantas ornamentais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,81,8,33,2,49,6,49,6,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Monção,,,,,,,,,,,
,,,Culturas temporárias,"2,078","2,666","2,059","1,617","1,894","1,052","1,836",977,502,77
,,,Cereais para grão,"1,918",842,"1,915",835,92,4,69,4,25,o 
,,,Leguminosas secas para grão,"1,408",127,"1,360",118,118,3,17,o ,103,3
,,,Prados temporários,"1,077",333,"1,029",288,228,44,- ,- ,228,44
,,,Culturas forrageiras,"1,913","1,187",946,250,"1,840",936,"1,831",922,138,13
,,,Batata,"1,759",105,"1,659",97,163,4,1,... ,162,4
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,2,... ,2,... ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,20,1,16,1,4,o ,2,... ,2,... 
,,,Flores e plantas ornamentais,7,2,7,2,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,816,66,325,20,533,43,531,43,3,o 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,1,... ,- ,- ,1,... ,1,... ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,,,
