Produtor singular segundo a OTE e as classes de idade (Página 4),,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 4/10
Região Agrária,,,,Bovinos              para leite /gado /carne,Ovinos /caprinos /out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas
,Nut III,,,,,,,,,,,
,,Concelho,,nº de indivíduos,,,,,,,,
,Cávado,,,,,,,,,,,
,,,Total,122,176,40,"3,890","1,404",112,645,784,- 
,,,15 - 24,- ,2,- ,3,2,1,1,- ,- 
,,,25 - 34,8,14,5,72,42,7,18,26,- 
,,,35 - 44,16,31,6,397,174,24,87,92,- 
,,,45 - 54,40,42,8,725,340,22,135,189,- 
,,,55 - 64,37,53,12,"1,178",445,35,197,239,- 
,,,>= 65,21,34,9,"1,515",401,23,207,238,- 
,,Amares,,,,,,,,,,
,,,Total,- ,8,3,487,46,7,12,67,- 
,,,15 - 24,- ,- ,- ,1,- ,- ,- ,- ,- 
,,,25 - 34,- ,- ,- ,16,2,- ,- ,2,- 
,,,35 - 44,- ,1,1,57,8,1,3,9,- 
,,,45 - 54,- ,3,2,106,4,2,2,16,- 
,,,55 - 64,- ,3,- ,129,14,1,3,24,- 
,,,>= 65,- ,1,- ,178,18,3,4,16,- 
,,Barcelos,,,,,,,,,,
,,,Total,98,24,2,799,518,27,223,198,- 
,,,15 - 24,- ,- ,- ,- ,1,- ,- ,- ,- 
,,,25 - 34,7,1,- ,7,13,1,8,5,- 
,,,35 - 44,10,2,1,47,53,5,24,17,- 
,,,45 - 54,34,5,1,145,120,8,53,46,- 
,,,55 - 64,28,7,- ,230,176,6,63,67,- 
,,,>= 65,19,9,- ,370,155,7,75,63,- 
,,Braga,,,,,,,,,,
,,,Total,6,17,5,782,151,18,88,95,- 
,,,15 - 24,- ,- ,- ,1,- ,- ,- ,- ,- 
,,,25 - 34,- ,1,- ,5,4,1,3,2,- 
,,,35 - 44,2,4,- ,74,22,- ,11,13,- 
,,,45 - 54,1,2,- ,122,34,2,15,20,- 
,,,55 - 64,1,8,4,245,47,10,31,30,- 
,,,>= 65,2,2,1,335,44,5,28,30,- 
,,Esposende,,,,,,,,,,
,,,Total,15,2,2,399,139,10,68,77,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,1,- ,- ,4,3,- ,- ,3,- 
,,,35 - 44,4,- ,- ,31,22,1,6,11,- 
,,,45 - 54,3,1,1,78,41,2,14,25,- 
,,,55 - 64,7,1,- ,116,41,5,21,23,- 
,,,>= 65,- ,- ,1,170,32,2,27,15,- 
,,Terras do Bouro,,,,,,,,,,
,,,Total,- ,68,4,259,147,7,36,78,- 
,,,15 - 24,- ,2,- ,- ,1,- ,1,- ,- 
,,,25 - 34,- ,8,1,6,7,- ,2,4,- 
,,,35 - 44,- ,12,- ,37,14,4,7,7,- 
,,,45 - 54,- ,15,1,41,33,2,8,19,- 
,,,55 - 64,- ,18,2,83,48,1,3,19,- 
,,,>= 65,- ,13,- ,92,44,- ,15,29,- 
,,Vila Verde,,,,,,,,,,
,,,Total,3,57,24,"1,164",403,43,218,269,- 
,,,15 - 24,- ,- ,- ,1,- ,1,- ,- ,- 
,,,25 - 34,- ,4,4,34,13,5,5,10,- 
,,,35 - 44,- ,12,4,151,55,13,36,35,- 
,,,45 - 54,2,16,3,233,108,6,43,63,- 
,,,55 - 64,1,16,6,375,119,12,76,76,- 
,,,>= 65,- ,9,7,370,108,6,58,85,- 
,Ave,,,,,,,,,,,
,,,Total,20,152,26,"3,769","1,135",27,519,536,4
,,,15 - 24,1,1,- ,7,3,- ,- ,2,- 
,,,25 - 34,- ,11,7,101,35,2,14,15,1
,,,35 - 44,6,22,5,406,141,3,63,71,- 
,,,45 - 54,3,28,5,615,230,8,86,117,1
,,,55 - 64,6,47,3,"1,133",355,8,179,155,2
,,,>= 65,4,43,6,"1,507",371,6,177,176,- 
,,Fafe,,,,,,,,,,
,,,Total,- ,47,5,986,297,5,183,108,- 
,,,15 - 24,- ,- ,- ,2,- ,- ,- ,- ,- 
,,,25 - 34,- ,- ,3,23,7,- ,4,1,- 
,,,35 - 44,- ,5,- ,103,37,- ,25,18,- 
,,,45 - 54,- ,4,- ,186,67,2,29,24,- 
,,,55 - 64,- ,16,2,297,90,2,63,29,- 
,,,>= 65,- ,22,- ,375,96,1,62,36,- 
,,Guimarães,,,,,,,,,,
,,,Total,3,7,10,852,161,8,76,86,- 
,,,15 - 24,- ,- ,- ,2,1,- ,- ,- ,- 
,,,25 - 34,- ,- ,2,32,6,2,2,6,- 
,,,35 - 44,2,2,1,107,21,1,11,9,- 
,,,45 - 54,- ,1,2,113,30,1,13,24,- 
,,,55 - 64,- ,3,1,275,51,1,29,29,- 
,,,>= 65,1,1,4,323,52,3,21,18,- 
,,Póvoa de Lanhoso,,,,,,,,,,
