Máquinas e equipamentos (Página 4),,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 4/4
,,,,Miranda do Douro,Mirandela,Mogadouro,Montalegre,Murça,Valpaços,Vila Pouca de Aguiar,Vimioso,Vinhais
Explorações que utilizam tractores,,,expl (nº),"1,665","3,605","2,505","2,373",990,"4,614","1,758","1,373","2,478"
Máquinas pertencentes à exploração,,,,,,,,,,,,
,Tractores ( de rodas e de rasto),,expl (nº),"1,075","1,187","1,363",950,298,"1,236",551,586,895
,,,máq (nº),"1,228","1,329","1,640","1,176",330,"1,347",611,652,960
,,De menos de 20 c.v.,expl (nº),40,12,28,8,14,45,13,3,11
,,,máq (nº),40,13,28,8,14,45,13,3,11
,,De 20 a menos de 34 c.v.,expl (nº),74,102,73,50,103,239,64,27,46
,,,máq (nº),74,104,73,50,104,239,64,27,46
,,De 34 a menos de 55 c.v.,expl (nº),457,714,716,655,144,714,339,260,454
,,,máq (nº),463,735,736,714,150,729,348,262,459
,,De 55 a menos de 82 c.v.,expl (nº),547,400,657,339,55,287,158,303,396
,,,máq (nº),592,434,739,379,60,309,173,333,415
,,De 82 a menos de 109 c.v,expl (nº),49,37,51,21,1,15,10,25,25
,,,máq (nº),51,38,55,22,... ,17,11,26,27
,,De 109 c.v. e mais,expl (nº),8,5,9,3,1,6,2,1,2
,,,máq (nº),8,5,9,3,... ,8,... ,... ,... 
,Motocultivadores,,expl (nº),49,210,50,18,38,54,48,18,52
,,,máq (nº),52,221,50,18,38,58,51,19,54
,Motoenxadas (motofresas),,expl (nº),7,27,5,6,4,8,10,1,3
,,,máq (nº),7,28,5,6,4,8,10,... ,3
,Motoceifeiras (motogadanheiras),,expl (nº),184,30,46,816,17,83,86,80,170
,,,máq (nº),191,33,46,918,17,84,92,84,170
,Electrobomba/motobomba,,expl (nº),"1,104","2,804","1,099",342,611,799,687,782,936
,,,máq (nº),"1,251","3,736","1,183",361,685,970,939,939,997
,Distribuidores de adubos e correctivos,,expl (nº),294,202,513,64,17,49,50,132,65
,,,máq (nº),304,216,528,66,20,51,51,136,65
,Semeadores,,expl (nº),246,36,192,72,- ,12,31,71,79
,,,máq (nº),249,37,192,79,- ,12,35,71,79
,Plantadores/transplantadores,,expl (nº),3,3,5,15,4,8,4,- ,1
,,,máq (nº),3,3,5,16,4,8,5,- ,... 
,Pulverizadores e polvilhadores,,expl (nº),176,313,377,148,130,277,92,51,26
,,,máq (nº),176,336,382,153,150,292,108,53,29
,Gadanheiras,,expl (nº),321,117,492,274,21,125,187,120,212
,,,máq (nº),337,127,512,291,23,132,211,129,214
,Colhedores de forragem,,expl (nº),7,4,36,65,- ,11,42,4,3
,,,máq (nº),8,6,39,67,- ,14,56,4,4
,Enfardadeiras,,expl (nº),163,66,250,388,9,71,71,73,195
,,,máq (nº),181,73,271,411,11,73,71,81,200
,Ceifeiras-debulhadoras,,expl (nº),33,12,60,13,- ,14,17,22,22
,,,máq (nº),34,15,62,14,- ,15,17,22,22
,Secadores de cereais,,expl (nº),- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,máq (nº),- ,- ,- ,- ,- ,- ,- ,- ,- 
,Viradores de feno,,expl (nº),296,46,352,312,7,33,104,106,173
,,,máq (nº),300,47,357,315,7,33,110,110,173
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte."
