Principais culturas permanentes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1999
Região Agrária,,,,Culturas Permanentes,Frutos frescos,Citrinos,Frutos sub-tropicais,Frutos secos,Olival,Vinha,Viveiros,Chá,Vime,Outras culturas permanentes
,Nut III,,,,,,,,,,,,,
,,Concelho,,,,,,,,,,,,
Trás os Montes,,,expl (nº),"62,802","14,130","2,350",21,"28,087","37,344","49,714",190,- ,- ,281
,,,área (ha),"192,798","9,052",575,2,"46,338","72,295","64,291",135,- ,- ,105
,Douro,,expl (nº),"29,709","5,633","2,162",16,"11,094","17,186","25,310",99,- ,- ,279
,,,área (ha),"97,214","5,714",547,2,"17,604","28,278","44,913",49,- ,- ,104
,,Alijó,expl (nº),"2,873",285,144,1,555,"1,457","2,829",18,- ,- ,- 
,,,área (ha),"7,668",98,52,... ,298,"1,301","5,918",3,- ,- ,- 
,,Amamar,expl (nº),"1,272",556,20,- ,206,630,"1,062",- ,- ,- ,44
,,,área (ha),"4,095","1,352",10,- ,202,599,"1,924",- ,- ,- ,10
,,Carrazeda de Ansiães,expl (nº),"1,872",378,222,4,749,"1,492","1,782",3,- ,- ,- 
,,,área (ha),"5,658",491,57,o ,628,"1,892","2,588",1,- ,- ,- 
,,Freixo de Espada à Cinta,expl (nº),947,127,311,- ,642,909,694,1,- ,- ,- 
,,,área (ha),"5,689",29,133,- ,"1,733","2,814",978,... ,- ,- ,- 
,,Lamego,expl (nº),"1,891",585,7,- ,124,342,"1,704",16,- ,- ,3
,,,área (ha),"4,294",909,8,- ,82,201,"3,087",3,- ,- ,o 
,,Mesão Frio,expl (nº),602,16,24,1,15,86,601,12,- ,- ,- 
,,,área (ha),"1,212",10,10,... ,5,49,"1,128",8,- ,- ,- 
,,Moimenta da Beira,expl (nº),892,412,- ,- ,353,225,554,1,- ,- ,1
,,,área (ha),"1,636",797,- ,- ,308,161,368,... ,- ,- ,... 
,,Penedono,expl (nº),673,87,1,- ,582,212,357,4,- ,- ,- 
,,,área (ha),"1,913",138,... ,- ,"1,195",281,289,10,- ,- ,- 
,,Peso da Régua,expl (nº),"1,516",37,33,1,71,363,"1,510",19,- ,- ,- 
,,,área (ha),"4,009",21,12,... ,47,190,"3,723",15,- ,- ,- 
,,Sabrosa,expl (nº),"1,353",90,45,- ,117,716,"1,325",- ,- ,- ,- 
,,,área (ha),"3,621",77,9,- ,94,647,"2,794",- ,- ,- ,- 
,,Santa Marta de Penaguião,expl (nº),"1,487",55,36,1,156,562,"1,463",2,- ,- ,- 
,,,área (ha),"3,225",9,2,... ,76,237,"2,900",... ,- ,- ,- 
,,São João da Pesqueira,expl (nº),"2,214",236,179,1,"1,031","1,758","2,047",- ,- ,- ,- 
,,,área (ha),"10,997",248,25,... ,"1,518","2,972","6,238",- ,- ,- ,- 
,,Sernancelhe,expl (nº),984,197,- ,- ,524,326,805,1,- ,- ,- 
,,,área (ha),"1,760",216,- ,- ,648,220,676,... ,- ,- ,- 
,,Tabuaço,expl (nº),"1,263",125,17,1,224,910,977,- ,- ,- ,8
,,,área (ha),"3,846",135,5,... ,172,"1,292","2,237",- ,- ,- ,5
,,Tarouca,expl (nº),841,380,1,- ,280,297,691,3,- ,- ,223
,,,área (ha),"1,356",443,... ,- ,148,192,485,o ,- ,- ,89
,,Torre de Moncorvo,expl (nº),"2,176",436,414,2,"1,858","2,092","1,385",4,- ,- ,- 
,,,área (ha),"12,546",119,81,... ,"5,071","5,722","1,553",o ,- ,- ,- 
,,Vila Flôr,expl (nº),"1,865","1,027",413,1,"1,167","1,767","1,448",1,- ,- ,- 
,,,área (ha),"8,177",408,81,... ,"1,353","4,868","1,468",... ,- ,- ,- 
, ,Vila Nova de Foz Côa,expl (nº),"2,405",231,248,1,"1,948","2,110","1,777",- ,- ,- ,- 
,,,área (ha),"12,295",72,55,... ,"3,764","4,190","4,215",- ,- ,- ,- 
,,Vila Real,expl (nº),"2,583",373,47,2,492,932,"2,299",14,- ,- ,- 
,,,área (ha),"3,217",142,7,... ,262,450,"2,344",7,- ,- ,- 
,Alto Trás os Montes,,expl (nº),"33,093","8,497",188,5,"16,993","20,158","24,404",91,- ,- ,2
,,,área (ha),"95,584","3,338",28,o ,"28,734","44,017","19,378",86,- ,- ,... 
,,Alfândega da Fé,expl (nº),"1,357",254,73,- ,"1,113","1,331",663,4,- ,- ,- 
,,,área (ha),"8,998",244,17,- ,"3,297","5,022",419,2,- ,- ,- 
,,Boticas,expl (nº),640,13,- ,- ,209,68,458,- ,- ,- ,- 
,,,área (ha),420,2,- ,- ,194,23,199,- ,- ,- ,- 
,,Bragança,expl (nº),"3,892","1,362",1,1,"2,976","2,070","2,444",16,- ,- ,- 
,,,área (ha),"10,416",338,... ,... ,"5,961","2,983","1,130",9,- ,- ,- 
,,Chaves,expl (nº),"4,691",504,1,1,"1,127",812,"4,251",15,- ,- ,- 
,,,área (ha),"5,151",178,... ,... ,"1,059",447,"3,463",2,- ,- ,- 
,,Macedo de Cavaleiros,expl (nº),"3,149","1,157",4,- ,"1,493","2,948","2,045",10,- ,- ,- 
,,,área (ha),"11,683",456,o ,- ,"1,840","8,313","1,069",11,- ,- ,- 
,,Miranda do Douro,expl (nº),"1,638",442,2,- ,222,711,"1,562",- ,- ,- ,- 
,,,área (ha),"2,410",131,... ,- ,202,602,"1,474",- ,- ,- ,- 
,,Mirandela,expl (nº),"3,715","1,592",50,- ,"1,080","3,651","2,405",16,- ,- ,1
,,,área (ha),"16,236",684,5,- ,"1,269","12,416","1,842",13,- ,- ,... 
,,Mogadouro,expl (nº),"2,590",378,10,- ,"1,068","2,365","1,881",- ,- ,- ,- 
,,,área (ha),"9,775",149,4,- ,"2,014","5,498","2,104",- ,- ,- ,- 
,,Montalegre,expl (nº),504,36,- ,- ,433,10,169,- ,- ,- ,1
,,,área (ha),428,12,- ,- ,325,7,86,- ,- ,- ,... 
,,Murça,expl (nº),"1,383",250,4,1,672,"1,115","1,276",1,- ,- ,- 
