Explorações segundo a OTE e a dimensão económica (Página 4),,,,,,,
,,,,,,,1999
,,,,,,,pág. 4/4
,,Montalegre,Murça,Valpaços,Vila Pouca de Aguiar,Vimioso,Vinhais
,,expl. (nº),,,,,
Classes de dimensão económica (UDE),,"2,478","1,430","4,840","1,924","1,416","2,544"
,> 0 a < 2,"1,149",727,"2,396","1,118",641,"1,030"
,2 a < 4,608,329,"1,269",435,384,686
,4 a < 8,466,214,772,207,233,495
,8 a < 16,194,120,315,118,110,271
,16 a < 40,56,36,76,36,46,60
,40 a < 100,5,4,9,9,2,2
,> = 100,- ,- ,3,1,- ,- 
OTE,,"2,478","1,430","4,841","1,924","1,418","2,545"
,Cereais e plantas olea./proteaginosas,5,1,2,11,3,- 
,Culturas agrícolas diversas,121,10,49,202,6,22
,Horticultura,3,3,17,14,- ,- 
,Viticultura,- ,525,119,24,44,8
,Fruticultura,25,57,592,54,84,531
,Olivicultura,- ,40,331,2,168,37
,Culturas permanentes diversas,8,349,"1,668",56,394,494
,Bovinos de leite,34,4,19,152,9,8
,Bovinos para gado/carne,605,10,7,217,25,20
,Bovinos para leite/gado/carne,35,- ,4,51,4,5
,Ovinos/caprinos/outros herbívoros,553,71,148,284,97,157
,Granívoros,21,2,5,10,3,6
,Policultura,266,169,"1,263",297,304,690
,Polipecuária-herbívoros,276,56,187,203,85,196
,Polipecuária-granívoros,74,14,53,34,3,57
,Agricultura geral e herbívoros,336,8,73,179,14,21
,Culturas diversas e gado,116,111,303,134,173,292
,Não classificadas,- ,- ,1,- ,2,1
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
