Mão-de-obra agrícola não familiar (UTA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGIÃO AGRÁRIA,,,Mão - de -obra não familiar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilha,,,Total,Permanente,,,Trabalhadores eventuais agrícolas,Trabalhadores eventuais agrícolas não contratados pelo produtor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concelho,,,,Total,Dirigente,Outros trabalhadores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lajes do Pico,ind (nº),- ,   46 ,   4 ,   42 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,   66 ,   34 ,   4 ,   30 ,   29 ,   3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Madalena,ind (nº),- ,   41 ,   5 ,   36 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,   65 ,   27 ,   2 ,   24 ,   37 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,São Roque do Pico,ind (nº),- ,   22 ,   1 ,   21 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,   35 ,   21 ,   1 ,   20 ,   12 ,   2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilha do Faial ( Horta ),,ind (nº),- ,   46 ,   5 ,   41 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,   61 ,   43 ,   2 ,   41 ,   18 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilha das Flores,,ind (nº),- ,   30 ,   3 ,   27 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,   41 ,   27 ,o ,   27 ,   14 ,o ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lajes das Flores,ind (nº),- ,   16 ,   2 ,   14 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,   19 ,   14 ,o ,   14 ,   5 ,o ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Santa Cruz das Flores,ind (nº),- ,   14 ,   1 ,   13 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,   22 ,   13 ,o ,   13 ,   9 ,o ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilha do Corvo ( Corvo ),,ind (nº),- ,   1 ,   1 ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,o ,o ,o ,- ,o ,o ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
