Explorações segundo o número de blocos com SAU (Açores - Ilha do Corvo),,,,,,,,,,,,
,,,,,,,,,Pág. 2/2,,,
REGIÃO AGRÁRIA,,Número de blocos com SAU,,,,,,,,,,
Ilha / Concelho,,Total,1,2,3,4 e 5,6 a 9,10 a 19,> = 20,,,
Ilha de São Jorge,expl (nº),  1 290 ,   162 ,   231 ,   145 ,   175 ,   236 ,   272 ,   69 ,,,
,SAU (ha),  11 433 ,   67 ,   264 ,   233 ,   629 ,  2 616 ,  5 244 ,  2 379 ,,,
,blocos com SAU (nº),  8 928 ,   162 ,   462 ,   435 ,   781 ,  1 720 ,  3 642 ,  1 726 ,,,
Calheta,expl (nº),   646 ,   76 ,   111 ,   77 ,   99 ,   113 ,   143 ,   27 ,,,
,SAU (ha),  5 551 ,   44 ,   57 ,   99 ,   365 ,  1 344 ,  2 716 ,   925 ,,,
,blocos com SAU (nº),  4 279 ,   76 ,   222 ,   231 ,   444 ,   828 ,  1 863 ,   615 ,,,
Velas,expl (nº),   644 ,   86 ,   120 ,   68 ,   76 ,   123 ,   129 ,   42 ,,,
,SAU (ha),  5 882 ,   23 ,   207 ,   134 ,   264 ,  1 272 ,  2 528 ,  1 454 ,,,
,blocos com SAU (nº),  4 649 ,   86 ,   240 ,   204 ,   337 ,   892 ,  1 779 ,  1 111 ,,,
Ilha do Pico,expl (nº),  2 647 ,   221 ,   290 ,   331 ,   492 ,   516 ,   496 ,   301 ,,,
,SAU (ha),  19 209 ,   59 ,   258 ,   255 ,  1 764 ,  1 398 ,  6 149 ,  9 326 ,,,
,blocos com SAU (nº),  23 150 ,   221 ,   580 ,   993 ,  2 192 ,  3 753 ,  6 780 ,  8 631 ,,,
Lajes do Pico,expl (nº),  1 005 ,   68 ,   95 ,   107 ,   181 ,   194 ,   228 ,   132 ,,,
,SAU (ha),  8 132 ,   18 ,   158 ,   84 ,   743 ,   535 ,  2 851 ,  3 741 ,,,
,blocos com SAU (nº),  9 739 ,   68 ,   190 ,   321 ,   806 ,  1 412 ,  3 126 ,  3 816 ,,,
Madalena,expl (nº),  1 087 ,   99 ,   120 ,   154 ,   208 ,   225 ,   170 ,   111 ,,,
,SAU (ha),  6 137 ,   28 ,   35 ,   110 ,   148 ,   477 ,  1 717 ,  3 622 ,,,
,blocos com SAU (nº),  8 833 ,   99 ,   240 ,   462 ,   920 ,  1 645 ,  2 299 ,  3 168 ,,,
São Roque do Pico,expl (nº),   555 ,   54 ,   75 ,   70 ,   103 ,   97 ,   98 ,   58 ,,,
,SAU (ha),  4 940 ,   13 ,   65 ,   61 ,   873 ,   386 ,  1 581 ,  1 963 ,,,
,blocos com SAU (nº),  4 578 ,   54 ,   150 ,   210 ,   466 ,   696 ,  1 355 ,  1 647 ,,,
Ilha do Faial ( Horta ),expl (nº),  1 264 ,   270 ,   191 ,   137 ,   173 ,   205 ,   223 ,   65 ,,,
,SAU (ha),  8 645 ,   192 ,   343 ,   368 ,   732 ,  1 905 ,  3 568 ,  1 540 ,,,
,blocos com SAU (nº),  8 043 ,   270 ,   382 ,   411 ,   764 ,  1 514 ,  3 070 ,  1 632 ,,,
Ilha das Flores,expl (nº),   607 ,   33 ,   86 ,   64 ,   97 ,   98 ,   146 ,   83 ,,,
,SAU (ha),  8 003 ,   19 ,   68 ,   37 ,   162 ,   467 ,  5 319 ,  1 932 ,,,
,blocos com SAU (nº),  5 981 ,   33 ,   172 ,   192 ,   432 ,   740 ,  2 037 ,  2 375 ,,,
Lajes das Flores,expl (nº),   305 ,   8 ,   42 ,   35 ,   38 ,   43 ,   79 ,   60 ,,,
,SAU (ha),  2 567 ,   1 ,   27 ,   16 ,   48 ,   140 ,   904 ,  1 433 ,,,
,blocos com SAU (nº),  3 588 ,   8 ,   84 ,   105 ,   171 ,   323 ,  1 122 ,  1 775 ,,,
Santa Cruz das Flores,expl (nº),   302 ,   25 ,   44 ,   29 ,   59 ,   55 ,   67 ,   23 ,,,
,SAU (ha),  5 436 ,   18 ,   41 ,   21 ,   114 ,   327 ,  4 415 ,   499 ,,,
,blocos com SAU (nº),  2 393 ,   25 ,   88 ,   87 ,   261 ,   417 ,   915 ,   600 ,,,
Ilha do Corvo ( Corvo ),expl (nº),   65 ,   1 ,   1 ,   1 ,   3 ,   5 ,   8 ,   46 ,,,
,SAU (ha),   982 ,... ,... ,... ,   2 ,   2 ,   14 ,   299 ,,,
,blocos com SAU (nº),  2 154 ,... ,... ,... ,   14 ,   34 ,   130 ,  1 970 ,,,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
