Produtor singular segundo a OTE e as classes de idade (Não Classificados - Ilha do Corvo),,,,,,,,,,
,,,,,,,,,,Pág.8/8
REGIÃO AGRÁRIA,,Bovinos para leite /gado /carne,Ovinos /caprinos /out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas
Ilha / Concelho,,nº de indivíduos,,,,,,,,
Ilha das Flores,,,,,,,,,,
Total,,   86 ,   41 ,   3 ,   80 ,   61 ,   6 ,   33 ,   23 ,- 
15 - 24,,   5 ,   2 ,- ,- ,   2 ,- ,- ,   1 ,- 
25 - 34,,   11 ,   1 ,- ,   5 ,   12 ,- ,   3 ,   2 ,- 
35 - 44,,   31 ,   19 ,   1 ,   5 ,   6 ,- ,   7 ,   2 ,- 
45 - 54,,   14 ,   12 ,   1 ,   8 ,   17 ,   2 ,   2 ,   9 ,- 
55 - 64,,   18 ,   6 ,   1 ,   22 ,   16 ,   1 ,   10 ,   6 ,- 
>= 65,,   7 ,   1 ,- ,   40 ,   8 ,   3 ,   11 ,   3 ,- 
,Lajes das Flores,,,,,,,,,
,Total,   50 ,   27 ,   1 ,   41 ,   33 ,   3 ,   17 ,   10 ,- 
,15 - 24,   3 ,   2 ,- ,- ,- ,- ,- ,   1 ,- 
,25 - 34,   6 ,- ,- ,   4 ,   8 ,- ,   2 ,   1 ,- 
,35 - 44,   22 ,   11 ,- ,   4 ,   3 ,- ,   1 ,- ,- 
,45 - 54,   7 ,   10 ,   1 ,   2 ,   11 ,   1 ,   1 ,   2 ,- 
,55 - 64,   10 ,   3 ,- ,   8 ,   6 ,   1 ,   7 ,   5 ,- 
,>= 65,   2 ,   1 ,- ,   23 ,   5 ,   1 ,   6 ,   1 ,- 
,Santa Cruz das Flores,,,,,,,,,
,Total,   36 ,   14 ,   2 ,   39 ,   28 ,   3 ,   16 ,   13 ,- 
,15 - 24,   2 ,- ,- ,- ,   2 ,- ,- ,- ,- 
,25 - 34,   5 ,   1 ,- ,   1 ,   4 ,- ,   1 ,   1 ,- 
,35 - 44,   9 ,   8 ,   1 ,   1 ,   3 ,- ,   6 ,   2 ,- 
,45 - 54,   7 ,   2 ,- ,   6 ,   6 ,   1 ,   1 ,   7 ,- 
,55 - 64,   8 ,   3 ,   1 ,   14 ,   10 ,- ,   3 ,   1 ,- 
,>= 65,   5 ,- ,- ,   17 ,   3 ,   2 ,   5 ,   2 ,- 
Ilha do Corvo (Corvo),,,,,,,,,,
Total,,   32 ,   3 ,   2 ,   8 ,   5 ,- ,- ,- ,- 
,15 - 24,   2 ,- ,- ,- ,- ,- ,- ,- ,- 
,25 - 34,   5 ,   1 ,- ,   1 ,- ,- ,- ,- ,- 
,35 - 44,   6 ,- ,   1 ,- ,- ,- ,- ,- ,- 
,45 - 54,   11 ,- ,   1 ,- ,   2 ,- ,- ,- ,- 
,55 - 64,   6 ,   1 ,- ,   1 ,- ,- ,- ,- ,- 
,>= 65,   2 ,   1 ,- ,   6 ,   3 ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,,
