Produtor singular segundo a OTE e as classes de idade (Bovinos para Gado/Carne - Ilha do Corvo),,,,,,,,,,,
,,,,,,,,,,,Pág. 4/8
REGIÃO AGRÁRIA,,Total,Cereais Plantas olea./prot.,Culturas agrícolas diversas,Horticultura,Viticultura,Fruticultura,Olivicultura,Culturas permanentes diversas,Bovinos de leite,Bovinos para gado/carne
Ilha / Concelho,,nº de indivíduos,,,,,,,,,
Ilha das Flores,,,,,,,,,,,
Total,,   604 ,- ,   60 ,   17 ,- ,   21 ,- ,- ,   22 ,   151 
15 - 24,,   16 ,- ,   1 ,   1 ,- ,- ,- ,- ,   2 ,   2 
25 - 34,,   62 ,- ,- ,- ,- ,   1 ,- ,- ,   2 ,   25 
35 - 44,,   122 ,- ,   5 ,   2 ,- ,   4 ,- ,- ,   2 ,   38 
45 - 54,,   124 ,- ,   6 ,   6 ,- ,   4 ,- ,- ,   6 ,   37 
55 - 64,,   139 ,- ,   14 ,   5 ,- ,   6 ,- ,- ,   5 ,   29 
>= 65,,   141 ,- ,   34 ,   3 ,- ,   6 ,- ,- ,   5 ,   20 
,Lajes das Flores,,,,,,,,,,
,Total,   303 ,- ,   25 ,   9 ,- ,   12 ,- ,- ,   17 ,   58 
,15 - 24,   11 ,- ,   1 ,   1 ,- ,- ,- ,- ,   2 ,   1 
,25 - 34,   31 ,- ,- ,- ,- ,   1 ,- ,- ,   1 ,   8 
,35 - 44,   66 ,- ,   2 ,   2 ,- ,   3 ,- ,- ,   1 ,   17 
,45 - 54,   63 ,- ,   3 ,   3 ,- ,   3 ,- ,- ,   5 ,   14 
,55 - 64,   63 ,- ,   5 ,   2 ,- ,   1 ,- ,- ,   4 ,   11 
,>= 65,   69 ,- ,   14 ,   1 ,- ,   4 ,- ,- ,   4 ,   7 
,Santa Cruz das Flores,,,,,,,,,,
,Total,   301 ,- ,   35 ,   8 ,- ,   9 ,- ,- ,   5 ,   93 
,15 - 24,   5 ,- ,- ,- ,- ,- ,- ,- ,- ,   1 
,25 - 34,   31 ,- ,- ,- ,- ,- ,- ,- ,   1 ,   17 
,35 - 44,   56 ,- ,   3 ,- ,- ,   1 ,- ,- ,   1 ,   21 
,45 - 54,   61 ,- ,   3 ,   3 ,- ,   1 ,- ,- ,   1 ,   23 
,55 - 64,   76 ,- ,   9 ,   3 ,- ,   5 ,- ,- ,   1 ,   18 
,>= 65,   72 ,- ,   20 ,   2 ,- ,   2 ,- ,- ,   1 ,   13 
Ilha do Corvo (Corvo),,,,,,,,,,,
Total,,   64 ,- ,   1 ,- ,- ,- ,- ,- ,- ,   13 
15 - 24,,   2 ,- ,- ,- ,- ,- ,- ,- ,- ,- 
25 - 34,,   9 ,- ,   1 ,- ,- ,- ,- ,- ,- ,   1 
35 - 44,,   9 ,- ,- ,- ,- ,- ,- ,- ,- ,   2 
45 - 54,,   15 ,- ,- ,- ,- ,- ,- ,- ,- ,   1 
55 - 64,,   10 ,- ,- ,- ,- ,- ,- ,- ,- ,   2 
>= 65,,   19 ,- ,- ,- ,- ,- ,- ,- ,- ,   7 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,,,
