População e mão-de-obra agrícola familiar (UTA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGIÃO AGRÁRIA,,,População familiar total,,,,População familiar com tempo de actividade na exploração,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilha / Concelho,,,Total,Produtor,Cônjuge,Outros membros,Total,Produtor,Cônjuge,Outros membros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AÇORES,,ind (nº),  68 340 ,  19 086 ,  15 771 ,  33 483 ,  44 722 ,  19 086 ,  11 342 ,  14 294 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calheta,ind (nº),  2 296 ,   641 ,   497 ,  1 158 ,  1 272 ,   641 ,   309 ,   322 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,- ,- ,- ,- ,   512 ,   343 ,   73 ,   96 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Velas,ind (nº),  2 224 ,   638 ,   509 ,  1 077 ,  1 188 ,   638 ,   259 ,   291 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,- ,- ,- ,- ,   391 ,   272 ,   58 ,   61 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilha do Pico,,ind (nº),  8 733 ,  2 640 ,  2 129 ,  3 964 ,  5 751 ,  2 640 ,  1 685 ,  1 426 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,- ,- ,- ,- ,  1 390 ,   840 ,   296 ,   254 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lajes do Pico,ind (nº),  3 388 ,  1 002 ,   794 ,  1 592 ,  2 043 ,  1 002 ,   553 ,   488 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,- ,- ,- ,- ,   537 ,   352 ,   91 ,   94 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Madalena,ind (nº),  3 575 ,  1 084 ,   898 ,  1 593 ,  2 458 ,  1 084 ,   757 ,   617 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,- ,- ,- ,- ,   587 ,   338 ,   141 ,   108 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
