Explorações com rega e drenagem (Página 2),,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 2/3
,,,,Santa Marta de Penaguião,São João da Pesqueira,Sernancelhe,Tabuaço,Tarouca,Torre de Moncorvo,Vila Flor,Vila Nova de Foz Côa,Vila Real
Superfície irrigável,,,expl (nº),135,499,"1,057",479,679,801,"1,470",201,"2,280"
,,,área (ha),75,885,"1,324",431,"1,118","1,321","3,632",530,"3,154"
Sistema de rega ,,,,,,,,,,,,
,Colectivo estatal,,expl (nº),3,33,232,20,223,43,172,6,10
,Colectivo privado,,expl (nº),28,32,65,67,276,4,6,17,"1,244"
,Individual,,expl (nº),107,447,975,449,454,770,"1,395",183,"1,765"
Origem das águas de rega,,,,,,,,,,,,
,"Furo, poço, nascente",,expl (nº),90,398,933,460,587,679,"1,362",174,"1,938"
,Albufeira (barragem),,expl (nº),- ,2,39,- ,1,20,148,4,1
,Açude,,expl (nº),2,14,115,13,178,5,1,1,64
,Charca,,expl (nº),1,30,189,21,25,8,37,6,70
,Curso de água natural,,expl (nº),65,63,166,73,164,190,363,19,"1,021"
,Outra,,expl (nº),3,25,2,1,- ,32,3,7,16
Método de colocação de água no terreno,,,,,,,,,,,,
,Sem elevação,,expl (nº),122,187,333,279,530,302,615,61,"1,780"
,Com elevação,,expl (nº),18,343,968,333,414,556,"1,230",144,"1,205"
,,Motor electrico,expl (nº),9,81,134,45,228,107,242,35,320
,,Motor a carburante,expl (nº),5,261,894,299,220,437,"1,034",103,947
,,Outros meios,expl (nº),4,15,4,- ,- ,40,35,7,9
Superfície drenada,,,expl (nº),4,3,1,- ,4,3,42,2,15
,,,área (ha),6,2,... ,- ,3,2,46,... ,9
Superfície com encharcamento,,,expl (nº),1,1,1,- ,12,1,11,1,25
,,,área (ha),... ,... ,... ,- ,3,... ,5,... ,4
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,,
