Principais culturas temporárias (Página 1),,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,pág. 1/5
Região Agrária,,,,Total,,Cultura Principal,,Cultura Secundária,,,,,
,Nut III,,,,,,,Total,,Sucessiva,,Associada sob-coberto de permanentes,
,,Concelho,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
TRÁS OS MONTES,,,,,,,,,,,,,
,,,Culturas temporárias,"43,466","115,379","42,720","102,503","15,528","12,860","12,697","10,597","4,676","2,259"
,,,Cereais para grão,"30,074","57,292","29,834","56,804","1,183",498,28,14,"1,157",485
,,,Leguminosas secas para grão,"8,077","1,135","7,855","1,078",351,42,23,6,329,34
,,,Prados temporários,"2,022","2,609","1,948","2,500",122,105,- ,- ,122,105
,,,Culturas forrageiras,"26,492","40,581","20,920","28,772","13,941","11,826","12,639","10,529","2,392","1,275"
,,,Batata,"31,667","13,109","30,954","12,733","1,813",352,82,28,"1,732",321
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,35,59,35,59,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,"1,617",510,"1,579",498,46,8,23,3,23,4
,,,Flores e plantas ornamentais,163,32,163,32,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,29,6,28,6,1,... ,1,... ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,50,9,46,9,5,o ,1,... ,4,o 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Douro,,,,,,,,,,,,
,,,Culturas temporárias,"13,316","17,057","12,932","14,474","3,741","2,568","2,811","2,216","1,252",352
,,,Cereais para grão,"7,799","6,273","7,711","6,201",250,76,3,1,247,75
,,,Leguminosas secas para grão,"2,850",402,"2,785",379,122,18,9,6,114,12
,,,Prados temporários,"1,014",892,994,878,27,10,- ,- ,27,10
,,,Culturas forrageiras,"6,022","6,476","4,262","4,109","3,147","2,377","2,804","2,207",466,168
,,,Batata,"8,418","2,734","8,148","2,643",568,77,2,... ,566,77
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,5,o ,5,o ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,738,227,729,225,12,2,3,o ,9,2
,,,Flores e plantas ornamentais,55,8,55,8,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,25,6,24,6,1,... ,1,... ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,4,1,3,1,1,... ,- ,- ,1,... 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Alijó,,,,,,,,,,,
,,,Culturas temporárias,982,478,904,377,432,101,259,64,239,35
,,,Cereais para grão,485,138,477,136,22,2,1,... ,21,2
,,,Leguminosas secas para grão,346,27,326,23,41,2,1,... ,40,2
,,,Prados temporários,32,13,29,12,4,o ,- ,- ,4,o 
,,,Culturas forrageiras,469,146,275,75,300,74,258,64,49,9
,,,Batata,750,146,680,126,181,18,1,... ,180,18
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,3,o ,3,o ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,15,4,15,4,- ,- ,- ,- ,- ,- 
,,,Flores e plantas ornamentais,3,o ,3,o ,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Armamar,,,,,,,,,,,
,,,Culturas temporárias,451,199,437,188,45,10,26,7,19,2
,,,Cereais para grão,172,51,171,50,2,... ,- ,- ,2,... 
,,,Leguminosas secas para grão,74,7,73,6,1,... ,- ,- ,1,... 
,,,Prados temporários,6,2,6,2,- ,- ,- ,- ,- ,- 
,,,Culturas forrageiras,29,8,4,1,26,7,26,7,- ,- 
,,,Batata,381,129,367,124,17,1,- ,- ,17,1
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,14,2,14,2,- ,- ,- ,- ,- ,- 
