Culturas regadas (Página 2),,,,,,,,,,,,,,
,,,área regada (ha),- ,- ,- ,13,... ,126,47,- ,23,768,9
,,Vila Flor,expl (nº),- ,- ,- ,78,262,517,324,- ,10,103,43
,,,área regada (ha),- ,- ,- ,47,183,278,78,- ,4,314,7
,,Vila Nova de Foz Côa,expl (nº),- ,- ,- ,2,1,54,133,- ,9,45,2
,,,área regada (ha),- ,- ,- ,... ,... ,142,24,- ,161,105,... 
,,Vila Real,expl (nº),- ,- ,- ,116,552,117,10,- ,14,8,848
,,,área regada (ha),- ,- ,- ,33,561,76,4,- ,6,2,139
,Alto Trás os Montes ,,expl (nº),- ,1,- ,504,"9,930","1,158",54,3,68,712,"3,114"
,,,área regada (ha),- ,... ,- ,178,"23,744","1,217",7,1,49,"1,623",527
,,Alfândega da Fé,expl (nº),- ,- ,- ,8,28,50,27,- ,3,97,8
,,,área regada (ha),- ,- ,- ,6,43,140,4,- ,1,321,3
,,Boticas,expl (nº),- ,- ,- ,- ,856,- ,- ,- ,24,2,20
,,,área regada (ha),- ,- ,- ,- ,"2,613",- ,- ,- ,8,... ,2
,,Bragança,expl (nº),- ,- ,- ,77,"1,579",141,- ,- ,- ,19,317
,,,área regada (ha),- ,- ,- ,49,"3,904",140,- ,- ,- ,13,110
,,Chaves,expl (nº),- ,- ,- ,180,"1,328",94,- ,- ,5,5,669
,,,área regada (ha),- ,- ,- ,33,"1,676",70,- ,- ,1,6,70
,,Macedo de Cavaleiros,expl (nº),- ,- ,- ,4,121,65,- ,1,4,83,94
,,,área regada (ha),- ,- ,- ,3,273,72,- ,... ,o ,117,38
,,Miranda do Douro,expl (nº),- ,- ,- ,1,3,10,- ,- ,- ,21,3
,,,área regada (ha),- ,- ,- ,... ,3,4,- ,- ,- ,15,1
,,Mirandela,expl (nº),- ,- ,- ,130,265,333,17,- ,24,265,125
,,,área regada (ha),- ,- ,- ,62,311,230,1,- ,35,857,46
,,Mogadouro,expl (nº),- ,- ,- ,1,4,26,4,- ,2,107,71
,,,área regada (ha),- ,- ,- ,... ,14,55,1,- ,... ,149,12
,,Montalegre,expl (nº),- ,1,- ,- ,"2,233",12,- ,- ,1,3,373
,,,área regada (ha),- ,... ,- ,- ,"8,644",5,- ,- ,... ,3,54
,,Murça,expl (nº),- ,- ,- ,1,85,46,3,- ,4,20,101
,,,área regada (ha),- ,- ,- ,... ,65,62,o ,- ,3,26,14
,,Valpaços,expl (nº),- ,- ,- ,91,"1,405",244,2,2,1,65,432
,,,área regada (ha),- ,- ,- ,16,"1,423",250,... ,... ,... ,91,80
,,Vila Pouca de Aguiar,expl (nº),- ,- ,- ,11,959,14,- ,- ,- ,3,240
,,,área regada (ha),- ,- ,- ,8,"1,692",16,- ,- ,- ,1,42
,,Vimioso,expl (nº),- ,- ,- ,- ,2,12,1,- ,- ,16,72
,,,área regada (ha),- ,- ,- ,- ,... ,10,... ,- ,- ,16,19
,,Vinhais,expl (nº),- ,- ,- ,- ,"1,062",111,- ,- ,- ,6,589
,,,área regada (ha),- ,- ,- ,- ,"3,079",163,- ,- ,- ,7,36
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
