Produtor singular segundo a OTE e as classes de idade (Página 4),,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 4/6
Região Agrária,,,,Bovinos              para leite /gado /carne,Ovinos /caprinos /out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas
,Nut III,,,,,,,,,,,
,,Concelho,,nº de indivíduos,,,,,,,,
,,Sabrosa,,,,,,,,,,
,,,Total,1,39,4,82,26,11,13,39,- 
,,,15 - 24,- ,1,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,5,- ,2,- ,- ,- ,- ,- 
,,,35 - 44,- ,11,1,5,2,- ,- ,7,- 
,,,45 - 54,1,3,1,16,4,5,2,14,- 
,,,55 - 64,- ,7,- ,17,10,2,6,7,- 
,,,>= 65,- ,12,2,42,10,4,5,11,- 
,,Santa Marta de Penaguião,,,,,,,,,,
,,,Total,- ,6,1,18,3,- ,- ,13,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,1,- ,- ,- ,- ,- ,- ,- 
,,,35 - 44,- ,2,1,3,1,- ,- ,2,- 
,,,45 - 54,- ,- ,- ,2,- ,- ,- ,4,- 
,,,55 - 64,- ,3,- ,6,- ,- ,- ,5,- 
,,,>= 65,- ,- ,- ,7,2,- ,- ,2,- 
,,São João da Pesqueira,,,,,,,,,,
,,,Total,- ,22,1,44,6,- ,2,31,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,4,- ,5,1,- ,- ,2,- 
,,,35 - 44,- ,4,1,4,2,- ,1,12,- 
,,,45 - 54,- ,3,- ,11,1,- ,1,7,- 
,,,55 - 64,- ,9,- ,9,- ,- ,- ,5,- 
,,,>= 65,- ,2,- ,15,2,- ,- ,5,- 
,,Sernancelhe,,,,,,,,,,
,,,Total,2,51,3,255,79,25,42,79,1
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,2,- 
,,,25 - 34,1,5,- ,10,- ,2,1,2,- 
,,,35 - 44,- ,13,2,25,16,9,1,12,- 
,,,45 - 54,1,7,1,51,7,1,6,18,- 
,,,55 - 64,- ,14,- ,67,33,8,6,18,- 
,,,>= 65,- ,12,- ,102,23,5,28,27,1
,,Tabuaço,,,,,,,,,,
,,,Total,- ,9,1,135,10,2,20,37,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,1,- 
,,,25 - 34,- ,1,- ,11,- ,- ,1,2,- 
,,,35 - 44,- ,2,1,15,2,1,1,5,- 
,,,45 - 54,- ,3,- ,22,1,- ,1,9,- 
,,,55 - 64,- ,2,- ,32,3,1,11,9,- 
,,,>= 65,- ,1,- ,55,4,- ,6,11,- 
,,Tarouca,,,,,,,,,,
,,,Total,17,83,3,93,50,9,2,58,- 
,,,15 - 24,- ,1,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,1,- ,1,- ,1,- ,2,- 
,,,35 - 44,- ,8,- ,12,1,- ,- ,7,- 
,,,45 - 54,3,13,1,20,3,5,- ,16,- 
,,,55 - 64,10,20,1,24,23,3,- ,14,- 
,,,>= 65,4,40,1,36,23,- ,2,19,- 
,,Torre de Moncorvo,,,,,,,,,,
,,,Total,- ,80,- ,89,11,1,4,84,- 
,,,15 - 24,- ,- ,- ,1,- ,- ,- ,1,- 
,,,25 - 34,- ,2,- ,3,- ,- ,- ,6,- 
,,,35 - 44,- ,19,- ,5,2,- ,1,7,- 
,,,45 - 54,- ,24,- ,8,6,1,1,23,- 
,,,55 - 64,- ,19,- ,26,3,- ,1,23,- 
,,,>= 65,- ,16,- ,46,- ,- ,1,24,- 
,,Vila Flor,,,,,,,,,,
,,,Total,- ,49,1,74,8,2,- ,54,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,1,- 
,,,25 - 34,- ,4,- ,3,- ,- ,- ,3,- 
,,,35 - 44,- ,13,1,16,- ,1,- ,6,- 
,,,45 - 54,- ,13,- ,12,2,1,- ,14,- 
,,,55 - 64,- ,13,- ,12,4,- ,- ,17,- 
,,,>= 65,- ,6,- ,31,2,- ,- ,13,- 
,,Vila Nova de Foz Côa,,,,,,,,,,
,,,Total,- ,43,1,21,- ,- ,- ,44,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,1,- 
,,,25 - 34,- ,7,- ,- ,- ,- ,- ,2,- 
,,,35 - 44,- ,13,- ,- ,- ,- ,- ,7,- 
,,,45 - 54,- ,11,1,3,- ,- ,- ,15,- 
,,,55 - 64,- ,6,- ,6,- ,- ,- ,10,- 
,,,>= 65,- ,6,- ,12,- ,- ,- ,9,- 
,,Vila Real,,,,,,,,,,
,,,Total,53,238,22,330,255,59,142,192,2
,,,15 - 24,- ,- ,- ,1,- ,- ,1,- ,- 
,,,25 - 34,4,5,1,3,6,4,2,2,- 
,,,35 - 44,6,28,3,21,21,9,11,21,- 
,,,45 - 54,10,42,3,64,64,17,20,41,1
,,,55 - 64,23,64,10,91,72,19,42,53,1
,,,>= 65,10,99,5,150,92,10,66,75,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,,
