Principais culturas permanentes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1999
Região Agrária,,,,Culturas Permanentes,Frutos frescos,Citrinos,Frutos sub-tropicais,Frutos secos,Olival,Vinha,Viveiros,Chá,Vime,Outras culturas permanentes
Nut III,,,,,,,,,,,,,,
Concelho,,,,,,,,,,,,,,
BEIRA INTERIOR,,,expl (nº),"44,303","7,085","2,649",36,"3,966","35,176","28,424",42,- ,10,36
,,,área (ha),"93,049","6,762",410,4,"4,265","60,327","21,161",86,- ,6,32
,Pinhal Interior Sul ,,expl (nº),"7,835","1,000",423,10,156,"7,761","3,677",2,- ,- ,2
,,,área (ha),"10,711",238,54,1,76,"9,798",541,... ,- ,- ,... 
,,Mação,expl (nº),"1,410",176,166,- ,11,"1,383",685,- ,- ,- ,- 
,,,área (ha),"2,209",34,28,- ,5,"1,961",179,- ,- ,- ,- 
,,Oleiros,expl (nº),"1,597",68,3,- ,39,"1,570",772,- ,- ,- ,1
,,,área (ha),"2,024",29,o ,- ,26,"1,930",43,- ,- ,- ,... 
,,Proença-a-Nova,expl (nº),"1,810",544,186,2,31,"1,803",798,2,- ,- ,- 
,,,área (ha),"3,281",109,21,... ,9,"2,973",167,... ,- ,- ,- 
,,Sertã,expl (nº),"2,508",180,60,8,69,"2,499","1,138",- ,- ,- ,1
,,,área (ha),"2,795",59,4,1,33,"2,568",127,- ,- ,- ,... 
,,Vila de Rei,expl (nº),510,32,8,- ,6,506,284,- ,- ,- ,- 
,,,área (ha),402,7,1,- ,3,366,25,- ,- ,- ,- 
,Serra da Estrela,,expl (nº),"4,524",399,29,2,359,"3,727","3,689",8,- ,- ,3
,,,área (ha),"5,923",265,1,... ,257,"3,314","2,079",9,- ,- ,o 
,,Fornos de Algodres,expl (nº),672,73,6,- ,55,511,477,1,- ,- ,- 
,,,área (ha),644,32,1,- ,25,450,136,... ,- ,- ,- 
,,Gouveia,expl (nº),"1,506",130,8,- ,69,"1,250","1,306",4,- ,- ,2
,,,área (ha),"2,430",105,o ,- ,59,"1,064","1,199",5,- ,- ,... 
,,Seia,expl (nº),"2,346",196,15,2,235,"1,966","1,906",3,- ,- ,1
,,,área (ha),"2,849",128,o ,... ,173,"1,800",744,4,- ,- ,... 
,Beira Interior Norte,,expl (nº),"14,473","1,478",33,7,"3,175","8,117","11,478",10,- ,9,17
,,,área (ha),"31,211","1,589",10,1,"3,624","12,135","13,795",52,- ,2,11
,,Almeida,expl (nº),"1,062",53,- ,- ,42,182,"1,029",- ,- ,- ,- 
,,,área (ha),"1,061",12,- ,- ,21,250,772,- ,- ,- ,- 
,,Celorico da Beira,expl (nº),"1,024",66,1,- ,90,903,516,1,- ,- ,- 
,,,área (ha),"1,462",87,... ,- ,76,"1,064",233,... ,- ,- ,- 
,,Figueira Castelo Rodrigo,expl (nº),"1,608",40,15,- ,429,"1,372","1,233",- ,- ,- ,1
,,,área (ha),"8,198",45,8,- ,718,"4,553","2,873",- ,- ,- ,... 
,,Guarda,expl (nº),"2,123",367,4,2,566,892,"1,230",6,- ,9,2
,,,área (ha),"2,533",436,1,... ,586,800,666,45,- ,2,... 
,,Manteigas,expl (nº),154,10,- ,- ,6,60,141,- ,- ,- ,- 
,,,área (ha),110,39,- ,- ,6,24,41,- ,- ,- ,- 
,,Meda,expl (nº),"1,823",165,7,- ,731,"1,452","1,635",- ,- ,- ,1
,,,área (ha),"5,703",178,o ,- ,883,"1,822","2,822",- ,- ,- ,... 
,,Pinhel,expl (nº),"3,004",319,1,2,297,"1,539","2,877",1,- ,- ,2
,,,área (ha),"7,469",433,... ,... ,170,"2,121","4,750",... ,- ,- ,... 
,,Sabugal,expl (nº),"1,821",259,3,- ,240,604,"1,438",1,- ,- ,10
,,,área (ha),"1,309",118,o ,- ,278,413,484,... ,- ,- ,5
,,Trancoso,expl (nº),"1,854",199,2,3,774,"1,113","1,379",1,- ,- ,1
,,,área (ha),"3,366",241,... ,1,886,"1,088","1,154",... ,- ,- ,... 
,Beira Interior Sul,,expl (nº),"9,280","1,862","1,785",9,138,"8,997","3,783",12,- ,- ,14
,,,área (ha),"30,277",540,270,o ,92,"27,559","1,784",12,- ,- ,19
,,Castelo Branco,expl (nº),"4,614",879,861,5,45,"4,518","2,071",4,- ,- ,1
,,,área (ha),"13,597",337,128,o ,26,"12,021","1,085",4,- ,- ,... 
,,Idanha-a-Nova,expl (nº),"1,976",551,569,1,29,"1,901",511,3,- ,- ,10
,,,área (ha),"8,602",96,84,... ,10,"8,064",328,5,- ,- ,10
,,Penamacor,expl (nº),"1,592",194,67,1,46,"1,494",994,3,- ,- ,1
,,,área (ha),"3,910",65,12,... ,53,"3,453",319,1,- ,- ,... 
,,Vila Velha de Ródão,expl (nº),"1,098",238,288,2,18,"1,084",207,2,- ,- ,2
,,,área (ha),"4,168",42,46,... ,3,"4,021",52,... ,- ,- ,... 
,Cova da Beira,,expl (nº),"8,191","2,346",379,8,138,"6,574","5,797",10,- ,1,- 
,,,área (ha),"14,927","4,130",75,2,216,"7,521","2,962",13,- ,... ,- 
,,Belmonte,expl (nº),902,262,4,- ,8,609,743,- ,- ,- ,- 
,,,área (ha),"1,656",479,o ,- ,12,413,752,- ,- ,- ,- 
,,Covilhã,expl (nº),"2,685",664,15,4,74,"1,867","2,259",3,- ,- ,- 
,,,área (ha),"3,701","1,155",o ,o ,51,"1,548",939,2,- ,- ,- 
,,Fundão,expl (nº),"4,604","1,420",360,4,56,"4,098","2,795",7,- ,1,- 
,,,área (ha),"9,570","2,496",75,2,153,"5,560","1,271",11,- ,... ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,,,,,
