"Características da habitação do produtor singular (Total de Explorações, Idade da habitação entre 30 a 50 anos)",,,,,,,,
,,,,,,,1999,
,,,,,,,pág. 3/6,
Região Agrícola,,,Total de explorações,,,,,
Nut III,,,Total  ,Electricidade,Água Canalizada,Instalação Sanitária,Electrodomésticos,
Concelho,,,Idade da habitação entre 30 a 50 anos,,,,,
,,,expl. (nº),,,,,
BEIRA INTERIOR,,,"10,397","10,302","10,094","9,885","10,244",
,Pinhal Interior Sul ,,"2,217","2,211","2,186","2,143","2,206",
,,Mação,356,356,355,354,356,
,,Oleiros,459,459,448,453,459,
,,Proença-a-Nova,468,467,465,455,465,
,,Sertã,723,718,708,676,715,
,,Vila de Rei,211,211,210,205,211,
,Serra da Estrela,,705,703,695,682,701,
,,Fornos de Algodres,82,81,76,75,80,
,,Gouveia,251,250,251,251,249,
,,Seia,372,372,368,356,372,
,Beira Interior Norte,,"2,859","2,850","2,747","2,672","2,833",
,,Almeida,245,245,231,233,245,
,,Celorico da Beira,115,110,109,110,111,
,,Figueira de Castelo Rodrigo,231,231,230,227,230,
,,Guarda,490,488,462,450,483,
,,Manteigas,28,28,28,28,28,
,,Meda,469,469,463,456,463,
,,Pinhel,439,438,418,403,436,
,,Sabugal,595,594,578,552,590,
,,Trancoso,247,247,228,213,247,
,Beira Interior Sul,,"2,576","2,557","2,536","2,493","2,539",
,,Castelo Branco,"1,363","1,361","1,352","1,322","1,356",
,,Idanha-a-Nova,494,483,477,479,478,
,,Penamacor,490,484,479,468,476,
,,Vila Velha de Ródão,229,229,228,224,229,
,Cova da Beira,,"2,040","1,981","1,930","1,895","1,965",
,,Belmonte,207,203,202,200,202,
,,Covilhã,618,598,595,573,596,
,,Fundão,"1,215","1,180","1,133","1,122","1,167",
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
