Principais Culturas Temporárias (Serra da Estrela),,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 2/6
Região Agrária,,,Total,,Cultura Principal,,Cultura Secundária,,,,,
Nut III,,,,,,,Total,,Sucessiva,,Associada sob-coberto de permanentes,
Concelho,,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
Serra da Estrela,,,,,,,,,,,,
,,Culturas temporárias,"3,643","12,272","3,280","8,000","2,211","4,271","1,423","3,647","1,219",617
,,Cereais para grão,"2,606","2,384","2,321","2,157",529,224,72,96,461,124
,,Leguminosas secas para grão,"1,683",264,"1,453",229,344,31,27,3,319,28
,,Prados temporários,101,210,87,199,19,10,- ,- ,19,10
,,Culturas forrageiras,"2,009","8,567","1,383","4,727","1,553","3,843","1,379","3,516",415,325
,,Batata,"2,789",773,"2,329",622,796,151,58,27,742,120
,,Beterraba sacarina,2,... ,2,... ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,3,o ,3,o ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,159,64,135,58,38,5,5,o ,33,5
,,Flores e plantas ornamentais,14,o ,12,o ,3,o ,1,... ,2,... 
,,Sementes de culturas forrageiras,13,4,12,4,2,... ,2,... ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,5,o ,5,o ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,20,2,15,2,5,o ,2,... ,3,o 
,Fornos de Algodres,,,,,,,,,,,
,,Culturas temporárias,693,"3,874",658,"2,266",537,"1,607",458,"1,532",172,74
,,Cereais para grão,574,864,554,798,63,67,19,54,45,12
,,Leguminosas secas para grão,421,70,389,66,51,3,4,o ,47,3
,,Prados temporários,3,3,3,3,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,491,"2,668",265,"1,159",472,"1,511",455,"1,471",59,40
,,Batata,655,264,605,239,113,22,7,6,106,17
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,22,o ,15,o ,7,o ,2,... ,5,o 
,,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Gouveia,,,,,,,,,,,
,,Culturas temporárias,973,"3,161",856,"2,408",424,752,200,627,265,126
,,Cereais para grão,647,739,557,679,139,57,25,21,115,35
,,Leguminosas secas para grão,323,50,260,37,86,11,9,2,77,9
,,Prados temporários,27,75,23,73,5,2,- ,- ,5,2
,,Culturas forrageiras,376,"2,130",334,"1,488",215,645,187,590,52,52
,,Batata,682,127,543,95,194,33,29,11,168,19
,,Beterraba sacarina,2,... ,2,... ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,47,36,43,32,15,5,- ,- ,15,5
,,Flores e plantas ornamentais,10,o ,8,o ,2,... ,- ,- ,2,... 
,,Sementes de culturas forrageiras,4,2,4,2,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,14,1,12,1,2,... ,2,... ,- ,- 
,Seia,,,,,,,,,,,
,,Culturas temporárias,"1,977","5,237","1,766","3,326","1,250","1,912",765,"1,488",782,417
,,Cereais para grão,"1,385",781,"1,210",680,327,100,28,21,301,77
,,Leguminosas secas para grão,939,144,804,126,207,17,14,1,195,16
,,Prados temporários,71,132,61,123,14,8,- ,- ,14,8
,,Culturas forrageiras,"1,142","3,769",784,"2,080",866,"1,687",737,"1,455",304,233
,,Batata,"1,452",382,"1,181",288,489,96,22,10,468,84
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,2,... ,2,... ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,90,28,77,26,16,o ,3,o ,13,o 
,,Flores e plantas ornamentais,4,o ,4,o ,1,... ,1,... ,- ,- 
,,Sementes de culturas forrageiras,8,1,7,1,2,... ,2,... ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,5,o ,5,o ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,6,1,3,1,3,o ,- ,- ,3,o 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,,,
,,,,,,,,,,,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
