Principais Culturas Temporárias (Beira Interior Sul),,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 5/6
Região Agrária,,,Total,,Cultura Principal,,Cultura Secundária,,,,,
Nut III,,,,,,,Total,,Sucessiva,,Associada sob-coberto de permanentes,
Concelho,,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
Beira Interior Sul,,,,,,,,,,,,
,,Culturas temporárias,"5,882","55,467","5,181","46,326","3,365","9,148","1,770","5,602","2,504","3,542"
,,Cereais para grão,"1,937","12,807","1,702","12,366",441,441,142,181,324,261
,,Leguminosas secas para grão,647,588,570,479,106,105,37,45,69,60
,,Prados temporários,172,894,145,768,40,126,- ,- ,40,126
,,Culturas forrageiras,"5,153","38,387","4,354","29,954","3,069","8,436","1,674","5,363","2,202","3,073"
,,Batata,744,90,607,68,187,21,21,2,167,19
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,82,"2,606",80,"2,592",3,14,1,... ,2,... 
,,Culturas hortícolas,240,80,222,74,19,4,- ,- ,19,4
,,Flores e plantas ornamentais,5,1,5,1,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,23,6,23,6,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,Castelo Branco,,,,,,,,,,,
,,Culturas temporárias,"2,916","20,929","2,514","16,021","1,828","4,913","1,070","3,440","1,268","1,471"
,,Cereais para grão,824,"2,303",685,"2,170",212,136,63,58,156,78
,,Leguminosas secas para grão,301,383,266,314,44,68,16,36,28,32
,,Prados temporários,44,373,39,369,5,4,- ,- ,5,4
,,Culturas forrageiras,"2,670","17,549","2,221","12,854","1,719","4,698","1,028","3,347","1,148","1,346"
,,Batata,295,34,228,26,82,8,6,o ,76,8
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,11,254,9,254,2,... ,- ,- ,2,... 
,,Culturas hortícolas,98,33,91,29,8,3,- ,- ,8,3
,,Flores e plantas ornamentais,3,o ,3,o ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Idanha-a-Nova,,,,,,,,,,,
,,Culturas temporárias,"1,311","26,750","1,155","24,213",604,"2,538",165,"1,305",531,"1,233"
