"Produtor singular segundo a OTE e as Classes de Idade  (Beira Interior Norte, página 2)",,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 6/10
Região Agrária,,,Bovinos para leite / gado / carne,Ovinos / caprinos / out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas
Nut III,,,,,,,,,,,
Concelho,,,nº de indivíduos,,,,,,,,
Beira Interior Norte,,,,,,,,,,,
,,Total,93,"2,823",29,"2,714","1,173",120,839,"1,315",11
,,15 - 24,- ,13,- ,3,1,- ,1,4,- 
,,25 - 34,3,133,2,51,23,2,17,21,- 
,,35 - 44,15,447,6,205,116,18,88,130,- 
,,45 - 54,23,468,5,397,191,16,111,196,3
,,55 - 64,26,790,7,710,316,37,178,329,3
,,>= 65,26,972,9,"1,348",526,47,444,635,5
,Almeida,,,,,,,,,,
,,Total,16,347,1,127,105,5,43,159,- 
,,15 - 24,- ,1,- ,- ,- ,- ,- ,- ,- 
,,25 - 34,- ,13,- ,3,- ,- ,2,4,- 
,,35 - 44,3,50,1,3,6,- ,3,9,- 
,,45 - 54,5,59,- ,19,13,- ,5,12,- 
,,55 - 64,6,102,- ,37,31,3,6,35,- 
,,>= 65,2,122,- ,65,55,2,27,99,- 
,Celorico da Beira,,,,,,,,,,
,,Total,2,262,1,286,51,4,51,59,- 
,,15 - 24,- ,1,- ,1,- ,- ,- ,- ,- 
,,25 - 34,- ,20,- ,1,2,- ,2,- ,- 
,,35 - 44,1,56,- ,19,11,- ,6,5,- 
,,45 - 54,1,61,- ,42,9,2,10,5,- 
,,55 - 64,- ,78,1,72,9,2,11,15,- 
,,>= 65,- ,46,- ,151,20,- ,22,34,- 
,Figueira da Castelo Rodrigo,,,,,,,,,,
,,Total,2,185,2,109,22,1,11,154,9
,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,25 - 34,1,16,- ,2,- ,- ,1,3,- 
,,35 - 44,1,52,1,7,5,1,- ,18,- 
,,45 - 54,- ,43,- ,18,6,- ,- ,24,2
,,55 - 64,- ,50,1,32,5,- ,5,34,3
,,>= 65,- ,24,- ,50,6,- ,5,75,4
,Guarda,,,,,,,,,,
,,Total,27,680,13,549,293,32,324,143,- 
,,15 - 24,- ,5,- ,1,- ,- ,- ,- ,- 
,,25 - 34,1,26,- ,8,4,1,5,2,- 
,,35 - 44,4,86,3,45,29,7,38,12,- 
,,45 - 54,4,100,3,75,47,3,46,27,- 
,,55 - 64,7,205,3,138,85,11,70,40,- 
,,>= 65,11,258,4,282,128,10,165,62,- 
,Manteigas,,,,,,,,,,
,,Total,- ,38,1,24,1,8,16,8,- 
,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- ,
,,25 - 34,- ,1,- ,- ,- ,- ,- ,- ,- ,
,,35 - 44,- ,6,- ,- ,- ,2,1,1,- ,
,,45 - 54,- ,4,- ,4,1,2,2,1,- ,
,,55 - 64,- ,11,- ,10,- ,3,9,3,- ,
,,>= 65,- ,16,1,10,- ,1,4,3,- ,
,Meda,,,,,,,,,,,
,,Total,- ,75,2,297,53,- ,12,104,2,
,,15 - 24,- ,1,- ,1,1,- ,- ,- ,- ,
,,25 - 34,- ,4,1,8,1,- ,- ,1,- ,
,,35 - 44,- ,21,- ,25,6,- ,1,9,- ,
,,45 - 54,- ,12,- ,46,17,- ,1,12,1,
,,55 - 64,- ,19,- ,88,16,- ,5,26,- ,
,,>= 65,- ,18,1,129,12,- ,5,56,1,
,Pinhel,,,,,,,,,,,
,,Total,4,165,- ,483,100,1,42,320,- ,
,,15 - 24,- ,3,- ,- ,- ,- ,- ,2,- ,
,,25 - 34,1,12,- ,15,3,- ,1,7,- ,
,,35 - 44,1,29,- ,44,14,1,7,46,- ,
,,45 - 54,1,35,- ,81,16,- ,8,50,- ,
,,55 - 64,1,45,- ,145,31,- ,10,91,- ,
,,>= 65,- ,41,- ,198,36,- ,16,124,- ,
,Sabugal,,,,,,,,,,,
,,Total,35,799,7,377,344,59,219,174,- ,
,,15 - 24,- ,1,- ,- ,- ,- ,- ,1,- ,
,,25 - 34,- ,22,1,2,4,1,2,3,- ,
,,35 - 44,5,101,1,21,19,3,15,15,- ,
,,45 - 54,8,97,2,35,33,7,22,27,- ,
,,55 - 64,11,210,- ,85,84,17,37,36,- ,
,,>= 65,11,368,3,234,204,31,143,92,- ,
,Trancoso,,,,,,,,,,,
,,Total,7,272,2,462,204,10,121,194,- ,
,,15 - 24,- ,1,- ,- ,- ,- ,1,1,- 
,,25 - 34,- ,19,- ,12,9,- ,4,1,- 
,,35 - 44,- ,46,- ,41,26,4,17,15,- 
,,45 - 54,4,57,- ,77,49,2,17,38,- 
,,55 - 64,1,70,2,103,55,1,25,49,- 
,,>= 65,2,79,- ,229,65,3,57,90,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,,
