Utilização das terras (Total e Pinhal Interior Sul),,,,,,,,,
,,,,,,,,,1999
,,,,,,,,,pág. 1/5
,,,BEIRA INTERIOR,Pinhal Interior Sul,Mação,Oleiros,Proença-a-Nova,Sertã,Vila de Rei
Superfície Total,,expl (nº),"48,313","7,909","1,429","1,608","1,822","2,528",522
,,área (ha),"618,536","68,055","14,565","16,978","16,096","15,435","4,981"
Superfície Agrícola Utilizada (SAU),,expl (nº),"48,179","7,894","1,420","1,608","1,819","2,526",521
,,área (ha),"418,972","14,261","3,079","2,536","4,291","3,694",661
Terra arável,,expl (nº),"39,502","5,263","1,040","1,268","1,179","1,312",464
,,área (ha),"155,981","3,073",723,497,937,692,224
Terra arável limpa,,expl (nº),"39,454","5,262","1,040","1,268","1,179","1,311",464
,,área (ha),"151,752","3,072",723,497,937,691,224
,Culturas temporárias,expl (nº),"30,957","3,836",630,872,919,"1,095",320
,,área (ha),"118,321","2,472",581,350,778,593,170
,Pousio (com e sem ajuda),expl (nº),"7,687",182,39,11,103,27,2
,,área (ha),"29,856",99,27,4,57,11,... 
,Horta familiar,expl (nº),"33,276","4,185",905,"1,188",911,746,435
,,área (ha),"3,590",503,115,142,104,88,54
Culturas sob-coberto matas e florestas,,expl (nº),276,3,1,- ,1,1,- 
,,área (ha),"4,231",1,... ,- ,... ,... ,- 
,Culturas temporárias,expl (nº),224,1,1,- ,- ,- ,- 
,,área (ha),"3,329",... ,... ,- ,- ,- ,- 
,Pousio (com e sem ajuda),expl (nº),77,2,- ,- ,1,1,- 
,,área (ha),901,... ,- ,- ,... ,... ,- 
Culturas permanentes,,expl (nº),"44,303","7,835","1,410","1,597","1,810","2,508",510
,,área (ha),"93,049","10,711","2,209","2,024","3,281","2,795",402
Sem culturas sob-coberto,,expl (nº),"42,413","7,578","1,388","1,591","1,797","2,296",506
,,área (ha),"78,376","8,338","1,775","1,847","2,742","1,634",340
Com culturas temporárias,,expl (nº),"10,429","3,870",531,443,"1,024","1,705",167
,,área (ha),"7,794","1,694",314,145,412,778,45
Com pousio (com e sem ajuda),,expl (nº),91,12,3,- ,6,3,- 
,,área (ha),106,5,2,- ,2,1,- 
Com horta familiar,,expl (nº),"8,316","4,062",542,359,"1,112","1,932",117
,,área (ha),882,486,61,32,118,262,13
Com pastagens permanentes,,expl (nº),"2,039",341,96,20,11,196,18
,,área (ha),"5,884",186,58,4,2,117,5
Pastagens permanentes,,expl (nº),"16,660",708,195,19,96,246,152
,,área (ha),"169,949",472,147,10,72,208,35
Em terra limpa,,expl (nº),"15,831",702,194,18,94,244,152
,,área (ha),"125,775",435,126,10,64,200,35
Sob-coberto de matas e florestas,,expl (nº),"2,891",15,4,2,7,2,- 
,,área (ha),"44,179",39,21,... ,9,... ,- 
Matas e florestas sem culturas sob-coberto,,expl (nº),"27,502","7,434","1,367","1,515","1,737","2,309",506
,,área (ha),"160,471","50,887","11,108","14,259","9,784","11,472","4,264"
Superfície Agrícola não utilizada,,expl (nº),"14,463","2,099",436,205,975,380,103
,,área (ha),"31,549","2,610",293,143,"1,975",166,33
Outras superfícies,,expl (nº),"43,701","7,717","1,393","1,544","1,796","2,462",522
,,área (ha),"7,538",290,81,42,44,101,22
"Fonte: INE, Recenseamento da Agricultura, 1999 - Região Centro."
