"Principais Culturas Temporárias (Beira Interior Norte, página 2)",,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 4/6
Região Agrária,,,Total,,Cultura Principal,,Cultura Secundária,,,,,
Nut III,,,,,,,Total,,Sucessiva,,Associada sob-coberto de permanentes,
Concelho,,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
,Manteigas,,,,,,,,,,,
,,Culturas temporárias,142,247,142,201,81,46,80,46,1,... 
,,Cereais para grão,104,108,96,102,23,6,23,6,- ,- 
,,Leguminosas secas para grão,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Prados temporários,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,74,103,17,63,67,40,67,40,- ,- 
,,Batata,76,23,76,23,- ,- ,- ,- ,- ,- 
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,48,9,48,9,1,... ,- ,- ,1,... 
,,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Meda,,,,,,,,,,,
,,Culturas temporárias,"1,149","2,899","1,146","2,650",361,251,340,221,48,31
,,Cereais para grão,833,"1,567",830,"1,541",28,26,20,21,8,4
,,Leguminosas secas para grão,170,44,168,38,4,6,3,6,1,... 
,,Prados temporários,12,30,12,30,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,559,968,472,751,334,220,323,194,30,25
,,Batata,787,284,784,282,12,2,- ,- ,12,2
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
