Máquinas e equipamentos (Beira Interior Sul),,,,,,,
,,,,,,,1999
,,,,,,,pág. 4/5
,,,Beira Interior Sul,Castelo Branco,Idanha-a-Nova,Penamacor,Vila Velha de Rodão
Explorações que utilizam tractores Máquinas pertencentes à exploração,,expl (nº),"6,919","3,836","1,257","1,016",810
Tractores ( de rodas e de rasto),,expl (nº),"3,013","1,577",660,441,335
,,máq (nº),"3,564","1,798",902,499,365
,De menos de 20 c.v.,expl (nº),413,275,45,40,53
,,máq (nº),416,277,45,41,53
,De 20 a menos de 34 c.v.,expl (nº),"1,009",608,129,141,131
,,máq (nº),"1,012",609,129,143,131
,De 34 a menos de 55 c.v.,expl (nº),"1,052",532,243,177,100
,,máq (nº),"1,087",552,254,179,102
,De 55 a menos de 82 c.v.,expl (nº),656,236,268,99,53
,,máq (nº),787,281,335,112,59
,De 82 a menos de 109 c.v,expl (nº),144,45,73,16,10
,,máq (nº),174,55,87,19,13
,De 109 c.v. e mais,expl (nº),74,19,45,4,6
,,máq (nº),88,24,52,5,7
Motocultivadores,,expl (nº),"1,892","1,107",347,300,138
,,máq (nº),"1,918","1,121",351,305,141
Motoenxadas (motofresas),,expl (nº),809,381,230,142,56
,,máq (nº),828,389,237,145,57
Motoceifeiras (motogadanheiras),,expl (nº),137,68,15,16,38
,,máq (nº),147,70,16,20,41
Electrobomba/motobomba,,expl (nº),"5,027","3,353",755,411,508
,,máq (nº),"8,103","5,568","1,229",606,700
Distribuidores de adubos e correctivos,,expl (nº),428,173,193,49,13
,,máq (nº),498,190,239,54,15
Semeadores,,expl (nº),395,170,175,24,26
,,máq (nº),455,190,214,25,26
Plantadores/transplantadores,,expl (nº),60,10,46,3,1
,,máq (nº),80,15,61,3,... 
Pulverizadores e polvilhadores,,expl (nº),250,107,99,31,13
,,máq (nº),277,120,111,33,13
Gadanheiras,,expl (nº),450,155,217,44,34
,,máq (nº),496,167,246,48,35
Colhedores de forragem,,expl (nº),53,21,30,2,- 
,,máq (nº),60,23,35,... ,- 
Enfardadeiras,,expl (nº),198,65,106,22,5
,,máq (nº),207,66,110,26,5
Ceifeiras-debulhadoras,,expl (nº),48,20,13,15,- 
,,máq (nº),53,20,15,18,- 
Secadores de cereais,,expl (nº),6,2,4,- ,- 
,,máq (nº),6,... ,4,- ,- 
Viradores de feno,,expl (nº),260,79,148,25,8
,,máq (nº),270,83,153,26,8
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,
