"Culturas regadas, página 1",,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 1/2
Região Agrária,,,Trigo mole,Trigo duro,Milho híbrido,Milho regional,Arroz,Milho para silagem,Milharada,Outras culturas forrageiras,Prados temporários,Batata excepto a da horta familiar
Nut III,,,,,,,,,,,,
Concelho,,,,,,,,,,,,
BEIRA INTERIOR,,expl (nº),40,- ,622,"14,592",- ,187,"10,029","5,281",458,"14,820"
,,área regada (ha),149,- ,"2,811","7,994",- ,876,"12,751","9,031","1,310","4,362"
Pinhal Interior Sul ,,expl (nº),4,- ,51,"3,529",- ,5,"1,251",61,9,655
,,área regada (ha),1,- ,20,914,- ,30,405,30,6,126
,Mação,expl (nº),2,- ,20,362,- ,- ,168,22,1,42
,,área regada (ha),... ,- ,11,101,- ,- ,70,8,... ,8
,Oleiros,expl (nº),1,- ,11,799,- ,2,472,1,- ,234
,,área regada (ha),... ,- ,2,191,- ,... ,128,... ,- ,47
,Proença-a-Nova,expl (nº),- ,- ,4,726,- ,- ,209,19,5,45
,,área regada (ha),- ,- ,o ,226,- ,- ,54,3,3,6
,Sertã,expl (nº),1,- ,11,"1,468",- ,3,389,16,3,328
,,área regada (ha),... ,- ,6,357,- ,30,151,18,2,63
,Vila de Rei,expl (nº),- ,- ,5,174,- ,- ,13,3,- ,6
,,área regada (ha),- ,- ,1,39,- ,- ,2,o ,- ,2
Serra da Estrela,,expl (nº),6,- ,28,"2,364",- ,29,846,"1,056",72,"2,711"
,,área regada (ha),3,- ,18,"1,367",- ,98,"2,122","3,189",164,748
,Fornos de Algodres,expl (nº),1,- ,1,547,- ,23,183,307,1,648
,,área regada (ha),... ,- ,... ,506,- ,89,645,964,... ,261
,Gouveia,expl (nº),2,- ,8,528,- ,2,203,199,19,665
,,área regada (ha),... ,- ,3,227,- ,... ,530,948,61,123
,Seia,expl (nº),3,- ,19,"1,289",- ,4,460,550,52,"1,398"
,,área regada (ha),o ,- ,15,634,- ,7,947,"1,277",102,364
Beira Interior Norte,,expl (nº),11,- ,62,"4,945",- ,62,"4,030","3,000",122,"9,303"
,,área regada (ha),2,- ,52,"1,973",- ,180,"3,742","2,917",264,"3,102"
,Almeida,expl (nº),- ,- ,2,66,- ,- ,278,86,- ,481
,,área regada (ha),- ,- ,... ,24,- ,- ,162,78,- ,132
,Celorico da Beira,expl (nº),1,- ,24,522,- ,1,331,372,33,878
,,área regada (ha),... ,- ,19,314,- ,... ,937,"1,397",80,315
,Figueira de Castelo Rodrigo,expl (nº),- ,- ,2,18,- ,8,54,46,3,200
,,área regada (ha),- ,- ,... ,25,- ,36,266,125,15,70
,Guarda,expl (nº),8,- ,12,"1,182",- ,29,"1,120",896,40,"2,222"
,,área regada (ha),2,- ,14,472,- ,83,789,605,90,779
,Manteigas,expl (nº),1,- ,- ,74,- ,1,5,7,1,79
,,área regada (ha),... ,- ,- ,38,- ,... ,6,48,... ,24
,Meda,expl (nº),- ,- ,10,411,- ,3,128,195,2,726
,,área regada (ha),- ,- ,3,190,- ,13,125,118,... ,267
,Pinhel,expl (nº),1,- ,3,612,- ,4,578,207,5,"1,613"
,,área regada (ha),... ,- ,1,247,- ,6,453,139,2,584
,Sabugal,expl (nº),- ,- ,3,"1,236",- ,10,953,930,35,"1,653"
,,área regada (ha),- ,- ,9,333,- ,23,549,261,59,361
,Trancoso,expl (nº),- ,- ,6,824,- ,6,583,261,3,"1,451"
,,área regada (ha),- ,- ,2,330,- ,17,455,146,1,570
Beira Interior Sul,,expl (nº),11,- ,111,"1,094",- ,11,"2,034",459,87,516
,,área regada (ha),106,- ,"1,886","1,671",- ,207,"3,043","1,958",386,67
,Castelo Branco,expl (nº),3,- ,11,627,- ,2,"1,197",197,28,186
,,área regada (ha),o ,- ,125,698,- ,... ,"1,804",730,210,25
,Idanha-a-Nova,expl (nº),5,- ,41,138,- ,7,390,158,27,118
,,área regada (ha),106,- ,"1,641",479,- ,170,606,"1,021",108,10
,Penamacor,expl (nº),2,- ,51,264,- ,1,261,62,28,199
,,área regada (ha),... ,- ,111,457,- ,... ,288,112,61,31
,Vila Velha de Ródão,expl (nº),1,- ,8,65,- ,1,186,42,4,13
,,área regada (ha),... ,- ,9,37,- ,... ,345,95,7,1
Cova da Beira,,expl (nº),8,- ,370,"2,660",- ,80,"1,868",705,168,"1,635"
,,área regada (ha),37,- ,835,"2,069",- ,361,"3,439",937,490,319
,Belmonte,expl (nº),- ,- ,8,402,- ,38,166,52,73,428
,,área regada (ha),- ,- ,25,261,- ,117,463,130,171,102
,Covilhã,expl (nº),5,- ,176,804,- ,20,450,457,50,541
,,área regada (ha),15,- ,344,443,- ,108,525,508,148,139
,Fundão,expl (nº),3,- ,186,"1,454",- ,22,"1,252",196,45,666
,,área regada (ha),22,- ,466,"1,365",- ,136,"2,451",299,171,78
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,
,
,
,
