Produtor singular segundo a OTE e as classes de idade (Não Classificado / Alentejo Central - Mourão),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Pág 11/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGIÃO AGRÁRIA / Nut III / Concelho,,Total,Bovinos    para leite /gado /carne,Ovinos /caprinos /out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alentejo Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,  8 639 ,   47 ,  1 153 ,   154 ,   855 ,   256 ,   173 ,   280 ,   745 ,   134 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 - 24,,   23 ,- ,   5 ,   3 ,- ,- ,   1 ,   3 ,   2 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 - 34,,   373 ,   8 ,   65 ,   8 ,   31 ,   4 ,   9 ,   23 ,   31 ,   13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35 - 44,,   826 ,   14 ,   143 ,   19 ,   67 ,   23 ,   22 ,   48 ,   68 ,   12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45 - 54,,  1 430 ,   10 ,   216 ,   31 ,   132 ,   57 ,   31 ,   61 ,   112 ,   26 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55 - 64,,  2 197 ,   10 ,   312 ,   41 ,   207 ,   79 ,   53 ,   65 ,   216 ,   25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>= 65,,  3 790 ,   5 ,   412 ,   52 ,   418 ,   93 ,   57 ,   80 ,   316 ,   57 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alandroal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,   877 ,   17 ,   133 ,   14 ,   65 ,   36 ,   13 ,   24 ,   93 ,   19 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15 - 24,   1 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25 - 34,   23 ,- ,   3 ,   1 ,   1 ,- ,- ,   1 ,   1 ,   2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35 - 44,   76 ,   4 ,   23 ,   3 ,   3 ,   5 ,- ,   5 ,   4 ,   2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45 - 54,   121 ,   4 ,   18 ,   2 ,   7 ,   7 ,   1 ,   4 ,   8 ,   4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55 - 64,   221 ,   6 ,   34 ,   3 ,   12 ,   13 ,   7 ,   8 ,   30 ,   4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>= 65,   435 ,   3 ,   55 ,   5 ,   42 ,   11 ,   5 ,   6 ,   50 ,   7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arraiolos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,   366 ,   1 ,   60 ,   9 ,   56 ,   18 ,   13 ,   20 ,   33 ,   2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15 - 24,   1 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25 - 34,   19 ,- ,   4 ,- ,   4 ,- ,   1 ,   1 ,   2 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35 - 44,   39 ,- ,   8 ,- ,   4 ,   3 ,- ,   1 ,   4 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45 - 54,   68 ,- ,   7 ,   2 ,   10 ,   5 ,   4 ,   7 ,   6 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55 - 64,   105 ,   1 ,   20 ,   1 ,   14 ,   6 ,   4 ,   5 ,   8 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>= 65,   134 ,- ,   21 ,   6 ,   24 ,   4 ,   4 ,   6 ,   13 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Borba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,   498 ,   3 ,   55 ,   9 ,   52 ,   11 ,   5 ,   5 ,   45 ,   2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15 - 24,   1 ,- ,   1 ,- ,- ,- ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25 - 34,   18 ,- ,   5 ,   2 ,   1 ,- ,- ,- ,   3 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35 - 44,   44 ,   2 ,   7 ,- ,   2 ,   1 ,   2 ,   2 ,   2 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45 - 54,   81 ,- ,   10 ,   2 ,   7 ,   2 ,   1 ,   1 ,   5 ,- ,,,,,,
,55 - 64,   125 ,- ,   12 ,   2 ,   19 ,   3 ,   1 ,- ,   13 ,   1 ,,,,,,
,>= 65,   229 ,   1 ,   20 ,   3 ,   23 ,   5 ,   1 ,   2 ,   22 ,   1 ,,,,,,
,Estremoz,,,,,,,,,,,,,,,,
,Total,  1 059 ,   6 ,   173 ,   16 ,   110 ,   34 ,   19 ,   42 ,   69 ,   18 ,,,,,,
,15 - 24,   4 ,- ,   2 ,- ,- ,- ,- ,   1 ,- ,- ,,,,,,
,25 - 34,   54 ,- ,   18 ,   1 ,   3 ,   1 ,   1 ,   5 ,   1 ,   3 ,,,,,,
,35 - 44,   94 ,   4 ,   17 ,   2 ,   8 ,   2 ,   1 ,   9 ,   7 ,- ,,,,,,
,45 - 54,   172 ,- ,   33 ,   2 ,   14 ,   10 ,   4 ,   6 ,   14 ,   2 ,,,,,,
,55 - 64,   246 ,   2 ,   51 ,   7 ,   22 ,   11 ,   6 ,   6 ,   17 ,   6 ,,,,,,
,>= 65,   489 ,- ,   52 ,   4 ,   63 ,   10 ,   7 ,   15 ,   30 ,   7 ,,,,,,
,Évora,,,,,,,,,,,,,,,,
,Total,  1 065 ,   5 ,   141 ,   23 ,   102 ,   24 ,   23 ,   50 ,   78 ,   24 ,,,,,,
,15 - 24,   3 ,- ,   1 ,   1 ,- ,- ,- ,   1 ,- ,- ,,,,,,
,25 - 34,   47 ,   3 ,   5 ,- ,   2 ,- ,   1 ,   4 ,   3 ,   4 ,,,,,,
,35 - 44,   130 ,- ,   16 ,   3 ,   10 ,   2 ,   7 ,   9 ,   9 ,   4 ,,,,,,
,45 - 54,   197 ,   1 ,   30 ,   5 ,   19 ,   3 ,   3 ,   12 ,   7 ,   6 ,,,,,,
,55 - 64,   261 ,- ,   32 ,   5 ,   32 ,   8 ,   8 ,   12 ,   27 ,   2 ,,,,,,
,>= 65,   427 ,   1 ,   57 ,   9 ,   39 ,   11 ,   4 ,   12 ,   32 ,   8 ,,,,,,
,Montemor-o-Novo,,,,,,,,,,,,,,,,
,Total,   747 ,   2 ,   157 ,   19 ,   62 ,   33 ,   26 ,   30 ,   108 ,   11 ,,,,,,
,15 - 24,   4 ,- ,- ,   1 ,- ,- ,- ,- ,   2 ,- ,,,,,,
,25 - 34,   31 ,- ,   5 ,- ,   1 ,   1 ,   2 ,   3 ,   3 ,- ,,,,,,
,35 - 44,   76 ,- ,   20 ,   1 ,   6 ,   2 ,   3 ,   5 ,   12 ,   1 ,,,,,,
,45 - 54,   148 ,   1 ,   32 ,   4 ,   14 ,   8 ,   4 ,   6 ,   18 ,   1 ,,,,,,
,55 - 64,   207 ,   1 ,   48 ,   7 ,   11 ,   11 ,   9 ,   5 ,   29 ,   2 ,,,,,,
,>= 65,   281 ,- ,   52 ,   6 ,   30 ,   11 ,   8 ,   11 ,   44 ,   7 ,,,,,,
,Mourão,,,,,,,,,,,,,,,,
,Total,   350 ,- ,   31 ,   3 ,   37 ,   17 ,   4 ,   11 ,   20 ,   1 ,,,,,,
,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,,,,,
,25 - 34,   17 ,- ,   5 ,- ,   2 ,- ,   1 ,- ,   1 ,- ,,,,,,
,35 - 44,   39 ,- ,   2 ,   1 ,   4 ,   3 ,- ,   2 ,   2 ,- ,,,,,,
,45 - 54,   54 ,- ,   7 ,   1 ,   8 ,   5 ,- ,   3 ,   3 ,- ,,,,,,
,55 - 64,   77 ,- ,   8 ,   1 ,   5 ,   5 ,   1 ,   3 ,   4 ,   1 ,,,,,,
,>= 65,   163 ,- ,   9 ,- ,   18 ,   4 ,   2 ,   3 ,   10 ,- ,,,,,,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,,,,,,
