Actividade remunerada exterior à exploração da população agrícola familiar (Baixo Alentejo - Vidigueira),,,,,,,,,,,,,,
,,,,,,,,,,,,,,Pág 5/5
,,,Almodôvar,Alvito,Barrancos,Beja,Castro Verde,Cuba,Ferreira do Alentejo,Mértola,Moura,Ourique,Serpa,Vidigueira
,,Outras indústrias,   1 ,- ,- ,   1 ,- ,- ,- ,- ,   1 ,   1 ,   7 ,- 
,,"Prod. e distribuição de  electricidade, gás e água",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Construção,   3 ,- ,- ,   1 ,- ,- ,- ,   2 ,   1 ,   5 ,   3 ,   1 
,,Comércio por grosso e retalho,   5 ,- ,- ,   8 ,   1 ,   3 ,   3 ,   3 ,   1 ,   1 ,   11 ,   5 
,,Alojamento e restauração,   1 ,- ,- ,   1 ,- ,- ,- ,- ,- ,- ,   1 ,- 
,,Administração pública,- ,- ,- ,   1 ,- ,- ,- ,- ,- ,   2 ,   2 ,- 
,,Educação,- ,- ,- ,   1 ,- ,- ,- ,- ,- ,   1 ,- ,- 
,,Saúde e acção social,- ,- ,- ,   1 ,- ,- ,- ,   1 ,- ,- ,   1 ,- 
,,Outras,   1 ,- ,   1 ,   14 ,   2 ,   1 ,   3 ,   4 ,   1 ,   4 ,   7 ,   1 
Produtor Singular,,,   713 ,   215 ,   279 ,  1 130 ,   254 ,   425 ,   714 ,   684 ,  1 549 ,   640 ,  1 818 ,   591 
,Actividade exterior - principal,,   159 ,   70 ,   102 ,   330 ,   55 ,   137 ,   180 ,   134 ,   506 ,   137 ,   518 ,   212 
,,"Agric, prod. animal, caça e activ. seviços relacionados",   39 ,   13 ,   19 ,   61 ,   16 ,   39 ,   72 ,   44 ,   140 ,   26 ,   177 ,   57 
,,"Sivicult, exploraç. florestal e activ. seviços relacionados",   3 ,- ,   1 ,   1 ,   1 ,- ,   1 ,   4 ,   2 ,   4 ,   2 ,- 
,,"Pesca, aquacultura e activ. seviços relacionados",- ,- ,- ,- ,   1 ,   2 ,- ,   2 ,- ,- ,   1 ,- 
,,Ind. alimentares das bebidas e do tabaco,   1 ,   2 ,- ,   4 ,   1 ,   1 ,- ,- ,   19 ,- ,   9 ,   6 
,,Outras indústrias,   9 ,   6 ,   6 ,   13 ,   2 ,   4 ,   9 ,   5 ,   61 ,   1 ,   31 ,   14 
,,"Prod. e distribuição de  electricidade, gás e água",- ,   1 ,- ,   1 ,- ,   1 ,   4 ,- ,   5 ,- ,   2 ,   1 
,,Construção,   31 ,   11 ,   8 ,   32 ,   4 ,   13 ,   14 ,   15 ,   43 ,   21 ,   39 ,   16 
,,Comércio por grosso e retalho,   25 ,   11 ,   13 ,   53 ,   9 ,   13 ,   18 ,   27 ,   74 ,   22 ,   71 ,   37 
,,Alojamento e restauração,   4 ,- ,   1 ,   5 ,   2 ,   3 ,   2 ,   6 ,   14 ,   2 ,   9 ,   1 
,,Administração pública,   24 ,   9 ,   35 ,   43 ,   5 ,   21 ,   16 ,   8 ,   65 ,   11 ,   55 ,   7 
,,Educação,   4 ,   6 ,   1 ,   16 ,   2 ,   2 ,   3 ,   3 ,   20 ,   3 ,   19 ,   8 
,,Saúde e acção social,   2 ,   4 ,   2 ,   9 ,   1 ,   3 ,   2 ,   1 ,   7 ,   2 ,   7 ,   5 
,,Outras,   17 ,   7 ,   16 ,   92 ,   11 ,   35 ,   39 ,   19 ,   56 ,   45 ,   96 ,   60 
,Actividade exterior - secundária,,   15 ,- ,   1 ,   52 ,   4 ,   12 ,   9 ,   14 ,   11 ,   21 ,   42 ,   8 
,,"Agric, prod. animal, caça e activ. seviços relacionados",   4 ,- ,- ,   29 ,   1 ,   8 ,   3 ,   5 ,   7 ,   9 ,   13 ,   2 
,,"Sivicult, exploraç. florestal e activ. seviços relacionados",   2 ,- ,- ,   1 ,- ,- ,- ,- ,- ,   1 ,- ,- 
,,"Pesca, aquacultura e activ. seviços relacionados",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Ind. alimentares das bebidas e do tabaco,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras indústrias,   1 ,- ,- ,- ,- ,- ,- ,- ,   1 ,   1 ,   5 ,- 
,,"Prod. e distribuição de  electricidade, gás e água",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Construção,   2 ,- ,- ,   1 ,- ,- ,- ,   2 ,   1 ,   3 ,   3 ,   1 
,,Comércio por grosso e retalho,   4 ,- ,- ,   8 ,   1 ,   3 ,   3 ,   2 ,   1 ,   1 ,   11 ,   4 
,,Alojamento e restauração,   1 ,- ,- ,   1 ,- ,- ,- ,- ,- ,- ,   1 ,- 
,,Administração pública,- ,- ,- ,   1 ,- ,- ,- ,- ,- ,   2 ,   1 ,- 
,,Educação,- ,- ,- ,- ,- ,- ,- ,- ,- ,   1 ,- ,- 
,,Saúde e acção social,- ,- ,- ,- ,- ,- ,- ,   1 ,- ,- ,   1 ,- 
,,Outras,   1 ,- ,   1 ,   11 ,   2 ,   1 ,   3 ,   4 ,   1 ,   3 ,   7 ,   1 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
