Produtor singular segundo a  dimensão económica e as classes de idade (Baixo Alentejo - Vidigueira),,,,,,,,,,
,,,,,,,,,,Pág 8/8
REGIÃO AGRÁRIA,,,Total,Classes de dimensão económica (UDE),,,,,,
Nut III / Concelho,,,,> 0 a < 2,2 a < 4,4 a < 8,8 a < 16,16 a < 40,40 a < 100,> = 100
,,Ourique,,,,,,,,
,,Total,   635 ,   358 ,   82 ,   62 ,   54 ,   49 ,   25 ,   5 
,,15 - 24,   2 ,   1 ,   1 ,- ,- ,- ,- ,- 
,,25 - 34,   23 ,   5 ,   1 ,   3 ,   1 ,   8 ,   5 ,- 
,,35 - 44,   61 ,   20 ,   5 ,   4 ,   16 ,   12 ,   3 ,   1 
,,45 - 54,   109 ,   48 ,   15 ,   18 ,   9 ,   13 ,   4 ,   2 
,,55 - 64,   166 ,   92 ,   24 ,   18 ,   14 ,   9 ,   8 ,   1 
,,>= 65,   274 ,   192 ,   36 ,   19 ,   14 ,   7 ,   5 ,   1 
,,Serpa,,,,,,,,
,,Total,  1 779 ,   875 ,   267 ,   233 ,   202 ,   126 ,   55 ,   21 
,,15 - 24,   7 ,   2 ,   1 ,   2 ,   2 ,- ,- ,- 
,,25 - 34,   84 ,   21 ,   12 ,   13 ,   21 ,   10 ,   4 ,   3 
,,35 - 44,   216 ,   62 ,   39 ,   34 ,   37 ,   32 ,   8 ,   4 
,,45 - 54,   316 ,   130 ,   52 ,   57 ,   39 ,   17 ,   19 ,   2 
,,55 - 64,   460 ,   233 ,   61 ,   50 ,   55 ,   42 ,   15 ,   4 
,,>= 65,   696 ,   427 ,   102 ,   77 ,   48 ,   25 ,   9 ,   8 
,,Vidigueira,,,,,,,,
,,Total,   586 ,   262 ,   97 ,   84 ,   56 ,   57 ,   17 ,   13 
,,15 - 24,   3 ,   1 ,- ,- ,   1 ,- ,   1 ,- 
,,25 - 34,   25 ,   11 ,   4 ,   4 ,   2 ,   3 ,   1 ,- 
,,35 - 44,   61 ,   16 ,   10 ,   6 ,   10 ,   11 ,   5 ,   3 
,,45 - 54,   91 ,   35 ,   15 ,   18 ,   6 ,   11 ,   1 ,   5 
,,55 - 64,   161 ,   60 ,   29 ,   31 ,   16 ,   17 ,   4 ,   4 
