Produtor singular segundo a OTE e as classes de idade (Não Classificado / Alto Alentejo - Portalegre),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Pág 10/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGIÃO AGRÁRIA / Nut III / Concelho,,Total,Bovinos    para leite /gado /carne,Ovinos /caprinos /out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,   502 ,- ,   53 ,   16 ,   39 ,   7 ,   4 ,   15 ,   31 ,   3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15 - 24,   2 ,- ,- ,- ,- ,- ,- ,- ,   1 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25 - 34,   12 ,- ,   4 ,- ,   1 ,- ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35 - 44,   47 ,- ,   9 ,   2 ,   2 ,- ,- ,   3 ,   3 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45 - 54,   81 ,- ,   8 ,   4 ,   5 ,   1 ,   1 ,   5 ,   6 ,   2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55 - 64,   115 ,- ,   13 ,   3 ,   11 ,   1 ,- ,   3 ,   8 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>= 65,   245 ,- ,   19 ,   7 ,   20 ,   5 ,   3 ,   4 ,   13 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,  1 388 ,   5 ,   133 ,   10 ,   77 ,   24 ,   5 ,   3 ,   194 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15 - 24,   1 ,- ,- ,- ,- ,   1 ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25 - 34,   28 ,- ,   6 ,- ,- ,- ,   1 ,   1 ,   5 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35 - 44,   73 ,- ,   13 ,   3 ,   2 ,   1 ,- ,- ,   14 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45 - 54,   176 ,   1 ,   19 ,   1 ,   8 ,   4 ,   1 ,- ,   28 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55 - 64,   354 ,   4 ,   40 ,   2 ,   20 ,   11 ,- ,   1 ,   55 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>= 65,   756 ,- ,   55 ,   4 ,   47 ,   7 ,   3 ,   1 ,   92 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ponte de Sôr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,  1 993 ,   2 ,   135 ,   26 ,   328 ,   41 ,   17 ,   30 ,   182 ,   5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15 - 24,   10 ,- ,- ,   1 ,- ,   1 ,- ,- ,   2 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25 - 34,   55 ,- ,   9 ,   3 ,   11 ,   1 ,   1 ,   2 ,   13 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35 - 44,   180 ,- ,   26 ,   5 ,   25 ,   6 ,   3 ,   1 ,   26 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45 - 54,   275 ,   1 ,   23 ,   4 ,   44 ,   5 ,   4 ,   3 ,   28 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55 - 64,   486 ,- ,   28 ,   7 ,   94 ,   12 ,   7 ,   11 ,   44 ,   2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>= 65,   987 ,   1 ,   49 ,   6 ,   154 ,   16 ,   2 ,   13 ,   69 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Portalegre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,  1 617 ,   15 ,   117 ,   21 ,   254 ,   55 ,   32 ,   10 ,   233 ,   2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15 - 24,   4 ,- ,   2 ,- ,- ,- ,- ,- ,   1 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25 - 34,   66 ,   3 ,   8 ,   1 ,   2 ,   2 ,   2 ,   3 ,   4 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35 - 44,   119 ,   2 ,   13 ,- ,   11 ,   3 ,   2 ,- ,   21 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45 - 54,   212 ,   6 ,   15 ,   4 ,   34 ,   9 ,   3 ,- ,   32 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55 - 64,   433 ,   1 ,   38 ,   7 ,   77 ,   25 ,   12 ,   4 ,   62 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>= 65,   783 ,   3 ,   41 ,   9 ,   130 ,   16 ,   13 ,   3 ,   113 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
