Principais culturas temporárias (Baixo Alentejo - Ajustrel),,,,,,,,,,,
,,,,,,,,,,,Pág 10/13
REGIÃO AGRÁRIA,,Total,,Cultura principal,,Cultura secundária,,,,,
Nut III,,,,,,Total,,Sucessiva,,Associada sob-coberto de  permanentes,
Concelho,,Expl,Área,Expl,Área,Expl,Área,Expl,Área,Expl,Área
,Viana do Alentejo,,,,,,,,,,
,Culturas temporárias,   220 ,  8 154 ,   185 ,  7 898 ,   81 ,   256 ,   7 ,   9 ,   78 ,   246 
,Cereais para grão,   84 ,  3 996 ,   77 ,  3 943 ,   13 ,   53 ,   1 ,... ,   12 ,   52 
,Leguminosas secas para grão,   5 ,   54 ,   5 ,   53 ,   1 ,... ,- ,- ,   1 ,... 
,Prados temporários,   5 ,   21 ,   1 ,... ,   4 ,   8 ,- ,- ,   4 ,   8 
,Culturas forrageiras,   177 ,  3 173 ,   135 ,  2 990 ,   64 ,   183 ,   5 ,   8 ,   61 ,   175 
,Batata,   1 ,... ,   1 ,... ,   1 ,... ,- ,- ,   1 ,... 
,Beterraba sacarina,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   25 ,   851 ,   24 ,   847 ,   1 ,... ,- ,- ,   1 ,... 
,Culturas hortícolas,   38 ,   45 ,   33 ,   39 ,   11 ,   7 ,   2 ,... ,   9 ,   6 
,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Vila Viçosa,,,,,,,,,,
,Culturas temporárias,   117 ,  3 403 ,   105 ,  3 356 ,   24 ,   48 ,- ,- ,   24 ,   48 
,Cereais para grão,   58 ,  1 695 ,   58 ,  1 695 ,- ,- ,- ,- ,- ,- 
,Leguminosas secas para grão,   7 ,   7 ,   5 ,   6 ,   2 ,... ,- ,- ,   2 ,... 
,Prados temporários,   5 ,   88 ,   5 ,   84 ,   1 ,... ,- ,- ,   1 ,... 
,Culturas forrageiras,   79 ,  1 446 ,   71 ,  1 406 ,   18 ,   40 ,- ,- ,   18 ,   40 
,Batata,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   3 ,   125 ,   3 ,   125 ,- ,- ,- ,- ,- ,- 
