Principais culturas temporárias (Baixo Alentejo - Mértola),,,,,,,,,,,
,,,,,,,,,,,Pág 12/13
REGIÃO AGRÁRIA,,Total,,Cultura principal,,Cultura secundária,,,,,
Nut III,,,,,,Total,,Sucessiva,,Associada sob-coberto de  permanentes,
Concelho,,Expl,Área,Expl,Área,Expl,Área,Expl,Área,Expl,Área
,Castro Verde,,,,,,,,,,
,Culturas temporárias,   211 ,  15 437 ,   207 ,  15 305 ,   22 ,   133 ,   1 ,... ,   21 ,   117 
,Cereais para grão,   181 ,  12 945 ,   181 ,  12 841 ,   13 ,   104 ,   1 ,... ,   12 ,   88 
,Leguminosas secas para grão,   27 ,   622 ,   26 ,   621 ,   1 ,... ,- ,- ,   1 ,... 
,Prados temporários,   13 ,   585 ,   11 ,   568 ,   2 ,... ,- ,- ,   2 ,... 
,Culturas forrageiras,   49 ,   635 ,   44 ,   628 ,   8 ,   7 ,- ,- ,   8 ,   7 
,Batata,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   13 ,   650 ,   13 ,   647 ,   1 ,... ,- ,- ,   1 ,... 
,Culturas hortícolas,   3 ,   1 ,   3 ,   1 ,- ,- ,- ,- ,- ,- 
,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Cuba,,,,,,,,,,
,Culturas temporárias,   270 ,  6 990 ,   265 ,  6 926 ,   27 ,   63 ,   1 ,... ,   26 ,   60 
,Cereais para grão,   221 ,  4 328 ,   218 ,  4 301 ,   14 ,   27 ,- ,- ,   14 ,   27 
,Leguminosas secas para grão,   8 ,   7 ,   8 ,   7 ,- ,- ,- ,- ,- ,- 
,Prados temporários,   9 ,   753 ,   9 ,   753 ,- ,- ,- ,- ,- ,- 
,Culturas forrageiras,   41 ,   303 ,   37 ,   275 ,   6 ,   28 ,- ,- ,   6 ,   28 
,Batata,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Beterraba sacarina,   3 ,   48 ,   3 ,   48 ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   94 ,  1 483 ,   93 ,  1 479 ,   2 ,... ,- ,- ,   2 ,... 
,Culturas hortícolas,   25 ,   64 ,   22 ,   60 ,   5 ,   4 ,   1 ,... ,   4 ,   1 
,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Ferreira do Alentejo,,,,,,,,,,
