Principais culturas temporárias (Alto Alentejo - Fronteira),,,,,,,,,,,
,,,,,,,,,,,Pág 4/13
REGIÃO AGRÁRIA,,Total,,Cultura principal,,Cultura secundária,,,,,
Nut III,,,,,,Total,,Sucessiva,,Associada sob-coberto de  permanentes,
Concelho,,Expl,Área,Expl,Área,Expl,Área,Expl,Área,Expl,Área
,Castelo de Vide,,,,,,,,,,
,Culturas temporárias,   193 ,  2 662 ,   134 ,  2 182 ,   135 ,   482 ,   1 ,... ,   134 ,   481 
,Cereais para grão,   13 ,   225 ,   9 ,   220 ,   5 ,   5 ,- ,- ,   5 ,   5 
,Leguminosas secas para grão,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Prados temporários,   1 ,... ,- ,- ,   1 ,... ,- ,- ,   1 ,... 
,Culturas forrageiras,   157 ,  2 344 ,   98 ,  1 897 ,   97 ,   447 ,   1 ,... ,   96 ,   446 
,Batata,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas hortícolas,   111 ,   94 ,   78 ,   64 ,   67 ,   30 ,- ,- ,   67 ,   30 
,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Crato,,,,,,,,,,
,Culturas temporárias,   281 ,  4 114 ,   200 ,  3 729 ,   169 ,   383 ,   7 ,   32 ,   167 ,   352 
,Cereais para grão,   40 ,   575 ,   36 ,   565 ,   6 ,   11 ,- ,- ,   6 ,   11 
,Leguminosas secas para grão,   9 ,   21 ,   5 ,   19 ,   5 ,   2 ,- ,- ,   5 ,   2 
,Prados temporários,   10 ,   935 ,   9 ,   918 ,   3 ,   17 ,- ,- ,   3 ,   17 
,Culturas forrageiras,   263 ,  2 576 ,   182 ,  2 225 ,   160 ,   351 ,   7 ,   32 ,   158 ,   319 
,Batata,   11 ,   1 ,   3 ,o ,   8 ,   1 ,- ,- ,   8 ,   1 
,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas hortícolas,   8 ,   3 ,   7 ,   3 ,   1 ,... ,- ,- ,   1 ,... 
,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Elvas,,,,,,,,,,
,Culturas temporárias,   415 ,  20 566 ,   399 ,  20 443 ,   39 ,   124 ,   5 ,   7 ,   35 ,   118 
,Cereais para grão,   286 ,  14 960 ,   280 ,  14 923 ,   7 ,   37 ,- ,- ,   7 ,   37 
,Leguminosas secas para grão,   12 ,   103 ,   10 ,   99 ,   2 ,... ,- ,- ,   2 ,... 
,Prados temporários,   16 ,   458 ,   14 ,   448 ,   2 ,... ,- ,- ,   2 ,... 
,Culturas forrageiras,   128 ,  2 230 ,   122 ,  2 172 ,   21 ,   59 ,   4 ,   5 ,   18 ,   54 
,Batata,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Beterraba sacarina,   13 ,   241 ,   13 ,   241 ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   73 ,  2 078 ,   73 ,  2 078 ,- ,- ,- ,- ,- ,- 
,Culturas hortícolas,   78 ,   496 ,   72 ,   481 ,   9 ,   16 ,   1 ,... ,   8 ,   13 
,Flores e plantas ornamentais,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Fronteira,,,,,,,,,,
,Culturas temporárias,   180 ,  6 839 ,   153 ,  6 323 ,   81 ,   517 ,   1 ,... ,   80 ,   516 
,Cereais para grão,   113 ,  4 530 ,   111 ,  4 371 ,   19 ,   158 ,- ,- ,   19 ,   158 
