Principais características da população familiar (Homem / Alto Alentejo - Arronches),,,,,,,,,,,,
,,,,,,,,,,,,Pág 6/15
,,,ALENTEJO,Alentejo Litoral,Alcácer do Sal,Grândola,Odemira,Santiago do Cacém,Sines,Alto Alentejo,Alter do Chão,Arronches
Homem (nº indivíduos),,,,,,,,,,,,
,Longa duração,,   968 ,   125 ,   22 ,   15 ,   46 ,   41 ,   1 ,   194 ,   1 ,   10 
,Longa e curta duração,,   528 ,   68 ,   6 ,   5 ,   16 ,   31 ,   10 ,   120 ,   6 ,   6 
,Completa,,  1 406 ,   182 ,   60 ,   44 ,   37 ,   36 ,   5 ,   390 ,   26 ,   11 
Tempo de actividade agrícola ,,,,,,,,,,,,
,Sem actividade,,  8 659 ,  1 646 ,   251 ,   235 ,   538 ,   534 ,   88 ,  2 114 ,   50 ,   155 
,Tempo parcial,,  32 879 ,  5 435 ,   733 ,   879 ,  2 005 ,  1 578 ,   240 ,  10 099 ,   295 ,   396 
,,> 0 - < 25%,  18 098 ,  2 445 ,   304 ,   400 ,   881 ,   740 ,   120 ,  5 060 ,   181 ,   155 
,,25 - < 50%,  7 072 ,  1 268 ,   145 ,   206 ,   536 ,   327 ,   54 ,  2 542 ,   43 ,   104 
,,50 - < 75%,  3 699 ,   935 ,   200 ,   113 ,   371 ,   207 ,   44 ,  1 153 ,   20 ,   66 
,,75 - < 100%,  4 010 ,   787 ,   84 ,   160 ,   217 ,   304 ,   22 ,  1 344 ,   51 ,   71 
,Tempo completo,,  6 362 ,   929 ,   291 ,   262 ,   199 ,   171 ,   6 ,  1 675 ,   37 ,   57 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,
,Principal,,  16 555 ,  2 649 ,   523 ,   444 ,   767 ,   795 ,   120 ,  4 728 ,   114 ,   198 
,,Sector primário,  3 857 ,   686 ,   187 ,   116 ,   204 ,   155 ,   24 ,   793 ,   31 ,   39 
,,Sector secundário,  4 905 ,   843 ,   155 ,   112 ,   264 ,   281 ,   31 ,  1 594 ,   25 ,   58 
,,Sector terciário,  7 793 ,  1 120 ,   181 ,   216 ,   299 ,   359 ,   65 ,  2 341 ,   58 ,   101 
,Seundária,,   474 ,   119 ,   15 ,   31 ,   50 ,   21 ,   2 ,   52 ,   1 ,   1 
,,Sector primário,   227 ,   63 ,   10 ,   12 ,   28 ,   12 ,   1 ,   27 ,- ,- 
,,Sector secundário,   65 ,   14 ,   1 ,   5 ,   2 ,   6 ,- ,   10 ,   1 ,- 
,,Sector terciário,   182 ,   42 ,   4 ,   14 ,   20 ,   3 ,   1 ,   15 ,- ,   1 
Situação na profissão exterior à exploração,,,,,,,,,,,,
,Patrão/empregador,,  1 754 ,   220 ,   53 ,   41 ,   61 ,   61 ,   4 ,   477 ,   14 ,   20 
,Trabalhador por conta própria,,  3 007 ,   639 ,   167 ,   114 ,   181 ,   163 ,   14 ,   669 ,   9 ,   24 
,Trabalhador por conta de outrem,,  11 986 ,  1 868 ,   317 ,   313 ,   554 ,   583 ,   101 ,  3 596 ,   90 ,   153 
,Trabalhador familiar remunerado,,   118 ,   20 ,   1 ,   5 ,   8 ,   3 ,   3 ,   19 ,   1 ,- 
,Outra situação,,   164 ,   21 ,- ,   2 ,   13 ,   6 ,- ,   19 ,   1 ,   2 
Dirigente na população familiar,,,  28 990 ,  4 625 ,   666 ,   801 ,  1 634 ,  1 333 ,   191 ,  8 980 ,   282 ,   366 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
