Principais culturas temporárias (Baixo Alentejo - Vidigueira),,,,,,,,,,,
,,,,,,,,,,,Pág 13/13
REGIÃO AGRÁRIA,,Total,,Cultura principal,,Cultura secundária,,,,,
Nut III,,,,,,Total,,Sucessiva,,Associada sob-coberto de  permanentes,
Concelho,,Expl,Área,Expl,Área,Expl,Área,Expl,Área,Expl,Área
,Moura,,,,,,,,,,
,Culturas temporárias,   681 ,  17 154 ,   670 ,  16 797 ,   42 ,   357 ,- ,- ,   42 ,   357 
,Cereais para grão,   512 ,  10 505 ,   503 ,  10 395 ,   24 ,   112 ,- ,- ,   24 ,   112 
,Leguminosas secas para grão,   32 ,   184 ,   26 ,   106 ,   6 ,   78 ,- ,- ,   6 ,   78 
,Prados temporários,   7 ,   333 ,   7 ,   333 ,- ,- ,- ,- ,- ,- 
,Culturas forrageiras,   169 ,  3 212 ,   163 ,  3 060 ,   12 ,   152 ,- ,- ,   12 ,   152 
,Batata,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Beterraba sacarina,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   101 ,  1 842 ,   101 ,  1 842 ,- ,- ,- ,- ,- ,- 
,Culturas hortícolas,   159 ,  1 055 ,   153 ,  1 039 ,   7 ,   17 ,- ,- ,   7 ,   17 
,Flores e plantas ornamentais,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Ourique,,,,,,,,,,
,Culturas temporárias,   355 ,  8 862 ,   341 ,  8 747 ,   39 ,   114 ,- ,- ,   39 ,   114 
,Cereais para grão,   223 ,  6 194 ,   215 ,  6 113 ,   22 ,   82 ,- ,- ,   22 ,   82 
,Leguminosas secas para grão,   25 ,   140 ,   20 ,   132 ,   6 ,   7 ,- ,- ,   6 ,   7 
,Prados temporários,   9 ,   53 ,   9 ,   53 ,- ,- ,- ,- ,- ,- 
,Culturas forrageiras,   180 ,  1 788 ,   174 ,  1 761 ,   13 ,   28 ,- ,- ,   13 ,   28 
,Batata,   5 ,   2 ,   5 ,   2 ,- ,- ,- ,- ,- ,- 
,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   30 ,   640 ,   30 ,   640 ,- ,- ,- ,- ,- ,- 
,Culturas hortícolas,   6 ,   48 ,   6 ,   48 ,- ,- ,- ,- ,- ,- 
,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Serpa,,,,,,,,,,
,Culturas temporárias,   901 ,  28 346 ,   878 ,  27 155 ,   116 ,  1 191 ,- ,- ,   116 ,  1 191 
,Cereais para grão,   642 ,  16 450 ,   625 ,  15 767 ,   60 ,   681 ,- ,- ,   60 ,   681 
,Leguminosas secas para grão,   90 ,   698 ,   81 ,   650 ,   9 ,   47 ,- ,- ,   9 ,   47 
,Prados temporários,   19 ,   399 ,   18 ,   378 ,   3 ,   21 ,- ,- ,   3 ,   21 
,Culturas forrageiras,   371 ,  5 956 ,   355 ,  5 676 ,   41 ,   282 ,- ,- ,   41 ,   282 
