População e mão-de-obra agrícola não familiar (UTA),,,,,,,,,
,,,,,,,,,1999
Região Agrícola,,,,Mão-de-obra não familiar,,,,,
,Nut III,,,Total,Permanente,,,Trabalhadores eventuais agrícolas,Trabalhadores eventuais agrícolas não contratados pelo produtor
,,Concelho,,,Total,Dirigente,Outros trabalhadores,,
Algarve,,,índ. (nº),- ,"2,488",335,"2,153",- ,- 
,,,UTA,"3,303","2,066",159,"1,909","1,151",86
,Algarve,,índ. (nº),- ,"2,488",335,"2,153",- ,- 
,,,UTA,"3,303","2,066",159,"1,909","1,151",86
,,Albufeira,índ. (nº),- ,199,39,160,- ,- 
,,,UTA,250,164,16,149,79,7
,,Alcoutim,índ. (nº),- ,25,1,24,- ,- 
,,,UTA,39,22,o ,22,10,7
,,Aljezur,índ. (nº),- ,33,9,24,- ,- 
,,,UTA,50,27,4,23,18,5
,,Castro Marim,índ. (nº),- ,106,10,96,- ,- 
,,,UTA,110,75,4,71,25,10
,,Faro,índ. (nº),- ,437,26,411,- ,- 
,,,UTA,562,390,18,374,168,4
,,Lagoa,índ. (nº),- ,96,10,86,- ,- 
,,,UTA,107,78,7,71,28,1
,,Lagos,índ. (nº),- ,76,9,67,- ,- 
,,,UTA,98,57,5,53,38,3
,,Loulé,índ. (nº),- ,261,67,194,- ,- 
,,,UTA,315,185,25,159,116,14
,,Monchique,índ. (nº),- ,63,7,56,- ,- 
,,,UTA,74,49,5,45,24,1
,,Olhão,índ. (nº),- ,402,26,376,- ,- 
,,,UTA,524,360,10,350,161,3
,,Portimão,índ. (nº),- ,115,16,99,- ,- 
,,,UTA,119,98,12,85,19,2
,,São Brás de Alportel,índ. (nº),- ,15,4,11,- ,- 
,,,UTA,29,12,2,10,15,2
,,Silves,índ. (nº),- ,337,62,275,- ,- 
,,,UTA,574,285,35,249,275,14
,,Tavira,índ. (nº),- ,256,34,222,- ,- 
,,,UTA,380,214,12,202,154,12
,,Vila do Bispo,índ. (nº),- ,25,2,23,- ,- 
,,,UTA,27,24,1,23,3,o 
,,Vila Real de Santo António,índ. (nº),- ,42,13,29,- ,- 
,,,UTA,45,26,3,23,18,1
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região do Algarve.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
