Principais culturas permanentes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1999
Região Agrária,,,,Culturas Permanentes,Frutos frescos,Citrinos,Frutos sub-tropicais,Frutos secos,Olival,Vinha,Viveiros,Chá,Vime,Outras culturas permanentes
,Nut III,,,,,,,,,,,,,
,,Concelho,,,,,,,,,,,,
Algarve,,,expl (nº),"17,348","8,425","9,964",294,"11,702","11,084","4,208",20,- ,- ,2
,,,área (ha),"56,308","3,792","15,124",216,"25,260","8,788","2,993",139,- ,- ,... 
,Algarve,,expl (nº),"17,348","8,425","9,964",294,"11,702","11,084","4,208",20,- ,- ,2
,,,área (ha),"56,308","3,792","15,124",216,"25,260","8,788","2,993",139,- ,- ,... 
,,Albufeira,expl (nº),"1,140",799,545,19,975,797,263,2,- ,- ,- 
,,,área (ha),"4,390",611,813,5,"2,089",472,283,... ,- ,- ,- 
,,Alcoutim,expl (nº),994,259,142,1,919,827,380,4,- ,- ,- 
,,,área (ha),"3,955",81,62,... ,"3,148",607,54,2,- ,- ,- 
,,Aljezur,expl (nº),295,61,111,1,6,14,188,- ,- ,- ,- 
,,,área (ha),221,27,24,... ,3,3,164,- ,- ,- ,- 
,,Castro Marim,expl (nº),904,517,421,1,794,722,589,2,- ,- ,- 
,,,área (ha),"3,987",320,150,... ,"2,795",413,295,... ,- ,- ,- 
,,Faro,expl (nº),"1,387",579,934,20,937,826,113,2,- ,- ,2
,,,área (ha),"3,976",165,"1,662",16,"1,493",555,79,... ,- ,- ,... 
,,Lagoa,expl (nº),473,289,241,2,324,195,197,1,- ,- ,- 
,,,área (ha),"1,395",160,341,... ,487,142,262,... ,- ,- ,- 
,,Lagos,expl (nº),586,484,423,17,327,263,167,2,- ,- ,- 
,,,área (ha),851,169,133,4,313,81,151,... ,- ,- ,- 
,,Loulé,expl (nº),"3,517","1,995","1,681",56,"2,915","2,917",514,- ,- ,- ,- 
,,,área (ha),"12,226",681,"1,744",50,"6,746","2,803",203,- ,- ,- ,- 
,,Monchique,expl (nº),584,276,486,8,94,302,5,3,- ,- ,- 
,,,área (ha),422,68,182,1,57,108,5,1,- ,- ,- 
,,Olhão,expl (nº),"1,123",604,830,23,812,663,167,- ,- ,- ,- 
,,,área (ha),"3,474",218,"1,414",9,"1,305",396,131,- ,- ,- ,- 
,,Portimão,expl (nº),511,290,435,10,169,148,75,- ,- ,- ,- 
,,,área (ha),"1,546",222,426,1,630,143,123,- ,- ,- ,- 
,,São Brás de Alportel,expl (nº),533,257,227,3,459,486,75,- ,- ,- ,- 
,,,área (ha),"1,326",80,144,o ,615,444,43,- ,- ,- ,- 
,,Silves,expl (nº),"2,886",753,"2,108",104,"1,363","1,455",451,3,- ,- ,- 
,,,área (ha),"10,045",323,"5,902",107,"1,959","1,207",550,3,- ,- ,- 
,,Tavira,expl (nº),"2,102","1,096","1,195",27,"1,488","1,356",895,1,- ,- ,- 
,,,área (ha),"7,337",522,"1,970",14,"3,100","1,221",512,... ,- ,- ,- 
,,Vila do Bispo,expl (nº),52,38,15,- ,26,18,22,- ,- ,- ,- 
,,,área (ha),71,10,11,- ,37,2,7,- ,- ,- ,- 
,,Vila Real Santo António,expl (nº),261,128,170,2,94,95,107,- ,- ,- ,- 
,,,área (ha),"1,086",135,146,... ,483,191,131,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região do Algarve.",,,,,,,,,,,,,,
