Principais culturas temporárias,,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,pág. 2/3
Região Agrária,,,,Total,,Cultura Principal,,Cultura Secundária,,,,,
,Nut III,,,,,,,Total,,Sucessiva,,Associada sob-coberto de permanentes,
,,Concelho,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,13,2,12,2,1,... ,1,... ,- ,- 
,,Olhão,,,,,,,,,,,
,,,Culturas temporárias,327,440,268,388,91,52,3,o ,88,51
,,,Cereais para grão,33,37,24,30,11,6,- ,- ,11,6
,,,Leguminosas secas para grão,11,3,5,o ,6,3,1,... ,5,3
,,,Prados temporários,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas forrageiras,13,28,11,25,3,3,- ,- ,3,3
,,,Batata,107,25,86,23,21,1,1,... ,20,1
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,264,328,218,290,69,38,1,... ,68,38
,,,Flores e plantas ornamentais,12,16,12,16,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,17,2,12,2,5,1,- ,- ,5,1
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região do Algarve.",,,,,,,,,,,,,
