Principais culturas temporárias (Página 2),,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,pág. 2/5
Região Agrária,,,,Total,,Cultura Principal,,Cultura Secundária,,,,,
,Nut III,,,,,,,Total,,Sucessiva,,Associada sob-coberto de permanentes,
,,Concelho,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
,,Mesão Frio,,,,,,,,,,,
,,,Culturas temporárias,41,14,41,14,1,... ,1,... ,- ,- 
,,,Cereais para grão,4,2,4,2,- ,- ,- ,- ,- ,- 
,,,Leguminosas secas para grão,3,o ,3,o ,- ,- ,- ,- ,- ,- 
,,,Prados temporários,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Culturas forrageiras,1,... ,- ,- ,1,... ,1,... ,- ,- 
,,,Batata,3,o ,3,o ,- ,- ,- ,- ,- ,- 
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,34,11,34,11,- ,- ,- ,- ,- ,- 
,,,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Moimenta da Beira,,,,,,,,,,,
,,,Culturas temporárias,"1,122","2,692","1,121","2,381",287,309,273,300,21,11
,,,Cereais para grão,782,747,781,745,5,2,- ,- ,5,2
,,,Leguminosas secas para grão,245,35,245,35,- ,- ,- ,- ,- ,- 
,,,Prados temporários,118,292,118,292,1,... ,- ,- ,1,... 
,,,Culturas forrageiras,520,"1,214",407,912,283,304,273,300,14,6
,,,Batata,944,402,944,399,2,... ,- ,- ,2,... 
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,17,2,17,2,- ,- ,- ,- ,- ,- 
,,,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Penedono,,,,,,,,,,,
,,,Culturas temporárias,512,995,509,914,93,82,74,65,27,16
,,,Cereais para grão,360,501,358,493,13,8,- ,- ,13,8
,,,Leguminosas secas para grão,38,5,37,5,2,... ,- ,- ,2,... 
,,,Prados temporários,17,12,17,12,- ,- ,- ,- ,- ,- 
,,,Culturas forrageiras,205,259,177,189,76,71,74,65,7,7
,,,Batata,419,214,415,212,10,3,- ,- ,10,3
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
