Produtor singular segundo a OTE e as classes de idade (Página 5),,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 5/6
Região Agrária,,,,Bovinos              para leite /gado /carne,Ovinos /caprinos /out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas
,Nut III,,,,,,,,,,,
,,Concelho,,nº de indivíduos,,,,,,,,
,Alto Trás os Montes,,,,,,,,,,,
,,,35 - 44,1,38,2,139,24,11,9,42,- 
,,,45 - 54,1,43,- ,238,43,12,12,70,1
,,,55 - 64,1,31,3,348,58,16,21,77,- 
,,,>= 65,1,29,- ,505,55,11,30,108,- 
,,Vila Pouca de Aguiar,,,,,,,,,,
,,,Total,51,281,9,297,203,34,179,134,- 
,,,15 - 24,- ,1,- ,- ,- ,- ,- ,1,- 
,,,25 - 34,3,12,1,5,3,1,3,2,- 
,,,35 - 44,1,35,2,31,20,1,11,14,- 
,,,45 - 54,15,49,1,54,42,10,36,30,- 
,,,55 - 64,21,103,2,76,67,7,55,35,- 
,,,>= 65,11,81,3,131,71,15,74,52,- 
,,Vimioso,,,,,,,,,,
,,,Total,4,97,2,304,85,3,14,173,2
,,,15 - 24,- ,- ,- ,- ,1,- ,- ,2,- 
,,,25 - 34,- ,11,1,7,2,- ,- ,8,- 
,,,35 - 44,- ,14,- ,27,7,- ,- ,16,- 
,,,45 - 54,1,27,- ,48,16,1,5,21,1
,,,55 - 64,3,28,- ,76,35,1,5,45,- 
,,,>= 65,- ,17,1,146,24,1,4,81,1
,,Vinhais,,,,,,,,,,
,,,Total,5,157,6,689,196,57,21,291,1
,,,15 - 24,- ,- ,- ,1,1,- ,- ,1,- 
,,,25 - 34,- ,19,- ,19,6,2,1,13,- 
,,,35 - 44,2,37,- ,73,31,9,3,36,- 
,,,45 - 54,3,41,2,104,48,14,3,63,- 
,,,55 - 64,- ,41,3,205,62,10,4,88,- 
,,,>= 65,- ,19,1,287,48,22,10,90,1
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,,
