Explorações segundo a condição pela qual é recenseada a exploração,,,,,,,,,,,
,,,,,,,,,,,1999
Região Agrária,,,1 ha ou mais de Superfície Agrícola Utilizada (SAU),,,"Sem a condição anterior, mas com uma área mínima de determinada cultura",,,"Sem nenhuma das condições anteriores, mas com uma determinada actividade animal",,
,Nut III,,Expl (nº),SAU (ha),Sup. Total (ha),Expl (nº),SAU (ha),Sup. Total (ha),Expl (nº),SAU (ha),Sup. Total (ha)
,,Concelho,,,,,,,,,
Trás-os-Montes e Alto Douro,,,"59,912","451,929","625,346","9,564","5,779","11,304",530,169,464
,Douro,,"24,024","134,645","199,814","7,409","4,341","7,656",288,103,240
,,Alijó,"1,990","8,674","13,071",920,542,"1,037",12,4,18
,,Armamar,917,"4,266","5,972",359,217,329,4,1,1
,,Carrazeda de Ansiães,"1,605","7,751","12,902",300,194,391,4,1,5
,,Freixo de Espada à Cinta,874,"8,161","12,675",79,58,203,4,1,7
,,Lamego,"1,254","5,715","7,698",804,434,563,36,14,40
,,Mesão Frio,265,"1,076","1,314",340,177,219,2,... ,... 
,,Moimenta da Beira,"1,159","5,515","7,341",109,68,159,34,12,29
,,Penedono,656,"3,858","5,272",62,39,94,1,... ,... 
,,Peso da Régua,790,"3,773","4,463",726,380,491,4,o ,2
,,Sabrosa,900,"4,430","6,760",528,298,708,17,6,11
,,Santa Marta de Penaguião,795,"3,326","4,333",696,380,490,2,... ,... 
,,São João da Pesqueira,"1,812","12,383","18,286",404,249,378,5,1,3
,,Sernancelhe,"1,075","4,868","8,529",73,49,100,8,5,9
,,Tabuaço,956,"4,295","7,837",346,220,432,4,o ,o 
,,Tarouca,659,"2,032","2,721",229,132,214,38,20,30
,,Torre de Moncorvo,"2,049","17,075","26,900",136,92,300,8,2,5
,,Vila Flor,"1,677","10,342","15,949",206,140,316,13,2,3
,,Vila Nova de Foz Côa,"2,106","16,513","22,228",316,204,342,17,- ,2
,,Vila Real,"2,485","10,592","15,563",776,468,890,75,33,73
,Alto Trás os Montes ,,"35,888","317,284","425,532","2,155","1,438","3,648",242,66,224
,,Alfândega da Fé,"1,327","12,455","20,311",47,36,74,3,1,2
,,Boticas,"1,317","11,020","12,818",9,6,15,13,6,7
,,Bragança,"3,822","44,035","58,317",210,142,424,39,7,88
,,Chaves,"4,932","25,924","36,290",522,322,668,22,7,18
,,Macedo de Cavaleiros,"3,038","23,973","34,403",142,104,236,7,2,3
,,Miranda do Douro,"1,557","21,376","26,821",156,94,593,9,o ,5
,,Mirandela,"3,513","27,773","41,708",242,179,348,26,3,17
,,Mogadouro,"2,630","37,019","50,000",59,45,202,7,1,2
,,Montalegre,"2,432","34,396","38,286",6,4,5,40,15,25
,,Murça,"1,139","4,712","7,704",271,168,263,20,9,16
,,Valpaços,"4,520","25,989","35,499",307,208,361,14,4,15
,,Vila Pouca de Aguiar,"1,850","11,144","13,875",43,28,47,31,9,22
,,Vimioso,"1,339","14,683","21,606",72,49,320,7,1,3
,,Vinhais,"2,472","22,785","27,894",69,53,92,4,1,1
"Fonte: Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
