Culturas regadas (Página 1),,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,pág. 1/2
Região Agrária,,,,Trigo mole,Trigo duro,Milho híbrido,Milho regional,Arroz,Milho para silagem,Milharada,Outras culturas forrageiras,Prados temporários,Batata excepto a da horta familiar
,Nut III,,,,,,,,,,,,
,,Concelho,,,,,,,,,,,
Trás os Montes,,,expl (nº),13,- ,461,"13,403",- ,"1,150","3,329","6,829",988,"24,871"
,,,área regada (ha),12,- ,261,"5,350",- ,"2,504","1,679","2,738","1,105","9,369"
,Douro,,expl (nº),12,- ,348,"4,535",- ,339,872,"1,244",696,"7,206"
,,,área regada (ha),6,- ,188,"1,638",- ,688,419,979,637,"2,421"
,,Alijó,expl (nº),- ,- ,3,400,- ,2,48,58,8,621
,,,área regada (ha),- ,- ,o ,82,- ,... ,7,10,5,121
,,Armamar,expl (nº),- ,- ,2,111,- ,1,1,2,1,324
,,,área regada (ha),- ,- ,... ,26,- ,... ,... ,... ,... ,112
,,Carrazeda de Ansiães,expl (nº),3,- ,2,120,- ,- ,14,1,3,352
,,,área regada (ha),o ,- ,... ,52,- ,- ,11,... ,6,125
,,Freixo de Espada à Cinta,expl (nº),- ,- ,1,- ,- ,- ,19,1,- ,7
,,,área regada (ha),- ,- ,... ,- ,- ,- ,8,... ,- ,2
,,Lamego,expl (nº),- ,- ,1,264,- ,4,26,34,34,219
,,,área regada (ha),- ,- ,... ,70,- ,5,9,22,26,76
,,Mesão Frio,expl (nº),- ,- ,1,2,- ,- ,- ,- ,- ,1
,,,área regada (ha),- ,- ,... ,... ,- ,- ,- ,- ,- ,... 
,,Moimenta da Beira,expl (nº),- ,- ,7,640,- ,144,155,34,87,925
,,,área regada (ha),- ,- ,6,277,- ,401,81,30,265,389
,,Penedono,expl (nº),4,- ,4,196,- ,19,29,58,5,410
,,,área regada (ha),2,- ,2,74,- ,41,22,18,2,211
,,Peso da Régua,expl (nº),- ,- ,13,38,- ,41,- ,4,- ,35
,,,área regada (ha),- ,- ,7,8,- ,4,- ,4,- ,5
,,Sabrosa,expl (nº),- ,- ,7,246,- ,8,26,25,7,156
,,,área regada (ha),- ,- ,3,83,- ,10,10,24,o ,54
,,Santa Marta de Penaguião,expl (nº),- ,- ,55,46,- ,4,- ,- ,1,21
,,,área regada (ha),- ,- ,21,14,- ,o ,- ,- ,... ,5
,,São João da Pesqueira,expl (nº),2,- ,1,90,- ,1,10,4,- ,219
,,,área regada (ha),... ,- ,... ,29,- ,... ,7,2,- ,57
,,Sernancelhe,expl (nº),- ,- ,- ,511,- ,17,88,63,3,984
,,,área regada (ha),- ,- ,- ,210,- ,44,75,32,o ,515
,,Tabuaço,expl (nº),- ,- ,- ,114,- ,2,4,8,13,425
,,,área regada (ha),- ,- ,- ,27,- ,... ,3,2,1,190
,,Tarouca,expl (nº),- ,- ,1,339,- ,20,60,115,117,344
,,,área regada (ha),- ,- ,... ,78,- ,58,19,125,77,81
,,Torre de Moncorvo,expl (nº),3,- ,- ,18,- ,- ,38,7,- ,74
,,,área regada (ha),4,- ,- ,9,- ,- ,21,12,- ,22
,,Vila Flor,expl (nº),- ,- ,5,31,- ,- ,25,32,2,742
,,,área regada (ha),- ,- ,o ,7,- ,- ,11,19,... ,133
,,Vila Nova de Foz Côa,expl (nº),- ,- ,- ,- ,- ,- ,- ,- ,- ,3
,,,área regada (ha),- ,- ,- ,- ,- ,- ,- ,- ,- ,o 
,,Vila Real,expl (nº),- ,- ,245,"1,369",- ,76,329,798,415,"1,344"
,,,área regada (ha),- ,- ,136,592,- ,121,135,675,252,323
,Alto Trás os Montes ,,expl (nº),1,- ,113,"8,868",- ,811,"2,457","5,585",292,"17,665"
,,,área regada (ha),... ,- ,73,"3,712",- ,"1,816","1,260","1,759",468,"6,948"
,,Alfândega da Fé,expl (nº),- ,- ,- ,2,- ,- ,77,17,7,49
,,,área regada (ha),- ,- ,- ,... ,- ,- ,83,31,16,16
,,Boticas,expl (nº),- ,- ,4,852,- ,17,33,14,1,814
,,,área regada (ha),- ,- ,3,479,- ,23,10,2,... ,291
,,Bragança,expl (nº),1,- ,1,131,- ,11,442,851,9,"2,434"
,,,área regada (ha),... ,- ,... ,40,- ,35,286,339,25,937
,,Chaves,expl (nº),- ,- ,20,"2,730",- ,212,172,"1,358",24,"3,886"
,,,área regada (ha),- ,- ,8,"1,177",- ,545,96,403,33,"1,973"
,,Macedo de Cavaleiros,expl (nº),- ,- ,2,80,- ,2,197,154,12,737
,,,área regada (ha),- ,- ,... ,17,- ,... ,116,66,54,241
,,Miranda do Douro,expl (nº),- ,- ,- ,6,- ,11,112,90,2,250
,,,área regada (ha),- ,- ,- ,3,- ,35,42,46,... ,59
,,Mirandela,expl (nº),- ,- ,3,380,- ,2,130,383,12,"1,081"
,,,área regada (ha),- ,- ,8,76,- ,... ,49,115,24,204
,,Mogadouro,expl (nº),- ,- ,- ,23,- ,133,184,67,6,548
,,,área regada (ha),- ,- ,- ,4,- ,165,167,47,8,221
,,Montalegre,expl (nº),- ,- ,10,"1,288",- ,162,67,345,17,"1,304"
,,,área regada (ha),- ,- ,7,711,- ,412,34,70,53,508
,,Murça,expl (nº),- ,- ,1,269,- ,2,44,78,2,383
,,,área regada (ha),- ,- ,... ,52,- ,... ,8,14,... ,102
,,Valpaços,expl (nº),- ,- ,15,"1,701",- ,35,538,"1,349",9,"2,964"
,,,área regada (ha),- ,- ,6,410,- ,68,132,236,5,"1,170"
,,Vila Pouca de Aguiar,expl (nº),- ,- ,54,"1,139",- ,220,123,308,185,"1,258"
,,,área regada (ha),- ,- ,38,651,- ,508,56,193,239,534
,,Vimioso,expl (nº),- ,- ,- ,1,- ,2,206,60,4,568
,,,área regada (ha),- ,- ,- ,... ,- ,... ,119,43,5,157
,,Vinhais,expl (nº),- ,- ,3,266,- ,2,132,511,2,"1,389"
,,,área regada (ha),- ,- ,1,92,- ,... ,62,154,... ,535
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,,,
,,,,,,,,,,,,,
