Principais culturas temporárias (Página 5),,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,pág. 5/5
Região Agrária,,,,Total,,Cultura Principal,,Cultura Secundária,,,,,
,Nut III,,,,,,,Total,,Sucessiva,,Associada sob-coberto de permanentes,
,,Concelho,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
,,Mirandela,,,,,,,,,,,
,,,Culturas temporárias,"2,333","4,589","2,301","4,166",582,424,412,276,251,148
,,,Cereais para grão,"1,194","2,241","1,185","2,232",34,8,- ,- ,34,8
,,,Leguminosas secas para grão,267,48,261,47,9,1,- ,- ,9,1
,,,Prados temporários,61,169,54,148,24,21,- ,- ,24,21
,,,Culturas forrageiras,"1,492","1,822","1,353","1,444",528,383,410,274,164,108
,,,Batata,"1,129",218,"1,102",211,58,7,- ,- ,58,7
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,195,84,193,82,2,... ,2,... ,- ,- 
,,,Flores e plantas ornamentais,12,2,12,2,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,34,6,34,6,1,... ,- ,- ,1,... 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Mogadouro,,,,,,,,,,,
,,,Culturas temporárias,"2,030","14,009","2,010","13,475",674,536,622,466,97,70
,,,Cereais para grão,"1,157","6,089","1,155","6,083",13,6,4,4,9,3
,,,Leguminosas secas para grão,303,152,295,152,9,o ,4,o ,5,o 
,,,Prados temporários,76,179,74,178,3,1,- ,- ,3,1
,,,Culturas forrageiras,"1,644","7,187","1,559","6,664",651,523,613,460,76,61
,,,Batata,"1,196",399,"1,187",396,17,2,7,o ,10,2
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,4,o ,4,o ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,10,2,8,1,2,... ,1,... ,1,... 
,,,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Montalegre,,,,,,,,,,,
,,,Culturas temporárias,"2,371","9,130","2,370","6,723","1,401","2,406","1,327","2,368",94,38
,,,Cereais para grão,"2,280","4,387","2,280","4,357",75,32,- ,- ,75,32
,,,Leguminosas secas para grão,444,52,442,51,2,... ,- ,- ,2,... 
,,,Prados temporários,22,55,22,55,- ,- ,- ,- ,- ,- 
,,,Culturas forrageiras,"1,920","3,418","1,320","1,050","1,333","2,370","1,325","2,367",12,o 
,,,Batata,"2,216","1,209","2,213","1,204",20,5,2,... ,18,5
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,2,... ,1,... ,1,... ,1,... ,- ,- 
,,,Flores e plantas ornamentais,3,o ,3,o ,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Murça,,,,,,,,,,,
,,,Culturas temporárias,748,797,717,563,462,235,353,147,216,89
,,,Cereais para grão,460,259,447,234,55,27,4,1,51,26
