Produtor singular segundo a OTE e as classes de idade (Página 2),,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 2/6
Região Agrária,,,,Bovinos              para leite /gado /carne,Ovinos /caprinos /out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas
,Nut III,,,,,,,,,,,
,,Concelho,,nº de indivíduos,,,,,,,,
Trás os Montes,,,,,,,,,,,,
,,,Total,317,"3,773",198,"10,057","3,140",772,"1,618","4,323",26
,,,15 - 24,2,18,1,10,6,- ,6,18,- 
,,,25 - 34,20,254,15,254,97,30,51,164,2
,,,35 - 44,51,686,44,"1,039",385,124,144,571,2
,,,45 - 54,84,796,47,"1,777",678,196,232,924,5
,,,55 - 64,111,"1,058",51,"2,776","1,014",212,467,"1,146",5
,,,>= 65,49,961,40,"4,201",960,210,718,"1,500",12
,Douro,,,,,,,,,,,
,,,Total,115,"1,005",58,"2,001",663,193,343,"1,045",4
,,,15 - 24,1,2,- ,3,1,- ,1,6,- 
,,,25 - 34,8,53,3,52,12,12,8,32,- 
,,,35 - 44,12,174,11,201,75,36,28,164,- 
,,,45 - 54,32,193,14,350,133,49,44,246,1
,,,55 - 64,45,271,16,543,213,57,96,263,2
,,,>= 65,17,312,14,852,229,39,166,334,1
,,Alijó,,,,,,,,,,
,,,Total,3,48,2,145,55,16,19,93,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,2,- ,2,2,- ,1,2,- 
,,,35 - 44,- ,10,- ,11,3,5,1,15,- 
,,,45 - 54,2,12,- ,25,8,5,1,14,- 
,,,55 - 64,1,11,- ,41,18,5,4,26,- 
,,,>= 65,- ,13,2,66,24,1,12,36,- 
,,Armamar,,,,,,,,,,
,,,Total,- ,6,- ,75,5,3,- ,17,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,- ,- ,2,- ,- ,- ,- ,- 
,,,35 - 44,- ,1,- ,7,- ,- ,- ,3,- 
,,,45 - 54,- ,1,- ,11,2,1,- ,4,- 
,,,55 - 64,- ,2,- ,21,3,- ,- ,2,- 
,,,>= 65,- ,2,- ,34,- ,2,- ,8,- 
,,Carrazeda de Ansiães,,,,,,,,,,
,,,Total,1,58,1,169,24,6,16,50,- 
,,,15 - 24,- ,- ,- ,- ,1,- ,- ,- ,- 
,,,25 - 34,- ,4,- ,4,1,- ,1,1,- 
,,,35 - 44,- ,8,- ,11,4,1,1,7,- 
,,,45 - 54,- ,15,1,29,4,1,4,9,- 
,,,55 - 64,1,14,- ,52,6,- ,3,10,- 
,,,>= 65,- ,17,- ,73,8,4,7,23,- 
,,Freixo de Espada à Cinta,,,,,,,,,,
,,,Total,- ,25,- ,45,6,1,- ,33,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,1,- ,- ,- ,- ,- ,1,- 
,,,35 - 44,- ,3,- ,3,2,- ,- ,9,- 
,,,45 - 54,- ,3,- ,4,3,- ,- ,5,- 
,,,55 - 64,- ,11,- ,20,1,1,- ,7,- 
,,,>= 65,- ,7,- ,18,- ,- ,- ,11,- 
,,Lamego,,,,,,,,,,
,,,Total,1,114,6,64,26,22,22,64,1
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,4,1,2,1,3,- ,- ,- 
,,,35 - 44,- ,11,- ,11,3,3,3,10,- 
,,,45 - 54,- ,16,3,10,7,7,1,12,- 
,,,55 - 64,1,37,1,14,7,7,6,21,1
,,,>= 65,- ,46,1,27,8,2,12,21,- 
,,Mesão Frio,,,,,,,,,,
,,,Total,- ,3,1,2,- ,- ,- ,10,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,35 - 44,- ,1,- ,- ,- ,- ,- ,2,- 
,,,45 - 54,- ,1,- ,2,- ,- ,- ,3,- 
,,,55 - 64,- ,- ,1,- ,- ,- ,- ,2,- 
,,,>= 65,- ,1,- ,- ,- ,- ,- ,3,- 
,,Moimenta da Beira,,,,,,,,,,
