Principais culturas temporárias (Página 4),,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,pág. 4/5
Região Agrária,,,,Total,,Cultura Principal,,Cultura Secundária,,,,,
,Nut III,,,,,,,Total,,Sucessiva,,Associada sob-coberto de permanentes,
,,Concelho,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
,Alto de Trás os Montes,,,,,,,,,,,,
,,,Culturas temporárias,"30,150","98,322","29,788","88,029","11,787","10,292","9,886","8,381","3,424","1,907"
,,,Cereais para grão,"22,275","51,019","22,123","50,603",933,422,25,13,910,410
,,,Leguminosas secas para grão,"5,227",733,"5,070",699,229,24,14,o ,215,22
,,,Prados temporários,"1,008","1,717",954,"1,622",95,95,- ,- ,95,95
,,,Culturas forrageiras,"20,470","34,105","16,658","24,663","10,794","9,449","9,835","8,322","1,926","1,107"
,,,Batata,"23,249","10,375","22,806","10,090","1,245",275,80,28,"1,166",244
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,30,59,30,59,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,879,283,850,273,34,6,20,3,14,2
,,,Flores e plantas ornamentais,108,24,108,24,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,4,o ,4,o ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,46,8,43,8,4,o ,1,... ,3,o 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Alfândega da Fé,,,,,,,,,,,
,,,Culturas temporárias,592,"1,081",562,936,226,148,181,110,71,36
,,,Cereais para grão,166,323,159,314,13,8,1,... ,12,8
,,,Leguminosas secas para grão,22,5,19,3,4,1,3,o ,1,... 
,,,Prados temporários,16,19,16,19,- ,- ,- ,- ,- ,- 
,,,Culturas forrageiras,499,687,463,554,212,138,179,108,52,27
,,,Batata,102,34,91,32,13,2,1,... ,12,2
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,25,15,24,14,1,... ,1,... ,- ,- 
,,,Flores e plantas ornamentais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Boticas,,,,,,,,,,,
,,,Culturas temporárias,"1,286","3,459","1,284","2,701",607,759,578,734,54,23
,,,Cereais para grão,"1,257","2,050","1,255","2,033",38,16,- ,- ,38,16
,,,Leguminosas secas para grão,141,7,139,7,2,... ,- ,- ,2,... 
,,,Prados temporários,4,2,4,2,- ,- ,- ,- ,- ,- 
,,,Culturas forrageiras,622,845,183,111,581,734,578,733,4,o 
,,,Batata,"1,127",552,"1,122",546,20,6,- ,- ,20,6
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Flores e plantas ornamentais,4,1,4,1,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,1,... ,- ,- ,1,... ,1,... ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Bragança,,,,,,,,,,,
,,,Culturas temporárias,"3,189","14,204","3,179","13,546",766,655,651,482,215,174
,,,Cereais para grão,"2,192","9,194","2,189","9,166",31,29,- ,- ,31,29
,,,Leguminosas secas para grão,327,32,325,31,2,... ,- ,- ,2,... 
,,,Prados temporários,48,111,44,95,6,16,- ,- ,6,16
,,,Culturas forrageiras,"2,128","3,702","2,046","3,104",729,594,645,466,174,128
,,,Batata,"2,676","1,057","2,640","1,038",53,16,35,15,18,1
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,16,49,16,49,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,134,63,132,63,2,... ,1,... ,1,... 
,,,Flores e plantas ornamentais,3,o ,3,o ,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Chaves,,,,,,,,,,,
,,,Culturas temporárias,"5,058","13,744","5,027","12,530","1,708","1,215","1,429","1,019",472,200
,,,Cereais para grão,"4,499","7,701","4,473","7,597",239,108,10,6,229,102
,,,Leguminosas secas para grão,"1,079",106,"1,050",102,43,2,3,o ,40,2
,,,Prados temporários,114,110,106,108,11,4,- ,- ,11,4
