Utilização das terras (Serra da Estrela),,,,,,
,,,,,,1999
,,,,,,pág. 2/5
,,,Serra da Estrela,Fornos de Algodres,Gouveia,Seia
Superfície Total,,expl (nº),"4,822",784,"1,563","2,475"
,,área (ha),"29,978","5,527","11,202","13,249"
Superfície Agrícola Utilizada (SAU),,expl (nº),"4,809",784,"1,562","2,463"
,,área (ha),"19,334","3,812","7,870","7,652"
Terra arável,,expl (nº),"3,967",694,"1,221","2,052"
,,área (ha),"8,961","2,417","2,984","3,560"
Terra arável limpa,,expl (nº),"3,966",694,"1,221","2,051"
,,área (ha),"8,959","2,416","2,984","3,559"
,Culturas temporárias,expl (nº),"3,279",657,856,"1,766"
,,área (ha),"7,999","2,265","2,408","3,326"
,Pousio (com e sem ajuda),expl (nº),472,88,175,209
,,área (ha),679,114,490,75
,Horta familiar,expl (nº),"3,473",642,"1,097","1,734"
,,área (ha),284,38,88,158
Culturas sob-coberto matas e florestas,,expl (nº),3,1,1,1
,,área (ha),2,... ,... ,... 
,Culturas temporárias,expl (nº),1,1,- ,- 
,,área (ha),... ,... ,- ,- 
,Pousio (com e sem ajuda),expl (nº),2,- ,1,1
,,área (ha),... ,- ,... ,... 
Culturas permanentes,,expl (nº),"4,524",672,"1,506","2,346"
,,área (ha),"5,923",644,"2,430","2,849"
Sem culturas sob-coberto,,expl (nº),"4,415",640,"1,495","2,280"
,,área (ha),"5,083",558,"2,230","2,295"
Com culturas temporárias,,expl (nº),"1,219",172,265,782
,,área (ha),611,74,125,412
Com pousio (com e sem ajuda),,expl (nº),16,- ,3,13
,,área (ha),1,- ,o ,1
Com horta familiar,,expl (nº),859,77,266,516
,,área (ha),66,3,23,40
Com pastagens permanentes,,expl (nº),93,6,19,68
,,área (ha),156,7,51,98
Pastagens permanentes,,expl (nº),850,254,235,361
,,área (ha),"4,456",752,"2,455","1,249"
Em terra limpa,,expl (nº),818,254,234,330
,,área (ha),"4,216",752,"2,434","1,030"
Sob-coberto de matas e florestas,,expl (nº),47,- ,4,43
,,área (ha),241,- ,23,218
Matas e florestas sem culturas sob-coberto,,expl (nº),"2,582",512,669,"1,401"
,,área (ha),"7,191","1,197","1,719","4,275"
Superfície Agrícola não utilizada,,expl (nº),"1,607",282,657,668
,,área (ha),"2,643",439,"1,309",895
Outras superfícies,,expl (nº),"4,550",780,"1,526","2,244"
,,área (ha),811,79,307,425
"Fonte: INE, Recenseamento da Agricultura, 1999 - Região Centro."
