Máquinas e equipamentos (Cova da Beira),,,,,,
,,,,,,1999
,,,,,,pág. 5/5
,,,Cova da Beira,Belmonte,Covilhã,Fundão
Explorações que utilizam tractores Máquinas pertencentes à exploração,,expl (nº),"6,249",830,"1,883","3,536"
Tractores ( de rodas e de rasto),,expl (nº),"2,694",344,763,"1,587"
,,máq (nº),"3,095",393,887,"1,815"
,De menos de 20 c.v.,expl (nº),574,31,199,344
,,máq (nº),579,32,201,346
,De 20 a menos de 34 c.v.,expl (nº),917,121,244,552
,,máq (nº),927,121,246,560
,De 34 a menos de 55 c.v.,expl (nº),"1,081",168,283,630
,,máq (nº),"1,141",178,304,659
,De 55 a menos de 82 c.v.,expl (nº),316,45,98,173
,,máq (nº),387,55,120,212
,De 82 a menos de 109 c.v,expl (nº),37,4,13,20
,,máq (nº),44,4,14,26
,De 109 c.v. e mais,expl (nº),17,3,2,12
,,máq (nº),17,3,... ,12
Motocultivadores,,expl (nº),"2,686",250,836,"1,600"
,,máq (nº),"2,774",260,859,"1,655"
Motoenxadas (motofresas),,expl (nº),974,127,263,584
,,máq (nº),"1,003",128,269,606
Motoceifeiras (motogadanheiras),,expl (nº),137,10,46,81
,,máq (nº),146,11,46,89
Electrobomba/motobomba,,expl (nº),"5,326",873,"1,354","3,099"
,,máq (nº),"10,827","1,980","2,535","6,312"
Distribuidores de adubos e correctivos,,expl (nº),351,64,129,158
,,máq (nº),382,69,146,167
Semeadores,,expl (nº),165,29,42,94
,,máq (nº),180,30,54,96
Plantadores/transplantadores,,expl (nº),34,5,8,21
,,máq (nº),41,5,12,24
Pulverizadores e polvilhadores,,expl (nº),941,142,228,571
,,máq (nº),"1,051",159,261,631
Gadanheiras,,expl (nº),372,48,137,187
,,máq (nº),403,51,152,200
Colhedores de forragem,,expl (nº),47,4,19,24
,,máq (nº),57,4,29,24
Enfardadeiras,,expl (nº),205,30,75,100
,,máq (nº),216,34,78,104
Ceifeiras-debulhadoras,,expl (nº),47,10,14,23
,,máq (nº),53,11,15,27
Secadores de cereais,,expl (nº),7,1,4,2
,,máq (nº),16,... ,4,... 
Viradores de feno,,expl (nº),205,38,64,103
,,máq (nº),215,43,67,105
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,
