Culturas regadas (Baixo Alentejo - Vidigueira / Beterraba Sacarina),,,,,,,,,,,,
,,,,,,,,,,,,Pág 2/4
REGIÃO AGRÁRIA / Nut III / Concelho,,Trigo mole,Trigo duro,Milho híbrido,Milho regional,Arroz,Milho para silagem,Milharada,Outras culturas forrageiras,Prados temporários,Batata excepto a da horta familiar,Beterraba sacarina
Borba,expl (nº),   2 ,   2 ,   3 ,   3 ,- ,   1 ,- ,   37 ,   3 ,   4 ,- 
,área regada (ha),... ,... ,   52 ,   1 ,- ,... ,- ,   45 ,   2 ,   2 ,- 
Estremoz,expl (nº),   17 ,   4 ,   38 ,   2 ,- ,   2 ,- ,   61 ,   5 ,   10 ,   1 
,área regada (ha),   379 ,   26 ,   305 ,... ,- ,... ,- ,   139 ,   10 ,   3 ,... 
Évora,expl (nº),   48 ,   28 ,   33 ,   4 ,   1 ,   5 ,- ,   78 ,   15 ,   14 ,   10 
,área regada (ha),  1 288 ,   906 ,   547 ,   46 ,... ,   149 ,- ,   691 ,   9 ,   4 ,   415 
Montemor-o-Novo,expl (nº),   10 ,   8 ,   38 ,   6 ,   17 ,   11 ,- ,   124 ,   13 ,   7 ,   4 
,área regada (ha),   190 ,   128 ,   854 ,   26 ,   645 ,   110 ,- ,   996 ,   169 ,   2 ,   56 
Mourão,expl (nº),   4 ,   1 ,   1 ,- ,- ,- ,- ,   14 ,- ,- ,- 
,área regada (ha),   54 ,... ,... ,- ,- ,- ,- ,   75 ,- ,- ,- 
Portel,expl (nº),   20 ,   12 ,   15 ,- ,- ,- ,- ,   23 ,   2 ,   3 ,   1 
,área regada (ha),   687 ,   263 ,   173 ,- ,- ,- ,- ,   139 ,... ,   2 ,... 
Redondo,expl (nº),   7 ,   6 ,   41 ,   1 ,- ,   2 ,- ,   26 ,- ,   2 ,   9 
,área regada (ha),   79 ,   61 ,   354 ,... ,- ,... ,- ,   47 ,- ,... ,   129 
Reguengos de Monsaraz,expl (nº),   10 ,   13 ,   18 ,- ,- ,- ,   2 ,   58 ,   6 ,   3 ,   1 
,área regada (ha),   198 ,   177 ,   132 ,- ,- ,- ,... ,   236 ,   15 ,o ,... 
Sousel,expl (nº),   8 ,   2 ,   14 ,- ,- ,   3 ,- ,   16 ,   1 ,- ,   5 
,área regada (ha),   194 ,... ,   305 ,- ,- ,   56 ,- ,   67 ,... ,- ,   160 
Vendas Novas,expl (nº),- ,   1 ,   11 ,   3 ,   5 ,   6 ,   1 ,   27 ,   5 ,   6 ,   1 
,área regada (ha),- ,... ,   167 ,   1 ,   191 ,   71 ,... ,   119 ,   13 ,   10 ,... 
Viana do Alentejo,expl (nº),   7 ,   6 ,   10 ,   3 ,- ,   3 ,- ,   66 ,   1 ,   2 ,   1 
,área regada (ha),   200 ,   161 ,   352 ,   6 ,- ,   47 ,- ,   426 ,... ,... ,... 
Vila Viçosa,expl (nº),   1 ,   1 ,   2 ,   3 ,- ,   1 ,- ,   19 ,   1 ,   2 ,- 
,área regada (ha),... ,... ,... ,   58 ,- ,... ,- ,   53 ,... ,... ,- 
Baixo Alentejo,expl (nº),   212 ,   133 ,   353 ,   43 ,   25 ,   12 ,- ,   155 ,   6 ,   34 ,   46 
,área regada (ha),  5 312 ,  2 665 ,  4 109 ,   483 ,   823 ,   108 ,- ,   808 ,   12 ,   25 ,   964 
Aljustrel,expl (nº),   18 ,   5 ,   104 ,   2 ,   4 ,   1 ,- ,   2 ,- ,- ,- 
,área regada (ha),   534 ,   96 ,  1 694 ,... ,   192 ,... ,- ,... ,- ,- ,- 
Almodôvar,expl (nº),- ,- ,   60 ,   11 ,- ,   1 ,- ,   4 ,- ,   12 ,- 
,área regada (ha),- ,- ,   36 ,   6 ,- ,... ,- ,   6 ,- ,   1 ,- 
Alvito,expl (nº),   5 ,   3 ,   4 ,   1 ,- ,- ,- ,   8 ,- ,   1 ,- 
,área regada (ha),   135 ,   64 ,   171 ,... ,- ,- ,- ,   70 ,- ,... ,- 
Barrancos,expl (nº),- ,- ,- ,- ,- ,- ,- ,   5 ,- ,- ,- 
,área regada (ha),- ,- ,- ,- ,- ,- ,- ,   9 ,- ,- ,- 
Beja,expl (nº),   64 ,   44 ,   28 ,   2 ,- ,- ,- ,   28 ,   2 ,   5 ,   25 
,área regada (ha),  1 884 ,   913 ,   293 ,... ,- ,- ,- ,   62 ,... ,   3 ,   318 
Castro Verde,expl (nº),   2 ,   2 ,   3 ,- ,- ,   1 ,- ,   3 ,- ,- ,- 
,área regada (ha),... ,... ,   41 ,- ,- ,... ,- ,   53 ,- ,- ,- 
Cuba,expl (nº),   8 ,   8 ,   2 ,   2 ,   1 ,- ,- ,   8 ,- ,- ,   3 
