Produtor singular segundo a OTE e as classes de idade (Bovinos para Gado/Carne / Alentejo Central - Mourão),,,,,,,,,,,
,,,,,,,,,,,Pág 4/14
REGIÃO AGRÁRIA / Nut III / Concelho,,Total,Cereais Plantas olea./prot.,Culturas agrícolas diversas,Horticultura,Viticultura,Fruticultura,Olivicultura,Culturas permanentes diversas,Bovinos                de leite,Bovinos para gado/carne
Alentejo Central,,,,,,,,,,,
Total,,  8 639 ,   723 ,   346 ,   185 ,   658 ,   185 ,  2 084 ,   352 ,   66 ,   243 
15 - 24,,   23 ,   3 ,- ,- ,   1 ,- ,   2 ,   1 ,- ,   1 
25 - 34,,   373 ,   29 ,   21 ,   7 ,   24 ,   1 ,   45 ,   14 ,   13 ,   27 
35 - 44,,   826 ,   85 ,   35 ,   15 ,   74 ,   15 ,   109 ,   27 ,   10 ,   40 
45 - 54,,  1 430 ,   114 ,   63 ,   24 ,   129 ,   41 ,   265 ,   43 ,   12 ,   63 
55 - 64,,  2 197 ,   161 ,   87 ,   53 ,   176 ,   40 ,   498 ,   103 ,   20 ,   51 
>= 65,,  3 790 ,   331 ,   140 ,   86 ,   254 ,   88 ,  1 165 ,   164 ,   11 ,   61 
,Alandroal,,,,,,,,,,
,Total,   877 ,   31 ,   22 ,   2 ,   9 ,   4 ,   348 ,   17 ,   23 ,   7 
,15 - 24,   1 ,- ,- ,- ,- ,- ,- ,   1 ,- ,- 
,25 - 34,   23 ,   2 ,- ,- ,   1 ,- ,   5 ,- ,   4 ,   2 
,35 - 44,   76 ,   4 ,   3 ,- ,   2 ,- ,   12 ,   1 ,   5 ,- 
,45 - 54,   121 ,   6 ,   3 ,- ,   3 ,   1 ,   44 ,   4 ,   4 ,   1 
,55 - 64,   221 ,   10 ,   4 ,   1 ,   1 ,- ,   81 ,   2 ,   5 ,- 
,>= 65,   435 ,   9 ,   12 ,   1 ,   2 ,   3 ,   206 ,   9 ,   5 ,   4 
,Arraiolos,,,,,,,,,,
,Total,   366 ,   54 ,   27 ,   8 ,   1 ,   3 ,   37 ,   3 ,   2 ,   19 
,15 - 24,   1 ,   1 ,- ,- ,- ,- ,- ,- ,- ,- 
,25 - 34,   19 ,   3 ,   2 ,- ,- ,- ,- ,- ,- ,   1 
,35 - 44,   39 ,   5 ,   4 ,   2 ,- ,   1 ,   4 ,- ,   1 ,   2 
,45 - 54,   68 ,   10 ,   1 ,   1 ,- ,   1 ,   6 ,- ,- ,   7 
,55 - 64,   105 ,   16 ,   9 ,   2 ,- ,- ,   11 ,   1 ,   1 ,   6 
,>= 65,   134 ,   19 ,   11 ,   3 ,   1 ,   1 ,   16 ,   2 ,- ,   3 
,Borba,,,,,,,,,,
,Total,   498 ,   7 ,   3 ,   32 ,   84 ,   14 ,   145 ,   22 ,   2 ,   2 
,15 - 24,   1 ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,25 - 34,   18 ,- ,- ,   2 ,- ,- ,   3 ,   1 ,   1 ,- 
,35 - 44,   44 ,   1 ,- ,   4 ,   8 ,   1 ,   9 ,   2 ,- ,   1 
,45 - 54,   81 ,   1 ,   1 ,   5 ,   14 ,   2 ,   25 ,   5 ,- ,- 
,55 - 64,   125 ,   2 ,- ,   7 ,   20 ,   5 ,   35 ,   5 ,- ,- 
,>= 65,   229 ,   3 ,   2 ,   14 ,   42 ,   6 ,   73 ,   9 ,   1 ,   1 
,Estremoz,,,,,,,,,,
,Total,  1 059 ,   106 ,   38 ,   49 ,   62 ,   18 ,   238 ,   27 ,   14 ,   20 
,15 - 24,   4 ,- ,- ,- ,- ,- ,- ,- ,- ,   1 
,25 - 34,   54 ,   7 ,   1 ,   1 ,   1 ,- ,   3 ,- ,   4 ,   4 
,35 - 44,   94 ,   9 ,   2 ,   3 ,   6 ,   4 ,   10 ,   5 ,- ,   5 
,45 - 54,   172 ,   14 ,   6 ,   7 ,   13 ,   4 ,   31 ,   8 ,   1 ,   3 
,55 - 64,   246 ,   19 ,   9 ,   11 ,   18 ,   3 ,   43 ,   5 ,   7 ,   3 
,>= 65,   489 ,   57 ,   20 ,   27 ,   24 ,   7 ,   151 ,   9 ,   2 ,   4 
,Évora,,,,,,,,,,
,Total,  1 065 ,   233 ,   77 ,   35 ,   55 ,   19 ,   96 ,   33 ,   6 ,   41 
,15 - 24,   3 ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,25 - 34,   47 ,   7 ,   6 ,   3 ,   1 ,- ,   3 ,- ,   1 ,   4 
,35 - 44,   130 ,   32 ,   6 ,   4 ,   8 ,- ,   7 ,   2 ,   3 ,   8 
,45 - 54,   197 ,   47 ,   13 ,   4 ,   9 ,   5 ,   16 ,   6 ,- ,   11 
,55 - 64,   261 ,   52 ,   17 ,   9 ,   11 ,   6 ,   25 ,   10 ,- ,   5 
,>= 65,   427 ,   95 ,   35 ,   15 ,   26 ,   8 ,   45 ,   15 ,   2 ,   13 
,Montemor-o-Novo,,,,,,,,,,
,Total,   747 ,   29 ,   36 ,   16 ,   9 ,   9 ,   94 ,   20 ,   3 ,   83 
,15 - 24,   4 ,- ,- ,- ,   1 ,- ,- ,- ,- ,- 
,25 - 34,   31 ,   1 ,   3 ,- ,- ,- ,   2 ,   1 ,- ,   9 
,35 - 44,   76 ,   5 ,   4 ,- ,   1 ,   2 ,   2 ,- ,   1 ,   11 
,45 - 54,   148 ,   5 ,   5 ,   2 ,   1 ,   2 ,   17 ,   1 ,   1 ,   26 
,55 - 64,   207 ,   9 ,   15 ,   9 ,   2 ,- ,   21 ,   8 ,   1 ,   19 
,>= 65,   281 ,   9 ,   9 ,   5 ,   4 ,   5 ,   52 ,   10 ,- ,   18 
,Mourão,,,,,,,,,,
,Total,   350 ,   16 ,   12 ,- ,   17 ,   4 ,   136 ,   32 ,- ,   9 
,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,25 - 34,   17 ,- ,   1 ,- ,   1 ,- ,   5 ,- ,- ,   1 
,35 - 44,   39 ,   1 ,   3 ,- ,   3 ,- ,   12 ,   4 ,- ,   2 
,45 - 54,   54 ,   5 ,   1 ,- ,   3 ,- ,   13 ,   3 ,- ,   2 
,55 - 64,   77 ,   3 ,   3 ,- ,   2 ,   2 ,   27 ,   8 ,- ,   4 
,>= 65,   163 ,   7 ,   4 ,- ,   8 ,   2 ,   79 ,   17 ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,
