Utilização das terras (Baixo Alentejo - Vidigueira),,,,,,,,,,,,,,
,,,,,,,,,,,,,,Pág 5/5
,,,Almodôvar,Alvito,Barrancos,Beja,Castro Verde,Cuba,Ferreira do Alentejo,Mértola,Moura,Ourique,Serpa,Vidigueira
,Pousio (com e sem ajuda),expl (nº),   147 ,   5 ,   2 ,   17 ,   54 ,   4 ,   32 ,   110 ,   31 ,   86 ,   153 ,   7 
,,área (ha),  7 304 ,   128 ,... ,  1 325 ,  8 201 ,   46 ,  1 127 ,  3 743 ,  1 509 ,  3 492 ,  5 646 ,   400 
Culturas permanentes,,expl (nº),   286 ,   165 ,   234 ,   630 ,   134 ,   307 ,   239 ,   295 ,  1 408 ,   194 ,  1 525 ,   542 
,,área (ha),   673 ,  1 610 ,   914 ,  4 311 ,   792 ,  1 559 ,  3 149 ,  1 677 ,  17 469 ,   731 ,  18 193 ,  5 460 
Sem culturas sob-coberto,,expl (nº),   105 ,   155 ,   158 ,   429 ,   35 ,   284 ,   154 ,   161 ,  1 390 ,   88 ,  1 482 ,   493 
,,área (ha),   194 ,  1 401 ,   472 ,  2 550 ,   303 ,  1 320 ,  1 319 ,   881 ,  16 778 ,   217 ,  16 189 ,  4 600 
Com culturas temporárias,,expl (nº),   24 ,   7 ,   2 ,   249 ,   21 ,   26 ,   76 ,   17 ,   42 ,   39 ,   116 ,   58 
,,área (ha),   40 ,   18 ,... ,  1 452 ,   117 ,   60 ,   427 ,   55 ,   357 ,   114 ,  1 132 ,   298 
Com pousio (com e sem ajuda),,expl (nº),   69 ,   2 ,   1 ,   57 ,   53 ,   8 ,   16 ,   47 ,   5 ,   10 ,   29 ,   5 
,,área (ha),   157 ,... ,... ,   152 ,   263 ,   29 ,   109 ,   144 ,   27 ,   48 ,   442 ,   30 
Com horta familiar,,expl (nº),   35 ,   5 ,- ,   39 ,   34 ,   5 ,   2 ,   7 ,   1 ,   13 ,   18 ,   34 
,,área (ha),   2 ,o ,- ,   4 ,   4 ,o ,... ,o ,... ,   1 ,   3 ,   6 
Com pastagens permanentes,,expl (nº),   104 ,   10 ,   75 ,   23 ,   30 ,   6 ,   16 ,   87 ,   14 ,   88 ,   33 ,   43 
,,área (ha),   284 ,   180 ,   430 ,   156 ,   105 ,   149 ,  1 296 ,   599 ,   307 ,   351 ,   432 ,   528 
Pastagens permanentes,,expl (nº),   421 ,   44 ,   77 ,   157 ,   64 ,   26 ,   112 ,   426 ,   270 ,   485 ,   370 ,   78 
,,área (ha),  18 335 ,  6 081 ,  12 369 ,  18 038 ,  5 642 ,  3 632 ,  9 788 ,  34 799 ,  26 586 ,  26 279 ,  19 925 ,  9 453 
Em terra limpa,,expl (nº),   179 ,   30 ,   9 ,   130 ,   55 ,   20 ,   80 ,   389 ,   146 ,   202 ,   132 ,   51 
,,área (ha),  5 059 ,  3 152 ,   374 ,  12 983 ,  4 347 ,  1 832 ,  5 406 ,  29 733 ,  5 730 ,  3 678 ,  4 521 ,  2 080 
Sob-coberto de matas e florestas,,expl (nº),   276 ,   17 ,   75 ,   53 ,   15 ,   8 ,   46 ,   91 ,   163 ,   342 ,   270 ,   42 
