Produtor singular segundo a OTE e as classes de idade (Bovinos para Gado/Carne / Alentejo Litoral - Sines),,,,,,,,,,,
,,,,,,,,,,,Pág 1/14
REGIÃO AGRÁRIA / Nut III / Concelho,,Total,Cereais Plantas olea./prot.,Culturas agrícolas diversas,Horticultura,Viticultura,Fruticultura,Olivicultura,Culturas permanentes diversas,Bovinos                de leite,Bovinos para gado/carne
ALENTEJO,,,,,,,,,,,
Total,,  34 445 ,  3 639 ,  1 726 ,  1 440 ,  1 376 ,   880 ,  7 700 ,  1 500 ,   152 ,   939 
15 - 24,,   145 ,   17 ,   17 ,   2 ,   3 ,   4 ,   8 ,   3 ,- ,   10 
25 - 34,,  1 422 ,   185 ,   96 ,   29 ,   43 ,   15 ,   162 ,   38 ,   20 ,   75 
35 - 44,,  3 593 ,   519 ,   250 ,   104 ,   135 ,   64 ,   482 ,   104 ,   35 ,   168 
45 - 54,,  5 716 ,   638 ,   334 ,   194 ,   250 ,   171 ,  1 059 ,   201 ,   23 ,   225 
55 - 64,,  8 745 ,   880 ,   411 ,   357 ,   337 ,   204 ,  1 797 ,   405 ,   44 ,   226 
>= 65,,  14 824 ,  1 400 ,   618 ,   754 ,   608 ,   422 ,  4 192 ,   749 ,   30 ,   235 
Alentejo Litoral,,,,,,,,,,,
Total,,  5 468 ,   904 ,   360 ,   138 ,   97 ,   267 ,   211 ,   152 ,   14 ,   313 
15 - 24,,   30 ,   6 ,   7 ,- ,- ,   1 ,- ,- ,- ,   1 
25 - 34,,   219 ,   43 ,   20 ,   3 ,- ,   4 ,   7 ,   1 ,- ,   8 
35 - 44,,   626 ,   144 ,   43 ,   16 ,   5 ,   19 ,   10 ,   10 ,   4 ,   57 
45 - 54,,  1 038 ,   173 ,   74 ,   35 ,   11 ,   52 ,   32 ,   23 ,   1 ,   83 
55 - 64,,  1 475 ,   241 ,   98 ,   35 ,   23 ,   66 ,   44 ,   30 ,   4 ,   84 
>= 65,,  2 080 ,   297 ,   118 ,   49 ,   58 ,   125 ,   118 ,   88 ,   5 ,   80 
,Alcácer do Sal,,,,,,,,,,
,Total,   818 ,   329 ,   52 ,   58 ,   2 ,   7 ,   76 ,   12 ,- ,   50 
,15 - 24,   5 ,   2 ,   3 ,- ,- ,- ,- ,- ,- ,- 
,25 - 34,   41 ,   13 ,   6 ,- ,- ,- ,   5 ,- ,- ,   2 
,35 - 44,   131 ,   68 ,   7 ,   5 ,- ,- ,   4 ,   2 ,- ,   12 
,45 - 54,   207 ,   81 ,   18 ,   24 ,- ,   1 ,   14 ,   1 ,- ,   13 
,55 - 64,   194 ,   82 ,   9 ,   11 ,   1 ,   4 ,   13 ,   3 ,- ,   14 
,>= 65,   240 ,   83 ,   9 ,   18 ,   1 ,   2 ,   40 ,   6 ,- ,   9 
,Grândola,,,,,,,,,,
,Total,   978 ,   75 ,   99 ,   51 ,   23 ,   34 ,   34 ,   37 ,- ,   21 
,15 - 24,   11 ,- ,   3 ,- ,- ,- ,- ,- ,- ,   1 
,25 - 34,   31 ,   2 ,   3 ,   1 ,- ,- ,   2 ,- ,- ,   2 
,35 - 44,   92 ,   20 ,   14 ,   7 ,   1 ,   2 ,- ,   1 ,- ,   2 
,45 - 54,   181 ,   19 ,   17 ,   8 ,   3 ,   8 ,   5 ,   5 ,- ,   4 
,55 - 64,   261 ,   14 ,   28 ,   15 ,   7 ,   8 ,   9 ,   8 ,- ,   7 
,>= 65,   402 ,   20 ,   34 ,   20 ,   12 ,   16 ,   18 ,   23 ,- ,   5 
,Odemira,,,,,,,,,,
,Total,  1 878 ,   279 ,   109 ,   12 ,   22 ,   28 ,   47 ,   9 ,   10 ,   174 
