Explorações segundo o número de bovinos (Alentejo Central - Arraiolos / Classe 20 a 29),,,,,,,,,
,,,,,,,,,Pág 1/4
REGIÃO AGRÁRIA,,Total,Classes do número de animais,,,,,,
Nut III / Concelho,,,1,2,3 a 4,5 a 9,10 a 14,15 a 19,20 a 29
ALENTEJO,expl (nº),  4 806 ,   139 ,   202 ,   304 ,   540 ,   360 ,   263 ,   399 
,efect (nº),  392 268 ,   139 ,   404 ,  1 072 ,  3 692 ,  4 274 ,  4 434 ,  9 621 
Alentejo Litoral,expl (nº),  1 322 ,   29 ,   62 ,   100 ,   223 ,   135 ,   94 ,   140 
,efect (nº),  62 910 ,   29 ,   124 ,   360 ,  1 546 ,  1 609 ,  1 601 ,  3 370 
Alcácer do Sal,expl (nº),   186 ,- ,   2 ,   3 ,   3 ,   11 ,   6 ,   9 
,efect (nº),  21 144 ,- ,... ,   11 ,   24 ,   120 ,   106 ,   216 
Grândola,expl (nº),   93 ,   5 ,   6 ,   7 ,   16 ,   4 ,   5 ,   10 
,efect (nº),  5 300 ,   5 ,   12 ,   24 ,   113 ,   46 ,   79 ,   233 
Odemira,expl (nº),   721 ,   15 ,   40 ,   77 ,   166 ,   89 ,   59 ,   86 
,efect (nº),  20 449 ,   15 ,   80 ,   278 ,  1 152 ,  1 083 ,  1 007 ,  2 089 
Santiago do Cacém,expl (nº),   266 ,   8 ,   14 ,   12 ,   28 ,   27 ,   17 ,   29 
,efect (nº),  13 957 ,   8 ,   28 ,   43 ,   187 ,   314 ,   292 ,   682 
Sines,expl (nº),   56 ,   1 ,- ,   1 ,   10 ,   4 ,   7 ,   6 
,efect (nº),  2 060 ,... ,- ,... ,   70 ,   46 ,   117 ,   150 
Alto Alentejo,expl (nº),  1 301 ,   51 ,   71 ,   102 ,   144 ,   109 ,   70 ,   98 
,efect (nº),  103 243 ,   51 ,   142 ,   354 ,   973 ,  1 275 ,  1 162 ,  2 348 
Alter do Chão,expl (nº),   77 ,   4 ,- ,   1 ,   3 ,   4 ,   4 ,   4 
,efect (nº),  9 149 ,   4 ,- ,... ,   21 ,   51 ,   64 ,   95 
Arronches,expl (nº),   85 ,   3 ,   2 ,   2 ,   8 ,   5 ,   1 ,   6 
,efect (nº),  9 394 ,   3 ,... ,... ,   56 ,   57 ,... ,   146 
Avis,expl (nº),   39 ,- ,- ,   1 ,- ,   3 ,   2 ,   3 
,efect (nº),  6 043 ,- ,- ,... ,- ,   35 ,... ,   78 
Campo Maior,expl (nº),   32 ,   1 ,- ,   1 ,   1 ,   3 ,   1 ,- 
,efect (nº),  3 332 ,... ,- ,... ,... ,   36 ,... ,- 
Castelo de Vide,expl (nº),   98 ,   1 ,   1 ,   5 ,   4 ,   14 ,   10 ,   15 
,efect (nº),  4 427 ,... ,... ,   18 ,   35 ,   167 ,   168 ,   355 
Crato,expl (nº),   100 ,   3 ,   1 ,   7 ,   8 ,   8 ,   6 ,   13 
,efect (nº),  9 454 ,   3 ,... ,   23 ,   54 ,   96 ,   105 ,   312 
Elvas,expl (nº),   107 ,   1 ,   2 ,   4 ,   5 ,   5 ,   2 ,   5 
,efect (nº),  17 181 ,... ,... ,   14 ,   37 ,   53 ,... ,   120 
Fronteira,expl (nº),   44 ,   4 ,   3 ,   4 ,   4 ,   2 ,   3 ,- 
,efect (nº),  3 188 ,   4 ,   6 ,   13 ,   25 ,... ,   51 ,- 
Gavião,expl (nº),   42 ,   6 ,   12 ,   10 ,   7 ,   2 ,   2 ,   1 
,efect (nº),   455 ,   6 ,   24 ,   34 ,   44 ,... ,... ,... 
Marvão,expl (nº),   129 ,   6 ,   14 ,   18 ,   32 ,   12 ,   10 ,   17 
,efect (nº),  2 196 ,   6 ,   28 ,   60 ,   211 ,   137 ,   175 ,   407 
Monforte,expl (nº),   91 ,   1 ,- ,   2 ,   2 ,   6 ,   4 ,- 
,efect (nº),  14 021 ,... ,- ,... ,... ,   76 ,   66 ,- 
Mora,expl (nº),   42 ,- ,   2 ,   1 ,   2 ,   2 ,   1 ,   1 
,efect (nº),  6 632 ,- ,... ,... ,... ,... ,... ,... 
Nisa,expl (nº),   111 ,   3 ,   5 ,   9 ,   16 ,   18 ,   6 ,   8 
,efect (nº),  4 267 ,   3 ,   10 ,   34 ,   104 ,   207 ,   95 ,   185 
Ponte de Sor,expl (nº),   79 ,   5 ,   10 ,   11 ,   12 ,   6 ,   2 ,   4 
,efect (nº),  3 869 ,   5 ,   20 ,   39 ,   80 ,   71 ,... ,   95 
Portalegre,expl (nº),   225 ,   13 ,   19 ,   26 ,   40 ,   19 ,   16 ,   21 
,efect (nº),  9 635 ,   13 ,   38 ,   91 ,   273 ,   222 ,   260 ,   505 
Alentejo Central,expl (nº),  1 201 ,   34 ,   28 ,   44 ,   79 ,   49 ,   51 ,   76 
,efect (nº),  144 505 ,   34 ,   56 ,   157 ,   533 ,   588 ,   862 ,  1 864 
Alandroal,expl (nº),   119 ,   3 ,   2 ,   2 ,   9 ,   5 ,   9 ,   15 
,efect (nº),  9 103 ,   3 ,... ,... ,   62 ,   65 ,   151 ,   365 
Arraiolos,expl (nº),   107 ,   2 ,   1 ,   3 ,   5 ,   3 ,   3 ,   4 
,efect (nº),  16 158 ,... ,... ,   10 ,   32 ,   34 ,   52 ,   108 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,
