Produtor singular segundo a  dimensão económica e as classes de idade (Alto Alentejo - Crato),,,,,,,,,,
,,,,,,,,,,Pág 2/8
REGIÃO AGRÁRIA,,,Total,Classes de dimensão económica (UDE),,,,,,
Nut III / Concelho,,,,> 0 a < 2,2 a < 4,4 a < 8,8 a < 16,16 a < 40,40 a < 100,> = 100
,Alto Alentejo,,,,,,,,,
,Total,,  10 811 ,  6 510 ,  1 651 ,  1 084 ,   751 ,   506 ,   241 ,   68 
,15 - 24,,   45 ,   18 ,   2 ,   1 ,   14 ,   7 ,   3 ,- 
,25 - 34,,   351 ,   125 ,   45 ,   39 ,   61 ,   51 ,   24 ,   6 
,35 - 44,,   963 ,   425 ,   123 ,   117 ,   129 ,   109 ,   47 ,   13 
,45 - 54,,  1 566 ,   853 ,   251 ,   193 ,   114 ,   100 ,   42 ,   13 
,55 - 64,,  2 611 ,  1 517 ,   429 ,   300 ,   189 ,   115 ,   45 ,   16 
,>= 65,,  5 275 ,  3 572 ,   801 ,   434 ,   244 ,   124 ,   80 ,   20 
,,Alter do Chão,,,,,,,,
,,Total,   332 ,   169 ,   45 ,   31 ,   31 ,   34 ,   18 ,   4 
,,15 - 24,   1 ,   1 ,- ,- ,- ,- ,- ,- 
,,25 - 34,   9 ,   3 ,   1 ,- ,   2 ,   3 ,- ,- 
,,35 - 44,   37 ,   17 ,   4 ,   4 ,   3 ,   7 ,   2 ,- 
,,45 - 54,   61 ,   27 ,   13 ,   7 ,   3 ,   9 ,   2 ,- 
,,55 - 64,   70 ,   37 ,   8 ,   8 ,   6 ,   5 ,   5 ,   1 
,,>= 65,   154 ,   84 ,   19 ,   12 ,   17 ,   10 ,   9 ,   3 
,,Arronches,,,,,,,,
,,Total,   458 ,   302 ,   50 ,   32 ,   29 ,   29 ,   13 ,   3 
,,15 - 24,   1 ,- ,- ,- ,- ,   1 ,- ,- 
,,25 - 34,   20 ,   6 ,   2 ,   2 ,   3 ,   7 ,- ,- 
,,35 - 44,   50 ,   23 ,   8 ,   4 ,   6 ,   5 ,   4 ,- 
,,45 - 54,   67 ,   40 ,   9 ,   6 ,   6 ,   5 ,   1 ,- 
,,55 - 64,   105 ,   71 ,   12 ,   7 ,   6 ,   4 ,   4 ,   1 
,,>= 65,   215 ,   162 ,   19 ,   13 ,   8 ,   7 ,   4 ,   2 
,,Avis,,,,,,,,
,,Total,   427 ,   201 ,   50 ,   35 ,   48 ,   60 ,   22 ,   11 
,,15 - 24,   4 ,- ,   1 ,- ,   2 ,- ,   1 ,- 
,,25 - 34,   22 ,   4 ,- ,   2 ,   2 ,   7 ,   6 ,   1 
,,35 - 44,   52 ,   12 ,   4 ,   4 ,   11 ,   14 ,   5 ,   2 
,,45 - 54,   76 ,   37 ,   9 ,   5 ,   9 ,   12 ,   1 ,   3 
,,55 - 64,   87 ,   40 ,   12 ,   8 ,   9 ,   11 ,   5 ,   2 
,,>= 65,   186 ,   108 ,   24 ,   16 ,   15 ,   16 ,   4 ,   3 
,,Campo Maior,,,,,,,,
,,Total,   646 ,   414 ,   89 ,   53 ,   37 ,   30 ,   16 ,   7 
,,15 - 24,   4 ,   2 ,- ,- ,   1 ,   1 ,- ,- 
,,25 - 34,   25 ,   10 ,   5 ,   2 ,   2 ,   4 ,   2 ,- 
,,35 - 44,   70 ,   26 ,   9 ,   9 ,   7 ,   12 ,   3 ,   4 
,,45 - 54,   121 ,   75 ,   21 ,   11 ,   5 ,   3 ,   5 ,   1 
,,55 - 64,   163 ,   108 ,   22 ,   17 ,   8 ,   5 ,   1 ,   2 
,,>= 65,   263 ,   193 ,   32 ,   14 ,   14 ,   5 ,   5 ,- 
,,Castelo de Vide,,,,,,,,
,,Total,   298 ,   120 ,   49 ,   46 ,   54 ,   25 ,   3 ,   1 
,,15 - 24,   1 ,- ,- ,- ,- ,   1 ,- ,- 
,,25 - 34,   13 ,   3 ,- ,   1 ,   9 ,- ,- ,- 
,,35 - 44,   28 ,   11 ,   3 ,   4 ,   7 ,   2 ,   1 ,- 
,,45 - 54,   46 ,   18 ,   7 ,   9 ,   5 ,   7 ,- ,- 
,,55 - 64,   68 ,   26 ,   8 ,   7 ,   17 ,   9 ,   1 ,- 
,,>= 65,   142 ,   62 ,   31 ,   25 ,   16 ,   6 ,   1 ,   1 
,,Crato,,,,,,,,
,,Total,   450 ,   291 ,   52 ,   36 ,   34 ,   22 ,   12 ,   3 
,,15 - 24,   4 ,   1 ,- ,- ,   2 ,   1 ,- ,- 
,,25 - 34,   17 ,   5 ,   7 ,   2 ,- ,   3 ,- ,- 
,,35 - 44,   50 ,   17 ,   4 ,   9 ,   11 ,   6 ,   2 ,   1 
,,45 - 54,   71 ,   39 ,   5 ,   12 ,   9 ,   5 ,   1 ,- 
,,55 - 64,   93 ,   63 ,   17 ,   3 ,   4 ,   4 ,   2 ,- 
,,>= 65,   215 ,   166 ,   19 ,   10 ,   8 ,   3 ,   7 ,   2 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,
