Produtor singular segundo a  dimensão económica e as classes de idade (Baixo Alentejo - Moura),,,,,,,,,,
,,,,,,,,,,Pág 7/8
REGIÃO AGRÁRIA,,,Total,Classes de dimensão económica (UDE),,,,,,
Nut III / Concelho,,,,> 0 a < 2,2 a < 4,4 a < 8,8 a < 16,16 a < 40,40 a < 100,> = 100
,,25 - 34,   50 ,   6 ,   6 ,   9 ,   5 ,   16 ,   6 ,   2 
,,35 - 44,   96 ,   8 ,   17 ,   10 ,   21 ,   33 ,   4 ,   3 
,,45 - 54,   135 ,   32 ,   17 ,   17 ,   26 ,   29 ,   10 ,   4 
,,55 - 64,   165 ,   44 ,   12 ,   32 ,   42 ,   26 ,   6 ,   3 
,,>= 65,   253 ,   94 ,   38 ,   51 ,   33 ,   21 ,   10 ,   6 
,,Mértola,,,,,,,,
,,Total,   677 ,   273 ,   94 ,   102 ,   79 ,   90 ,   33 ,   6 
,,15 - 24,   4 ,- ,- ,   2 ,   1 ,- ,- ,   1 
,,25 - 34,   42 ,   7 ,   2 ,   5 ,   7 ,   19 ,   2 ,- 
,,35 - 44,   86 ,   12 ,   16 ,   11 ,   10 ,   29 ,   8 ,- 
,,45 - 54,   87 ,   24 ,   10 ,   18 ,   17 ,   10 ,   7 ,   1 
,,55 - 64,   163 ,   56 ,   26 ,   32 ,   20 ,   16 ,   10 ,   3 
,,>= 65,   295 ,   174 ,   40 ,   34 ,   24 ,   16 ,   6 ,   1 
,,Moura,,,,,,,,
,,Total,  1 537 ,   672 ,   245 ,   212 ,   188 ,   142 ,   63 ,   15 
,,15 - 24,   3 ,   1 ,   1 ,- ,- ,- ,   1 ,- 
,,25 - 34,   68 ,   25 ,   8 ,   6 ,   14 ,   10 ,   5 ,- 
,,35 - 44,   207 ,   62 ,   26 ,   29 ,   41 ,   36 ,   11 ,   2 
,,45 - 54,   314 ,   101 ,   54 ,   47 ,   52 ,   41 ,   17 ,   2 
,,55 - 64,   384 ,   170 ,   63 ,   57 ,   39 ,   31 ,   21 ,   3 
,,>= 65,   561 ,   313 ,   93 ,   73 ,   42 ,   24 ,   8 ,   8 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
