"Explorações que recorreram a subsídios segundo a SAU, a dimensão económica e a OTE (Exploração Agrícola / Baixo Alentejo - Vidigueira)",,,,,,,,
,,,,,,,,Pág 13/14
,,Cuba,Ferreira do Alentejo,Mértola,Moura,Ourique,Serpa,Vidigueira
Explorações agrícolas,expl (nº),   433 ,   745 ,   714 ,  1 581 ,   670 ,  1 876 ,   618 
,SAL (ha),  13 427 ,  48 589 ,  80 865 ,  69 118 ,  43 164 ,  83 990 ,  28 402 
Sem SAU,expl (nº),   14 ,   32 ,   36 ,   37 ,   43 ,   19 ,   12 
> 0 a < 1,expl (nº),   36 ,   7 ,   17 ,   76 ,   34 ,   63 ,   73 
,SAL (ha),   25 ,   5 ,   5 ,   53 ,   15 ,   45 ,   48 
1 a < 2,expl (nº),   93 ,   53 ,   33 ,   151 ,   57 ,   211 ,   104 
,SAL (ha),   127 ,   73 ,   43 ,   208 ,   86 ,   309 ,   144 
2 a < 5,expl (nº),   109 ,   100 ,   72 ,   320 ,   94 ,   396 ,   146 
,SAL (ha),   356 ,   317 ,   230 ,  1 075 ,   336 ,  1 346 ,   466 
5 a < 10,expl (nº),   68 ,   95 ,   80 ,   295 ,   86 ,   314 ,   93 
,SAL (ha),   452 ,   671 ,   569 ,  2 062 ,   656 ,  2 226 ,   662 
10 a < 20,expl (nº),   44 ,   129 ,   84 ,   249 ,   93 ,   279 ,   73 
,SAL (ha),   598 ,  1 788 ,  1 200 ,  3 617 ,  1 385 ,  3 994 ,   996 
20 a < 50,expl (nº),   31 ,   153 ,   117 ,   222 ,   97 ,   258 ,   31 
,SAL (ha),   873 ,  4 838 ,  3 795 ,  6 796 ,  3 128 ,  8 296 ,   941 
50 a < 100,expl (nº),   7 ,   62 ,   71 ,   88 ,   62 ,   152 ,   23 
,SAL (ha),   430 ,  4 157 ,  4 955 ,  6 421 ,  4 352 ,  10 594 ,  1 713 
>= 100,expl (nº),   31 ,   114 ,   204 ,   143 ,   104 ,   184 ,   63 
,SAL (ha),  10 570 ,  36 738 ,  70 066 ,  48 891 ,  33 207 ,  57 180 ,  23 428 
Classes de dimensão económica - (UDE),expl (nº),   427 ,   734 ,   707 ,  1 569 ,   664 ,  1 830 ,   613 
,SAL (ha),  13 407 ,  48 340 ,  80 842 ,  69 002 ,  43 130 ,  83 420 ,  28 394 
> 0 a < 2,expl (nº),   230 ,   184 ,   274 ,   673 ,   367 ,   885 ,   262 
,SAL (ha),   803 ,   816 ,  4 471 ,  2 674 ,  3 711 ,  4 929 ,   560 
2 a < 4,expl (nº),   54 ,   91 ,   94 ,   249 ,   88 ,   269 ,   98 
,SAL (ha),   365 ,   940 ,  2 494 ,  4 180 ,  2 337 ,  3 665 ,   560 
4 a < 8,expl (nº),   65 ,   123 ,   103 ,   212 ,   63 ,   237 ,   85 
,SAL (ha),   958 ,  2 580 ,  4 410 ,  4 346 ,  3 036 ,  6 043 ,   786 
8 a < 16,expl (nº),   30 ,   130 ,   82 ,   190 ,   56 ,   205 ,   59 
,SAL (ha),   628 ,  4 851 ,  10 485 ,  8 467 ,  3 618 ,  11 814 ,  1 585 
16 a < 40,expl (nº),   22 ,   134 ,   98 ,   151 ,   53 ,   136 ,   62 
,SAL (ha),  2 151 ,  12 584 ,  24 885 ,  13 854 ,  9 820 ,  16 224 ,  6 399 
40 a < 100,expl (nº),   11 ,   43 ,   42 ,   72 ,   30 ,   67 ,   26 
,SAL (ha),  1 676 ,  9 666 ,  23 165 ,  22 739 ,  12 687 ,  21 266 ,  7 244 
> = 100,expl (nº),   15 ,   29 ,   14 ,   22 ,   7 ,   31 ,   21 
,SAL (ha),  6 826 ,  16 904 ,  10 931 ,  12 739 ,  7 921 ,  19 481 ,  11 259 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,
